['lazzaros', 202580993, 'impression', '7', 241283683L, datetime.datetime(2013, 5, 25, 17, 13, 14), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '7', 241283683L, datetime.datetime(2013, 5, 25, 17, 13, 17), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'expand_tile', '7', 241283683L, datetime.datetime(2013, 5, 25, 17, 13, 34), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241285208L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.100461382919276, False, 'time']
['lazzaros', 202580993, 'impression', '7', 241283714L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '4', 241283845L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.15204182611782, False, 'time']
['lazzaros', 202580993, 'impression', '8', 241283683L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241284874L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.0468966648364676, False, 'time']
['lazzaros', 202580993, 'impression', '6', 241283809L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.244217559713964, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283862L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '5', 241283829L, datetime.datetime(2013, 5, 25, 17, 40, 30), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '8', 241283683L, datetime.datetime(2013, 5, 25, 17, 40, 40), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '8', 241283683L, datetime.datetime(2013, 5, 25, 17, 40, 42), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '7', 241283714L, datetime.datetime(2013, 5, 25, 17, 40, 45), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241285208L, datetime.datetime(2013, 5, 25, 17, 41, 1), 0.100461382919276, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241284874L, datetime.datetime(2013, 5, 25, 17, 41, 2), 0.0468966648364676, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241284874L, datetime.datetime(2013, 5, 25, 17, 41, 6), 0.0468966648364676, False, 'time']
