['meleghara', 202542717, 'impression', '14', 240489152L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.14414941699782, False, 'best']
['meleghara', 202542717, 'impression', '2', 240486797L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.136666754510481, False, 'best']
['meleghara', 202542717, 'impression', '7', 240487737L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.0951700561394227, False, 'best']
['meleghara', 202542717, 'impression', '1', 240486631L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.124870300384751, False, 'best']
['meleghara', 202542717, 'impression', '3', 240486888L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.234159117619789, False, 'best']
['meleghara', 202542717, 'impression', '11', 240488604L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.137678100316682, False, 'best']
['meleghara', 202542717, 'impression', '10', 240488492L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.30446320593718, False, 'best']
['meleghara', 202542717, 'impression', '6', 240487297L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.155807002971716, False, 'best']
['meleghara', 202542717, 'impression', '4', 240487183L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.224699427240876, False, 'best']
['meleghara', 202542717, 'impression', '8', 240487749L, datetime.datetime(2013, 5, 15, 21, 4, 39), 0.193277228858894, False, 'best']
['meleghara', 202542717, 'view_full_application_via_name', '8', 240487749L, datetime.datetime(2013, 5, 15, 21, 5, 4), 0.193277228858894, False, 'best']
['meleghara', 202542717, 'impression', '6', 240487297L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.155807002971716, False, 'best']
['meleghara', 202542717, 'impression', '10', 240488492L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.30446320593718, False, 'best']
['meleghara', 202542717, 'impression', '11', 240488604L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.137678100316682, False, 'best']
['meleghara', 202542717, 'impression', '13', 240488835L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.115420135360256, False, 'best']
['meleghara', 202542717, 'impression', '1', 240486631L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.124870300384751, False, 'best']
['meleghara', 202542717, 'impression', '3', 240486888L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.234159117619789, False, 'best']
['meleghara', 202542717, 'impression', '15', 240489183L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.172764293612662, False, 'best']
['meleghara', 202542717, 'impression', '5', 240487228L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.23981532890258, False, 'best']
['meleghara', 202542717, 'impression', '9', 240488192L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.465531285851072, False, 'best']
['meleghara', 202542717, 'impression', '12', 240488637L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.107932005325496, False, 'best']
['meleghara', 202542717, 'impression', '7', 240487737L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.0951700561394227, False, 'best']
['meleghara', 202542717, 'impression', '14', 240489152L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.14414941699782, False, 'best']
['meleghara', 202542717, 'impression', '2', 240486797L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.136666754510481, False, 'best']
['meleghara', 202542717, 'impression', '4', 240487183L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.224699427240876, False, 'best']
['meleghara', 202542717, 'impression', '8', 240487749L, datetime.datetime(2013, 5, 15, 21, 5, 40), 0.193277228858894, False, 'best']
['meleghara', 202542717, 'impression', '3', 240486888L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.234159117619789, False, 'best']
['meleghara', 202542717, 'impression', '13', 240488835L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.115420135360256, False, 'best']
['meleghara', 202542717, 'impression', '16', 240489896L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.161063367912965, False, 'best']
['meleghara', 202542717, 'impression', '1', 240486631L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.124870300384751, False, 'best']
['meleghara', 202542717, 'impression', '9', 240488192L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.465531285851072, False, 'best']
['meleghara', 202542717, 'impression', '15', 240489183L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.172764293612662, False, 'best']
['meleghara', 202542717, 'impression', '5', 240487228L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.23981532890258, False, 'best']
['meleghara', 202542717, 'impression', '8', 240487749L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.193277228858894, False, 'best']
['meleghara', 202542717, 'impression', '4', 240487183L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.224699427240876, False, 'best']
['meleghara', 202542717, 'impression', '12', 240488637L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.107932005325496, False, 'best']
['meleghara', 202542717, 'impression', '11', 240488604L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.137678100316682, False, 'best']
['meleghara', 202542717, 'impression', '10', 240488492L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.30446320593718, False, 'best']
['meleghara', 202542717, 'impression', '6', 240487297L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.155807002971716, False, 'best']
['meleghara', 202542717, 'impression', '2', 240486797L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.136666754510481, False, 'best']
['meleghara', 202542717, 'impression', '7', 240487737L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.0951700561394227, False, 'best']
['meleghara', 202542717, 'impression', '14', 240489152L, datetime.datetime(2013, 5, 15, 21, 12, 46), 0.14414941699782, False, 'best']
['meleghara', 202542717, 'impression', '12', 240487228L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.23981532890258, False, 'time']
['meleghara', 202542717, 'impression', '2', 240489183L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.172764293612662, False, 'time']
['meleghara', 202542717, 'impression', '8', 240488192L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.465531285851072, False, 'time']
['meleghara', 202542717, 'impression', '13', 240487183L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.224699427240876, False, 'time']
['meleghara', 202542717, 'impression', '9', 240487749L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.193277228858894, False, 'time']
['meleghara', 202542717, 'impression', '14', 240486888L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.234159117619789, False, 'time']
['meleghara', 202542717, 'impression', '10', 240487737L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.0951700561394227, False, 'time']
['meleghara', 202542717, 'impression', '3', 240489152L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.14414941699782, False, 'time']
['meleghara', 202542717, 'impression', '15', 240486797L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.136666754510481, False, 'time']
['meleghara', 202542717, 'impression', '1', 240489896L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.161063367912965, False, 'time']
['meleghara', 202542717, 'impression', '16', 240486631L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.124870300384751, False, 'time']
['meleghara', 202542717, 'impression', '4', 240488835L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.115420135360256, False, 'time']
['meleghara', 202542717, 'impression', '6', 240488604L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.137678100316682, False, 'time']
['meleghara', 202542717, 'impression', '7', 240488492L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.30446320593718, False, 'time']
['meleghara', 202542717, 'impression', '11', 240487297L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.155807002971716, False, 'time']
['meleghara', 202542717, 'impression', '5', 240488637L, datetime.datetime(2013, 5, 15, 21, 12, 51), 0.107932005325496, False, 'time']
['meleghara', 202542717, 'expand_tile', '3', 240489152L, datetime.datetime(2013, 5, 15, 21, 13, 11), 0.14414941699782, False, 'time']

