['luke-clifton', 202572675, 'impression', '3', 241102243L, datetime.datetime(2013, 5, 23, 13, 5, 48), 0.0812877892285318, False, 'best']
['luke-clifton', 202572675, 'impression', '9', 241104866L, datetime.datetime(2013, 5, 23, 13, 5, 48), 0.04307132411029, False, 'best']
['luke-clifton', 202572675, 'impression', '1', 241104240L, datetime.datetime(2013, 5, 23, 13, 5, 48), 0.131016285700941, False, 'best']
['luke-clifton', 202572675, 'shortlist', '2', 241104378L, datetime.datetime(2013, 5, 23, 13, 6, 41), 0.0864369685831063, False, 'best']
['luke-clifton', 202572675, 'view_full_application_via_name', '3', 241102243L, datetime.datetime(2013, 5, 23, 13, 6, 47), 0.0812877892285318, False, 'best']
['luke-clifton', 202572675, 'impression', '4', 241102447L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0803632664947836, False, 'best']
['luke-clifton', 202572675, 'impression', '18', 241103246L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0280432176501728, False, 'best']
['luke-clifton', 202572675, 'impression', '5', 241106507L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0623878605472671, False, 'best']
['luke-clifton', 202572675, 'impression', '2', 241104378L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0864369685831063, False, 'best']
['luke-clifton', 202572675, 'impression', '9', 241102515L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0471669937278961, False, 'best']
['luke-clifton', 202572675, 'impression', '15', 241102465L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0354221459482132, False, 'best']
['luke-clifton', 202572675, 'impression', '10', 241104217L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0448132613358653, False, 'best']
['luke-clifton', 202572675, 'impression', '7', 241106176L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0558062854909691, False, 'best']
['luke-clifton', 202572675, 'impression', '1', 241104240L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.131016285700941, False, 'best']
['luke-clifton', 202572675, 'impression', '13', 241104866L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.04307132411029, False, 'best']
['luke-clifton', 202572675, 'impression', '16', 241102779L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0320342771788206, False, 'best']
['luke-clifton', 202572675, 'impression', '6', 241102926L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0599934290989299, False, 'best']
['luke-clifton', 202572675, 'impression', '19', 241102568L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.00932326273254157, False, 'best']
['luke-clifton', 202572675, 'impression', '17', 241103815L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0305541033562583, False, 'best']
['luke-clifton', 202572675, 'impression', '8', 241106560L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0541060707261538, False, 'best']
['luke-clifton', 202572675, 'impression', '14', 241102424L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0427976916906654, False, 'best']
['luke-clifton', 202572675, 'impression', '3', 241102243L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0812877892285318, False, 'best']
['luke-clifton', 202572675, 'impression', '12', 241102689L, datetime.datetime(2013, 5, 23, 13, 19, 24), 0.0433627172679272, False, 'best']
