['websitecampaign', 202548893, 'impression', '8', 240622588L, datetime.datetime(2013, 5, 25, 13, 0, 53), 0.0896612366315315, False, 'best']
['websitecampaign', 202548893, 'impression', '3', 240702520L, datetime.datetime(2013, 5, 25, 13, 0, 53), 0.201284546195906, False, 'best']
['websitecampaign', 202548893, 'impression', '4', 240702426L, datetime.datetime(2013, 5, 25, 13, 0, 53), 0.161089356168571, False, 'best']
['websitecampaign', 202548893, 'impression', '1', 240608486L, datetime.datetime(2013, 5, 25, 13, 0, 53), 0.343612911385616, False, 'best']
['websitecampaign', 202548893, 'impression', '2', 240688996L, datetime.datetime(2013, 5, 25, 13, 0, 53), 0.20187747528064, False, 'best']
['websitecampaign', 202548893, 'impression', '6', 240702770L, datetime.datetime(2013, 5, 25, 13, 0, 53), 0.132108129559616, False, 'best']
['websitecampaign', 202548893, 'impression', '7', 240764984L, datetime.datetime(2013, 5, 25, 13, 0, 53), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'impression', '7', 240764984L, datetime.datetime(2013, 5, 25, 13, 1), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'view_full_application_via_name', '7', 240764984L, datetime.datetime(2013, 5, 25, 13, 1, 3), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'impression', '7', 240764984L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'impression', '6', 240702770L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.132108129559616, False, 'best']
['websitecampaign', 202548893, 'impression', '1', 240608486L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.343612911385616, False, 'best']
['websitecampaign', 202548893, 'impression', '2', 240688996L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.20187747528064, False, 'best']
['websitecampaign', 202548893, 'impression', '9', 240902639L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.0326721559226619, False, 'best']
['websitecampaign', 202548893, 'impression', '4', 240702426L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.161089356168571, False, 'best']
['websitecampaign', 202548893, 'impression', '3', 240702520L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.201284546195906, False, 'best']
['websitecampaign', 202548893, 'impression', '5', 240607040L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.14932483665183, False, 'best']
['websitecampaign', 202548893, 'impression', '8', 240622588L, datetime.datetime(2013, 5, 25, 13, 1, 17), 0.0896612366315315, False, 'best']
['websitecampaign', 202548893, 'view_full_application_via_name', '8', 240622588L, datetime.datetime(2013, 5, 25, 13, 1, 21), 0.0896612366315315, False, 'best']
['websitecampaign', 202548893, 'impression', '2', 240688996L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.20187747528064, False, 'best']
['websitecampaign', 202548893, 'impression', '1', 240608486L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.343612911385616, False, 'best']
['websitecampaign', 202548893, 'impression', '3', 240702520L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.201284546195906, False, 'best']
['websitecampaign', 202548893, 'impression', '8', 240622588L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.0896612366315315, False, 'best']
['websitecampaign', 202548893, 'impression', '5', 240607040L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.14932483665183, False, 'best']
['websitecampaign', 202548893, 'impression', '6', 240702770L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.132108129559616, False, 'best']
['websitecampaign', 202548893, 'impression', '7', 240764984L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'impression', '9', 240902639L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.0326721559226619, False, 'best']
['websitecampaign', 202548893, 'impression', '4', 240702426L, datetime.datetime(2013, 5, 25, 13, 1, 32), 0.161089356168571, False, 'best']
['websitecampaign', 202548893, 'view_full_application_via_name', '9', 240902639L, datetime.datetime(2013, 5, 25, 13, 1, 38), 0.0326721559226619, False, 'best']
['websitecampaign', 202548893, 'impression', '9', 240902639L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.0326721559226619, False, 'best']
['websitecampaign', 202548893, 'impression', '8', 240622588L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.0896612366315315, False, 'best']
['websitecampaign', 202548893, 'impression', '5', 240607040L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.14932483665183, False, 'best']
['websitecampaign', 202548893, 'impression', '4', 240702426L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.161089356168571, False, 'best']
['websitecampaign', 202548893, 'impression', '3', 240702520L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.201284546195906, False, 'best']
['websitecampaign', 202548893, 'impression', '7', 240764984L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'impression', '6', 240702770L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.132108129559616, False, 'best']
['websitecampaign', 202548893, 'impression', '1', 240608486L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.343612911385616, False, 'best']
['websitecampaign', 202548893, 'impression', '2', 240688996L, datetime.datetime(2013, 5, 25, 13, 1, 45), 0.20187747528064, False, 'best']
['websitecampaign', 202548893, 'impression', '9', 240902639L, datetime.datetime(2013, 5, 25, 13, 1, 48), 0.0326721559226619, False, 'best']
['websitecampaign', 202548893, 'impression', '9', 240902639L, datetime.datetime(2013, 5, 25, 13, 1, 49), 0.0326721559226619, False, 'best']

