['kriskeyton', 202542869, 'impression', '1', 240549975L, datetime.datetime(2013, 5, 22, 17, 29, 56), 0.0216938566434408, False, 'time']
['kriskeyton', 202542869, 'expand_tile', '2', 240527840L, datetime.datetime(2013, 5, 22, 17, 30, 18), 0.130995776658099, False, 'time']
['kriskeyton', 202542869, 'view_full_application', '2', 240527840L, datetime.datetime(2013, 5, 22, 17, 30, 37), 0.130995776658099, False, 'time']

['kriskeyton', 202542869, 'impression', '4', 240516108L, datetime.datetime(2013, 5, 24, 17, 24, 41), 0.453725888438142, False, 'time']
['kriskeyton', 202542869, 'impression', '2', 240527840L, datetime.datetime(2013, 5, 24, 17, 24, 41), 0.130995776658099, False, 'time']
['kriskeyton', 202542869, 'impression', '1', 240549975L, datetime.datetime(2013, 5, 24, 17, 24, 41), 0.0216938566434408, False, 'time']
['kriskeyton', 202542869, 'impression', '6', 240489806L, datetime.datetime(2013, 5, 24, 17, 24, 41), 0.139640352630568, False, 'time']
['kriskeyton', 202542869, 'impression', '5', 240489925L, datetime.datetime(2013, 5, 24, 17, 24, 41), 0.162213615187571, False, 'time']
['kriskeyton', 202542869, 'impression', '3', 240526931L, datetime.datetime(2013, 5, 24, 17, 24, 41), 0.240338211474232, False, 'time']

