['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 10, 50), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 10, 50), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 10, 50), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 10, 50), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 10, 50), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 10, 50), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 11, 1), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 11, 25), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 11, 25), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 11, 25), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 11, 25), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 11, 25), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 11, 25), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 11, 28), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 11, 47), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 11, 47), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 11, 47), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 11, 47), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 11, 47), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 11, 47), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 11, 58), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 12, 50), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 12, 50), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 12, 50), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 12, 50), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 12, 50), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 12, 50), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 12, 51), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 13, 53), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 13, 53), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 13, 53), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 13, 53), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 13, 53), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 13, 53), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 13, 55), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 18, 49), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 18, 49), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 18, 49), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 18, 49), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 18, 49), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 18, 49), 0.0104120501895166, False, 'time']

['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 19, 23, 58), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174086L, datetime.datetime(2013, 5, 24, 19, 23, 58), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 19, 23, 58), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 19, 23, 58), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '5', 241173447L, datetime.datetime(2013, 5, 24, 19, 23, 58), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '2', 241182965L, datetime.datetime(2013, 5, 24, 19, 24, 12), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 19, 25, 14), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 19, 25, 14), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '5', 241173447L, datetime.datetime(2013, 5, 24, 19, 25, 14), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174086L, datetime.datetime(2013, 5, 24, 19, 25, 14), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 19, 25, 14), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'expand_tile', '2', 241182965L, datetime.datetime(2013, 5, 24, 19, 25, 17), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'send_message', '2', 241182965L, datetime.datetime(2013, 5, 24, 19, 25, 18), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'expand_tile', '2', 241182965L, datetime.datetime(2013, 5, 24, 19, 25, 47), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '2', 241182965L, datetime.datetime(2013, 5, 24, 19, 30, 21), 0.0166004230903306, False, 'time']

