['ukgent', 202563970, 'impression', '2', 240939868L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.164170741409034, False, 'best']
['ukgent', 202563970, 'impression', '14', 240940877L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0496634049310109, False, 'best']
['ukgent', 202563970, 'impression', '17', 240958118L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0353724011448345, False, 'best']
['ukgent', 202563970, 'impression', '1', 240957555L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.171512153443876, False, 'best']
['ukgent', 202563970, 'impression', '3', 240976430L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.147681845029463, False, 'best']
['ukgent', 202563970, 'impression', '12', 240936973L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0551554802065797, False, 'best']
['ukgent', 202563970, 'impression', '11', 240939173L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0670649278779576, False, 'best']
['ukgent', 202563970, 'impression', '8', 240939513L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0962821823709632, False, 'best']
['ukgent', 202563970, 'impression', '9', 240940576L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0946837383299857, False, 'best']
['ukgent', 202563970, 'impression', '7', 240937949L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0987126644482216, False, 'best']
['ukgent', 202563970, 'impression', '10', 240968525L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0856099659519692, False, 'best']
['ukgent', 202563970, 'impression', '4', 240940399L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.132967750792745, False, 'best']
['ukgent', 202563970, 'impression', '6', 240953552L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.113655327264904, False, 'best']
['ukgent', 202563970, 'impression', '15', 240944156L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0399828816597729, False, 'best']
['ukgent', 202563970, 'impression', '13', 240938203L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.053134729344416, False, 'best']
['ukgent', 202563970, 'impression', '18', 240943287L, datetime.datetime(2013, 5, 22, 9, 23, 23), 0.0332929878881519, False, 'best']
['ukgent', 202563970, 'view_full_application_via_name', '11', 240939173L, datetime.datetime(2013, 5, 22, 9, 23, 28), 0.0670649278779576, False, 'best']

['ukgent', 202563970, 'impression', '17', 240958118L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0353724011448345, False, 'best']
['ukgent', 202563970, 'impression', '14', 240940877L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0496634049310109, False, 'best']
['ukgent', 202563970, 'impression', '6', 240953552L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.113655327264904, False, 'best']
['ukgent', 202563970, 'impression', '10', 240968525L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0856099659519692, False, 'best']
['ukgent', 202563970, 'impression', '15', 240944156L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0399828816597729, False, 'best']
['ukgent', 202563970, 'impression', '4', 240940399L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.132967750792745, False, 'best']
['ukgent', 202563970, 'impression', '7', 240937949L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0987126644482216, False, 'best']
['ukgent', 202563970, 'impression', '11', 240939173L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0670649278779576, False, 'best']
['ukgent', 202563970, 'impression', '12', 240936973L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0551554802065797, False, 'best']
['ukgent', 202563970, 'impression', '3', 240976430L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.147681845029463, False, 'best']
['ukgent', 202563970, 'impression', '13', 240938203L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.053134729344416, False, 'best']
['ukgent', 202563970, 'impression', '18', 240943287L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.0332929878881519, False, 'best']
['ukgent', 202563970, 'impression', '5', 240937262L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.132772618919979, False, 'best']
['ukgent', 202563970, 'impression', '16', 240942586L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.039780620387841, False, 'best']
['ukgent', 202563970, 'impression', '2', 240939868L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.164170741409034, False, 'best']
['ukgent', 202563970, 'impression', '1', 240957555L, datetime.datetime(2013, 5, 22, 11, 7, 40), 0.171512153443876, False, 'best']
