['martylwhite', 202586565, 'impression', '6', 241412985L, datetime.datetime(2013, 5, 27, 16, 50, 14), 0.102716173669381, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412985L, datetime.datetime(2013, 5, 27, 16, 50, 16), 0.102716173669381, False, 'time']
['martylwhite', 202586565, 'shortlist', '7', 241412824L, datetime.datetime(2013, 5, 27, 16, 51, 42), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'shortlist', '8', 241412686L, datetime.datetime(2013, 5, 27, 16, 52, 53), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'shortlist', '9', 241412488L, datetime.datetime(2013, 5, 27, 16, 53, 43), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241412824L, datetime.datetime(2013, 5, 27, 16, 53, 57), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241413230L, datetime.datetime(2013, 5, 27, 16, 53, 57), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241415471L, datetime.datetime(2013, 5, 27, 16, 53, 57), 0.107558550326277, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412686L, datetime.datetime(2013, 5, 27, 16, 53, 57), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '7', 241412488L, datetime.datetime(2013, 5, 27, 16, 53, 57), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241413685L, datetime.datetime(2013, 5, 27, 16, 53, 57), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '4', 241413062L, datetime.datetime(2013, 5, 27, 16, 53, 57), 0.0576545494099904, False, 'time']
['martylwhite', 202586565, 'expand_tile', '1', 241415471L, datetime.datetime(2013, 5, 27, 16, 54, 6), 0.107558550326277, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241415471L, datetime.datetime(2013, 5, 27, 16, 54, 21), 0.107558550326277, False, 'time']
['martylwhite', 202586565, 'expand_tile', '1', 241415471L, datetime.datetime(2013, 5, 27, 16, 54, 24), 0.107558550326277, False, 'time']
['martylwhite', 202586565, 'view_full_application_via_name', '4', 241413062L, datetime.datetime(2013, 5, 27, 16, 54, 42), 0.0576545494099904, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241413062L, datetime.datetime(2013, 5, 27, 16, 55, 2), 0.0576545494099904, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241413685L, datetime.datetime(2013, 5, 27, 16, 55, 2), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '5', 241412686L, datetime.datetime(2013, 5, 27, 16, 55, 2), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241413230L, datetime.datetime(2013, 5, 27, 16, 55, 2), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241412824L, datetime.datetime(2013, 5, 27, 16, 55, 2), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412488L, datetime.datetime(2013, 5, 27, 16, 55, 2), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241413062L, datetime.datetime(2013, 5, 27, 16, 55, 4), 0.0576545494099904, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241413062L, datetime.datetime(2013, 5, 27, 16, 55, 5), 0.0576545494099904, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241412824L, datetime.datetime(2013, 5, 27, 16, 55, 5), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241412824L, datetime.datetime(2013, 5, 27, 17, 2, 59), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241413685L, datetime.datetime(2013, 5, 27, 17, 11, 18), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '6', 241412686L, datetime.datetime(2013, 5, 27, 17, 11, 18), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413230L, datetime.datetime(2013, 5, 27, 17, 11, 18), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241412824L, datetime.datetime(2013, 5, 27, 17, 11, 18), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241416627L, datetime.datetime(2013, 5, 27, 17, 11, 18), 0.0937042899542116, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241416438L, datetime.datetime(2013, 5, 27, 17, 11, 18), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '7', 241412488L, datetime.datetime(2013, 5, 27, 17, 11, 18), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'expand_tile', '2', 241416438L, datetime.datetime(2013, 5, 27, 17, 11, 27), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'view_full_application_via_name', '2', 241416438L, datetime.datetime(2013, 5, 27, 17, 11, 41), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '8', 241412488L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241416438L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412824L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241413230L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '7', 241412686L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241417173L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.175858133462661, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241416627L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.0937042899542116, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413685L, datetime.datetime(2013, 5, 27, 17, 15, 17), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '2', 241416627L, datetime.datetime(2013, 5, 27, 17, 16, 24), 0.0937042899542116, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241417173L, datetime.datetime(2013, 5, 27, 17, 17, 38), 0.175858133462661, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241416438L, datetime.datetime(2013, 5, 27, 17, 17, 40), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'shortlist', '3', 241416438L, datetime.datetime(2013, 5, 27, 17, 17, 43), 0.178756655971903, False, 'time']

['martylwhite', 202586565, 'impression', '8', 241412488L, datetime.datetime(2013, 5, 27, 18, 13), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412824L, datetime.datetime(2013, 5, 27, 18, 13), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241413230L, datetime.datetime(2013, 5, 27, 18, 13), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241416438L, datetime.datetime(2013, 5, 27, 18, 13), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413685L, datetime.datetime(2013, 5, 27, 18, 13), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '7', 241412686L, datetime.datetime(2013, 5, 27, 18, 13), 0.207846967063467, False, 'time']
