['hansenrick_', 202581616, 'impression', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 10, 44), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'impression', '6', 241303761L, datetime.datetime(2013, 5, 26, 15, 10, 44), 0.176176095221892, False, 'time']
['hansenrick_', 202581616, 'impression', '5', 241304054L, datetime.datetime(2013, 5, 26, 15, 10, 44), 0.270482793368509, True, 'time']
['hansenrick_', 202581616, 'impression', '1', 241323249L, datetime.datetime(2013, 5, 26, 15, 10, 44), 0.559959028511358, False, 'time']
['hansenrick_', 202581616, 'impression', '14', 241297753L, datetime.datetime(2013, 5, 26, 15, 10, 44), 0.156979582423528, False, 'time']
['hansenrick_', 202581616, 'impression', '13', 241297937L, datetime.datetime(2013, 5, 26, 15, 10, 44), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'impression', '12', 241298017L, datetime.datetime(2013, 5, 26, 15, 10, 44), 0.416328981638072, False, 'time']
['hansenrick_', 202581616, 'impression', '9', 241302908L, datetime.datetime(2013, 5, 26, 15, 11, 22), 0.228856373536747, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 11, 23), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'collapse_tile', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 11, 47), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 11, 50), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'collapse_tile', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 11, 56), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '9', 241302908L, datetime.datetime(2013, 5, 26, 15, 11, 56), 0.228856373536747, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 11, 58), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'collapse_tile', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 12, 4), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '8', 241303471L, datetime.datetime(2013, 5, 26, 15, 12, 7), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '10', 241298468L, datetime.datetime(2013, 5, 26, 15, 13, 39), 0.416908278874386, False, 'time']
['hansenrick_', 202581616, 'impression', '13', 241297937L, datetime.datetime(2013, 5, 26, 15, 14, 19), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '12', 241298017L, datetime.datetime(2013, 5, 26, 15, 14, 30), 0.416328981638072, False, 'time']
['hansenrick_', 202581616, 'impression', '15', 241297547L, datetime.datetime(2013, 5, 26, 15, 15, 4), 0.126393184091877, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '13', 241297937L, datetime.datetime(2013, 5, 26, 15, 15, 5), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'view_full_application', '13', 241297937L, datetime.datetime(2013, 5, 26, 15, 15, 10), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'impression', '5', 241304407L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.174803143294742, False, 'time']
['hansenrick_', 202581616, 'impression', '8', 241303566L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.452115660323439, False, 'time']
['hansenrick_', 202581616, 'impression', '3', 241311360L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.29735271396073, False, 'time']
['hansenrick_', 202581616, 'impression', '12', 241298433L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.167035289147032, False, 'time']
['hansenrick_', 202581616, 'impression', '18', 241297356L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.241814659024323, True, 'time']
['hansenrick_', 202581616, 'impression', '10', 241302908L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.228856373536747, False, 'time']
['hansenrick_', 202581616, 'impression', '16', 241297547L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.126393184091877, False, 'time']
['hansenrick_', 202581616, 'impression', '17', 241297390L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.49882428905593, False, 'time']
['hansenrick_', 202581616, 'impression', '11', 241298468L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.416908278874386, False, 'time']
['hansenrick_', 202581616, 'impression', '2', 241323249L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.559959028511358, False, 'time']
['hansenrick_', 202581616, 'impression', '1', 241332811L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.33927109132038, False, 'time']
['hansenrick_', 202581616, 'impression', '15', 241297753L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.156979582423528, False, 'time']
['hansenrick_', 202581616, 'impression', '4', 241306360L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.34297046009512, False, 'time']
['hansenrick_', 202581616, 'impression', '13', 241298017L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.416328981638072, False, 'time']
['hansenrick_', 202581616, 'impression', '14', 241297937L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'impression', '7', 241303761L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.176176095221892, False, 'time']
['hansenrick_', 202581616, 'impression', '6', 241304054L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.270482793368509, True, 'time']
['hansenrick_', 202581616, 'impression', '9', 241303471L, datetime.datetime(2013, 5, 26, 15, 15, 32), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'impression', '18', 241297356L, datetime.datetime(2013, 5, 26, 15, 15, 52), 0.241814659024323, True, 'time']
['hansenrick_', 202581616, 'expand_tile', '17', 241297390L, datetime.datetime(2013, 5, 26, 15, 15, 53), 0.49882428905593, False, 'time']
['hansenrick_', 202581616, 'view_full_application', '17', 241297390L, datetime.datetime(2013, 5, 26, 15, 16, 5), 0.49882428905593, False, 'time']
['hansenrick_', 202581616, 'impression', '14', 241297937L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'impression', '13', 241298017L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.416328981638072, False, 'time']
['hansenrick_', 202581616, 'impression', '15', 241297753L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.156979582423528, False, 'time']
['hansenrick_', 202581616, 'impression', '2', 241323249L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.559959028511358, False, 'time']
['hansenrick_', 202581616, 'impression', '1', 241332811L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.33927109132038, False, 'time']
['hansenrick_', 202581616, 'impression', '16', 241297547L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.126393184091877, False, 'time']
['hansenrick_', 202581616, 'impression', '10', 241302908L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.228856373536747, False, 'time']
['hansenrick_', 202581616, 'impression', '17', 241297390L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.49882428905593, False, 'time']
['hansenrick_', 202581616, 'impression', '8', 241303566L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.452115660323439, False, 'time']
['hansenrick_', 202581616, 'impression', '18', 241297356L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.241814659024323, True, 'time']
['hansenrick_', 202581616, 'impression', '12', 241298433L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.167035289147032, False, 'time']
['hansenrick_', 202581616, 'impression', '5', 241304407L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.174803143294742, False, 'time']
['hansenrick_', 202581616, 'impression', '3', 241311360L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.29735271396073, False, 'time']
['hansenrick_', 202581616, 'impression', '4', 241306360L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.34297046009512, False, 'time']
['hansenrick_', 202581616, 'impression', '11', 241298468L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.416908278874386, False, 'time']
['hansenrick_', 202581616, 'impression', '7', 241303761L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.176176095221892, False, 'time']
['hansenrick_', 202581616, 'impression', '6', 241304054L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.270482793368509, True, 'time']
['hansenrick_', 202581616, 'impression', '9', 241303471L, datetime.datetime(2013, 5, 26, 15, 19, 4), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '2', 241323249L, datetime.datetime(2013, 5, 26, 15, 19, 18), 0.559959028511358, False, 'time']
['hansenrick_', 202581616, 'view_full_application', '2', 241323249L, datetime.datetime(2013, 5, 26, 15, 19, 31), 0.559959028511358, False, 'time']
['hansenrick_', 202581616, 'impression', '6', 241304054L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.270482793368509, True, 'time']
['hansenrick_', 202581616, 'impression', '9', 241303471L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'impression', '7', 241303761L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.176176095221892, False, 'time']
['hansenrick_', 202581616, 'impression', '1', 241332811L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.33927109132038, False, 'time']
['hansenrick_', 202581616, 'impression', '2', 241323249L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.559959028511358, False, 'time']
['hansenrick_', 202581616, 'impression', '15', 241297753L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.156979582423528, False, 'time']
['hansenrick_', 202581616, 'impression', '4', 241306360L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.34297046009512, False, 'time']
['hansenrick_', 202581616, 'impression', '10', 241302908L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.228856373536747, False, 'time']
['hansenrick_', 202581616, 'impression', '17', 241297390L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.49882428905593, False, 'time']
['hansenrick_', 202581616, 'impression', '16', 241297547L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.126393184091877, False, 'time']
['hansenrick_', 202581616, 'impression', '11', 241298468L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.416908278874386, False, 'time']
['hansenrick_', 202581616, 'impression', '14', 241297937L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'impression', '13', 241298017L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.416328981638072, False, 'time']
['hansenrick_', 202581616, 'impression', '18', 241297356L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.241814659024323, True, 'time']
['hansenrick_', 202581616, 'impression', '5', 241304407L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.174803143294742, False, 'time']
['hansenrick_', 202581616, 'impression', '8', 241303566L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.452115660323439, False, 'time']
['hansenrick_', 202581616, 'impression', '12', 241298433L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.167035289147032, False, 'time']
['hansenrick_', 202581616, 'impression', '3', 241311360L, datetime.datetime(2013, 5, 26, 15, 19, 58), 0.29735271396073, False, 'time']
['hansenrick_', 202581616, 'expand_tile', '18', 241297356L, datetime.datetime(2013, 5, 26, 15, 20, 54), 0.241814659024323, True, 'time']
['hansenrick_', 202581616, 'view_full_application', '18', 241297356L, datetime.datetime(2013, 5, 26, 15, 20, 56), 0.241814659024323, True, 'time']

