['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 7, 15, 18), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '4', 241074167L, datetime.datetime(2013, 5, 23, 7, 15, 18), 0.346075894762284, False, 'best']
['niravrawtech', 202571459, 'impression', '6', 241071927L, datetime.datetime(2013, 5, 23, 7, 15, 18), 0.221496840027327, False, 'best']
['niravrawtech', 202571459, 'impression', '5', 241075008L, datetime.datetime(2013, 5, 23, 7, 15, 18), 0.274079825872106, True, 'best']
['niravrawtech', 202571459, 'impression', '2', 241072150L, datetime.datetime(2013, 5, 23, 7, 15, 18), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'impression', '3', 241072252L, datetime.datetime(2013, 5, 23, 7, 15, 18), 0.348829012489478, False, 'best']
['niravrawtech', 202571459, 'expand_tile', '5', 241075008L, datetime.datetime(2013, 5, 23, 7, 15, 47), 0.274079825872106, True, 'best']
['niravrawtech', 202571459, 'expand_tile', '2', 241072150L, datetime.datetime(2013, 5, 23, 7, 15, 58), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'collapse_tile', '2', 241072150L, datetime.datetime(2013, 5, 23, 7, 16, 5), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'expand_tile', '2', 241072150L, datetime.datetime(2013, 5, 23, 7, 16, 7), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'view_full_application_via_name', '2', 241072150L, datetime.datetime(2013, 5, 23, 7, 16, 16), 0.404476068266274, False, 'best']

['niravrawtech', 202571459, 'impression', '3', 241072150L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'impression', '6', 241072252L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.348829012489478, False, 'best']
['niravrawtech', 202571459, 'impression', '12', 241077339L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.357046828760713, False, 'best']
['niravrawtech', 202571459, 'impression', '2', 241072247L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.516335725471388, False, 'best']
['niravrawtech', 202571459, 'impression', '7', 241074167L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.346075894762284, False, 'best']
['niravrawtech', 202571459, 'impression', '10', 241071927L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.221496840027327, False, 'best']
['niravrawtech', 202571459, 'impression', '5', 241089629L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.353928097523686, False, 'best']
['niravrawtech', 202571459, 'impression', '11', 241074478L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.124004996748617, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '9', 241077373L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.252906356662287, False, 'best']
['niravrawtech', 202571459, 'impression', '4', 241072253L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.384850181701061, False, 'best']
['niravrawtech', 202571459, 'impression', '8', 241075008L, datetime.datetime(2013, 5, 24, 1, 11, 49), 0.274079825872106, True, 'best']
['niravrawtech', 202571459, 'view_full_application_via_name', '2', 241072247L, datetime.datetime(2013, 5, 24, 1, 12, 1), 0.516335725471388, False, 'best']
['niravrawtech', 202571459, 'impression', '10', 241071927L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.221496840027327, False, 'best']
['niravrawtech', 202571459, 'impression', '7', 241074167L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.346075894762284, False, 'best']
['niravrawtech', 202571459, 'impression', '4', 241072253L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.384850181701061, False, 'best']
['niravrawtech', 202571459, 'impression', '8', 241075008L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.274079825872106, True, 'best']
['niravrawtech', 202571459, 'impression', '3', 241072150L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'impression', '12', 241077339L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.357046828760713, False, 'best']
['niravrawtech', 202571459, 'impression', '2', 241072247L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.516335725471388, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '9', 241077373L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.252906356662287, False, 'best']
['niravrawtech', 202571459, 'impression', '11', 241074478L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.124004996748617, False, 'best']
['niravrawtech', 202571459, 'impression', '5', 241089629L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.353928097523686, False, 'best']
['niravrawtech', 202571459, 'impression', '6', 241072252L, datetime.datetime(2013, 5, 24, 1, 12, 29), 0.348829012489478, False, 'best']
['niravrawtech', 202571459, 'view_full_application_via_name', '4', 241072253L, datetime.datetime(2013, 5, 24, 1, 12, 38), 0.384850181701061, False, 'best']
['niravrawtech', 202571459, 'impression', '4', 241072253L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.384850181701061, False, 'best']
['niravrawtech', 202571459, 'impression', '8', 241075008L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.274079825872106, True, 'best']
['niravrawtech', 202571459, 'impression', '6', 241072252L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.348829012489478, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '9', 241077373L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.252906356662287, False, 'best']
['niravrawtech', 202571459, 'impression', '11', 241074478L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.124004996748617, False, 'best']
['niravrawtech', 202571459, 'impression', '5', 241089629L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.353928097523686, False, 'best']
['niravrawtech', 202571459, 'impression', '7', 241074167L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.346075894762284, False, 'best']
['niravrawtech', 202571459, 'impression', '10', 241071927L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.221496840027327, False, 'best']
['niravrawtech', 202571459, 'impression', '3', 241072150L, datetime.datetime(2013, 5, 24, 1, 13, 22), 0.404476068266274, False, 'best']
