['agilityoutsource', 202574579, 'impression', '2', 241164039L, datetime.datetime(2013, 5, 25, 23, 27, 54), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241141638L, datetime.datetime(2013, 5, 25, 23, 27, 54), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '5', 241183203L, datetime.datetime(2013, 5, 25, 23, 27, 54), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '4', 241246418L, datetime.datetime(2013, 5, 25, 23, 27, 54), 0.184505978992758, False, 'best']

['agilityoutsource', 202574579, 'impression', '7', 241142062L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '6', 241183203L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241141638L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241164039L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '8', 241325554L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.0503677922891735, False, 'best']
['agilityoutsource', 202574579, 'impression', '5', 241246418L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.184505978992758, False, 'best']
['agilityoutsource', 202574579, 'impression', '4', 241315074L, datetime.datetime(2013, 5, 26, 13, 16, 8), 0.226912712633276, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241141638L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '4', 241315074L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.226912712633276, False, 'best']
['agilityoutsource', 202574579, 'impression', '5', 241246418L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.184505978992758, False, 'best']
['agilityoutsource', 202574579, 'impression', '8', 241325554L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.0503677922891735, False, 'best']
['agilityoutsource', 202574579, 'impression', '6', 241183203L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '7', 241142062L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241164039L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 26, 13, 16, 32), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'view_full_application_via_name', '7', 241142062L, datetime.datetime(2013, 5, 26, 13, 16, 36), 0.15668897118099, True, 'best']

['agilityoutsource', 202574579, 'impression', '7', 241183203L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '4', 241141638L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241343359L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.522190264542908, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241164039L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '5', 241315074L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.226912712633276, False, 'best']
['agilityoutsource', 202574579, 'impression', '6', 241246418L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.184505978992758, False, 'best']
['agilityoutsource', 202574579, 'impression', '8', 241325554L, datetime.datetime(2013, 5, 28, 2, 0, 37), 0.0503677922891735, False, 'best']

