['neversleeping', 202584706, 'expand_tile', '3', 241366510L, datetime.datetime(2013, 5, 27, 10, 2, 5), 0.141779110253805, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241366510L, datetime.datetime(2013, 5, 27, 10, 2, 8), 0.141779110253805, False, 'best']
['neversleeping', 202584706, 'expand_tile', '3', 241366510L, datetime.datetime(2013, 5, 27, 10, 2, 10), 0.141779110253805, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 27, 10, 2, 10), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'expand_tile', '2', 241372331L, datetime.datetime(2013, 5, 27, 10, 2, 17), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'collapse_tile', '2', 241372331L, datetime.datetime(2013, 5, 27, 10, 2, 23), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'expand_tile', '2', 241372331L, datetime.datetime(2013, 5, 27, 10, 2, 26), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'view_full_application', '1', 241365580L, datetime.datetime(2013, 5, 27, 10, 2, 47), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241372331L, datetime.datetime(2013, 5, 27, 10, 5, 8), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 10, 5, 8), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372618L, datetime.datetime(2013, 5, 27, 10, 5, 8), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 10, 5, 8), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241381243L, datetime.datetime(2013, 5, 27, 10, 5, 8), 0.111510157494728, False, 'best']
['neversleeping', 202584706, 'expand_tile', '4', 241381243L, datetime.datetime(2013, 5, 27, 10, 5, 39), 0.111510157494728, False, 'best']
