['johan_rheeder', 202559290, 'impression', '2', 240892063L, datetime.datetime(2013, 5, 21, 8, 7, 42), 0.158263413462594, False, 'best']
['johan_rheeder', 202559290, 'impression', '9', 240843795L, datetime.datetime(2013, 5, 21, 8, 7, 42), 0.0360397876767129, False, 'best']
['johan_rheeder', 202559290, 'impression', '6', 240844798L, datetime.datetime(2013, 5, 21, 8, 7, 42), 0.0937005525031091, False, 'best']
['johan_rheeder', 202559290, 'impression', '5', 240851261L, datetime.datetime(2013, 5, 21, 8, 7, 42), 0.113767761221048, False, 'best']
['johan_rheeder', 202559290, 'impression', '3', 240844100L, datetime.datetime(2013, 5, 21, 8, 7, 42), 0.155358035970698, False, 'best']
['johan_rheeder', 202559290, 'impression', '1', 240864163L, datetime.datetime(2013, 5, 21, 8, 7, 42), 0.162003778736884, False, 'best']
['johan_rheeder', 202559290, 'impression', '4', 240844582L, datetime.datetime(2013, 5, 21, 8, 7, 42), 0.127277700933823, False, 'best']
['johan_rheeder', 202559290, 'view_full_application_via_name', '3', 240844100L, datetime.datetime(2013, 5, 21, 8, 14, 44), 0.155358035970698, False, 'best']
['johan_rheeder', 202559290, 'impression', '9', 240843795L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.0360397876767129, False, 'best']
['johan_rheeder', 202559290, 'impression', '3', 240844100L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.155358035970698, False, 'best']
['johan_rheeder', 202559290, 'impression', '1', 240864163L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.162003778736884, False, 'best']
['johan_rheeder', 202559290, 'impression', '4', 240844582L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.127277700933823, False, 'best']
['johan_rheeder', 202559290, 'impression', '5', 240851261L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.113767761221048, False, 'best']
['johan_rheeder', 202559290, 'impression', '6', 240844798L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.0937005525031091, False, 'best']
['johan_rheeder', 202559290, 'impression', '2', 240892063L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.158263413462594, False, 'best']
['johan_rheeder', 202559290, 'impression', '7', 240845385L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.0765532706230496, False, 'best']
['johan_rheeder', 202559290, 'impression', '8', 240843672L, datetime.datetime(2013, 5, 21, 8, 18, 27), 0.0537583667398961, False, 'best']
['johan_rheeder', 202559290, 'view_full_application_via_name', '8', 240843672L, datetime.datetime(2013, 5, 21, 8, 18, 31), 0.0537583667398961, False, 'best']
['johan_rheeder', 202559290, 'impression', '6', 240844798L, datetime.datetime(2013, 5, 21, 8, 38, 13), 0.0937005525031091, False, 'best']
['johan_rheeder', 202559290, 'impression', '1', 240864163L, datetime.datetime(2013, 5, 21, 8, 38, 13), 0.162003778736884, False, 'best']
['johan_rheeder', 202559290, 'impression', '4', 240844582L, datetime.datetime(2013, 5, 21, 8, 38, 13), 0.127277700933823, False, 'best']
