['vince97', 202549483, 'impression', '8', 240628099L, datetime.datetime(2013, 5, 20, 14, 32, 38), 0.00758562014922646, False, 'time']
['vince97', 202549483, 'impression', '5', 240636490L, datetime.datetime(2013, 5, 20, 14, 32, 38), 0.0101231638530472, False, 'time']
['vince97', 202549483, 'impression', '3', 240727853L, datetime.datetime(2013, 5, 20, 14, 32, 38), 0.0279188425569323, False, 'time']
['vince97', 202549483, 'impression', '7', 240632667L, datetime.datetime(2013, 5, 20, 14, 32, 38), 0.0126210538328481, False, 'time']
['vince97', 202549483, 'impression', '6', 240634950L, datetime.datetime(2013, 5, 20, 14, 32, 38), 0.136188169716288, False, 'time']
['vince97', 202549483, 'impression', '1', 240830225L, datetime.datetime(2013, 5, 20, 14, 32, 38), 0.0238975696282113, False, 'time']
['vince97', 202549483, 'expand_tile', '6', 240634950L, datetime.datetime(2013, 5, 20, 14, 32, 41), 0.136188169716288, False, 'time']
['vince97', 202549483, 'view_full_application', '6', 240634950L, datetime.datetime(2013, 5, 20, 14, 32, 44), 0.136188169716288, False, 'time']
['vince97', 202549483, 'impression', '4', 240657340L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.0575999434299274, True, 'time']
['vince97', 202549483, 'impression', '2', 240758832L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.0267472426250401, False, 'time']
['vince97', 202549483, 'impression', '3', 240727853L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.0279188425569323, False, 'time']
['vince97', 202549483, 'impression', '7', 240632667L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.0126210538328481, False, 'time']
['vince97', 202549483, 'impression', '6', 240634950L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.136188169716288, False, 'time']
['vince97', 202549483, 'impression', '1', 240830225L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.0238975696282113, False, 'time']
['vince97', 202549483, 'impression', '8', 240628099L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.00758562014922646, False, 'time']
['vince97', 202549483, 'impression', '5', 240636490L, datetime.datetime(2013, 5, 20, 14, 38, 50), 0.0101231638530472, False, 'time']

