['mike-kennedy', 202564435, 'impression', '4', 240950978L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.223893803369707, False, 'best']
['mike-kennedy', 202564435, 'impression', '10', 240964481L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.163035756682332, False, 'best']
['mike-kennedy', 202564435, 'impression', '5', 240971282L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.205838542623363, False, 'best']
['mike-kennedy', 202564435, 'impression', '9', 240967979L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.163743814973491, False, 'best']
['mike-kennedy', 202564435, 'impression', '11', 240965513L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.151976195920889, False, 'best']
['mike-kennedy', 202564435, 'impression', '14', 240968600L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.146528143088257, False, 'best']
['mike-kennedy', 202564435, 'impression', '7', 240958248L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.195326087522982, False, 'best']
['mike-kennedy', 202564435, 'impression', '18', 240967765L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.113304650456263, False, 'best']
['mike-kennedy', 202564435, 'impression', '3', 240949530L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.250083102295013, False, 'best']
['mike-kennedy', 202564435, 'impression', '2', 240972764L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.253316647909475, False, 'best']
['mike-kennedy', 202564435, 'impression', '13', 240951056L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.149305219122907, False, 'best']
['mike-kennedy', 202564435, 'impression', '12', 240955099L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.151956812761476, False, 'best']
['mike-kennedy', 202564435, 'impression', '6', 240957075L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.199183121869316, False, 'best']
['mike-kennedy', 202564435, 'impression', '1', 240972983L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.383082428758374, False, 'best']
['mike-kennedy', 202564435, 'impression', '20', 240947901L, datetime.datetime(2013, 5, 22, 14, 41, 2), 0.0981832604782159, False, 'best']

