['vinny168', 202544606, 'impression', '16', 240539376L, datetime.datetime(2013, 5, 17, 6, 43, 18), 0.098048828300299, False, 'time']
['vinny168', 202544606, 'expand_tile', '16', 240539376L, datetime.datetime(2013, 5, 17, 6, 43, 20), 0.098048828300299, False, 'time']
['vinny168', 202544606, 'impression', '17', 240537857L, datetime.datetime(2013, 5, 17, 6, 43, 22), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'expand_tile', '3', 240569369L, datetime.datetime(2013, 5, 17, 6, 43, 32), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'impression', '18', 240524186L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.183340407109691, False, 'best']
['vinny168', 202544606, 'impression', '6', 240525094L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.308820176192816, False, 'best']
['vinny168', 202544606, 'impression', '7', 240526162L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.287446568607171, False, 'best']
['vinny168', 202544606, 'impression', '10', 240523094L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.2335769119102, False, 'best']
['vinny168', 202544606, 'impression', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'impression', '19', 240528379L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.176485871081555, True, 'best']
['vinny168', 202544606, 'impression', '20', 240535933L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.174115878706454, False, 'best']
['vinny168', 202544606, 'impression', '2', 240529203L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.416393373262461, False, 'best']
['vinny168', 202544606, 'impression', '11', 240524709L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.205666022783324, False, 'best']
['vinny168', 202544606, 'impression', '15', 240537857L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.186690466070148, False, 'best']
['vinny168', 202544606, 'impression', '3', 240523665L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.378480557786482, False, 'best']
['vinny168', 202544606, 'impression', '17', 240540511L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.183595494205801, False, 'best']
['vinny168', 202544606, 'impression', '8', 240524813L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.264581004921056, False, 'best']
['vinny168', 202544606, 'impression', '4', 240562026L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.370709440003564, False, 'best']
['vinny168', 202544606, 'impression', '9', 240532018L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.244248465497988, False, 'best']
['vinny168', 202544606, 'impression', '12', 240524277L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.202368626129628, False, 'best']
['vinny168', 202544606, 'impression', '5', 240525269L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.324287396506887, False, 'best']
['vinny168', 202544606, 'impression', '14', 240522882L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.190198887325357, False, 'best']
['vinny168', 202544606, 'impression', '16', 240533660L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.184261744267003, False, 'best']
['vinny168', 202544606, 'impression', '13', 240523224L, datetime.datetime(2013, 5, 17, 6, 43, 53), 0.192483445830431, False, 'best']
['vinny168', 202544606, 'expand_tile', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 43, 59), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'expand_tile', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 45, 11), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'collapse_tile', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 46, 54), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'expand_tile', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 46, 56), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'collapse_tile', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 47, 4), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'expand_tile', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 47, 6), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'view_full_application', '1', 240544659L, datetime.datetime(2013, 5, 17, 6, 47, 9), 0.451230663928138, False, 'best']
['vinny168', 202544606, 'impression', '17', 240535933L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.174115878706454, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540376L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.130235432237166, False, 'time']
['vinny168', 202544606, 'impression', '10', 240544659L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.451230663928138, False, 'time']
['vinny168', 202544606, 'impression', '7', 240562026L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '2', 240574029L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'impression', '5', 240566817L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.175047959950084, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544492L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '8', 240561194L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.0695287251937839, False, 'time']
['vinny168', 202544606, 'impression', '16', 240537857L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'impression', '12', 240540511L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '20', 240532018L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.244248465497988, False, 'time']
['vinny168', 202544606, 'impression', '18', 240534309L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.0997832447434758, False, 'time']
['vinny168', 202544606, 'impression', '6', 240563591L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.0912040400587071, False, 'time']
['vinny168', 202544606, 'impression', '15', 240539636L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.13698852880143, False, 'time']
['vinny168', 202544606, 'impression', '3', 240569369L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'impression', '9', 240559635L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.0991723402189646, False, 'time']
['vinny168', 202544606, 'impression', '1', 240582971L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '19', 240533660L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.184261744267003, False, 'time']
['vinny168', 202544606, 'impression', '4', 240568165L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '14', 240540358L, datetime.datetime(2013, 5, 17, 6, 48, 48), 0.12038609554993, False, 'time']

['vinny168', 202544606, 'expand_tile', '1', 240582971L, datetime.datetime(2013, 5, 17, 7, 42, 12), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'unshortlist', '1', 240582971L, datetime.datetime(2013, 5, 17, 7, 42, 30), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'expand_tile', '1', 240582971L, datetime.datetime(2013, 5, 17, 7, 42, 30), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '1', 240582971L, datetime.datetime(2013, 5, 17, 7, 42, 32), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', None, 240582971L, datetime.datetime(2013, 5, 17, 7, 42, 32), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544492L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '12', 240540511L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '8', 240561194L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.0695287251937839, False, 'time']
['vinny168', 202544606, 'impression', '16', 240537857L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540376L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.130235432237166, False, 'time']
['vinny168', 202544606, 'impression', '17', 240535933L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.174115878706454, False, 'time']
['vinny168', 202544606, 'impression', '10', 240544659L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.451230663928138, False, 'time']
['vinny168', 202544606, 'impression', '3', 240569369L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'impression', '15', 240539636L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.13698852880143, False, 'time']
['vinny168', 202544606, 'impression', '7', 240562026L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '5', 240566817L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.175047959950084, False, 'time']
['vinny168', 202544606, 'impression', '2', 240574029L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'impression', '9', 240559635L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.0991723402189646, False, 'time']
['vinny168', 202544606, 'impression', '1', 240582971L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '18', 240534309L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.0997832447434758, False, 'time']
['vinny168', 202544606, 'impression', '6', 240563591L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.0912040400587071, False, 'time']
['vinny168', 202544606, 'impression', '20', 240532018L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.244248465497988, False, 'time']
['vinny168', 202544606, 'impression', '4', 240568165L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '14', 240540358L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.12038609554993, False, 'time']
['vinny168', 202544606, 'impression', '19', 240533660L, datetime.datetime(2013, 5, 17, 7, 42, 59), 0.184261744267003, False, 'time']
['vinny168', 202544606, 'shortlist', '1', 240582971L, datetime.datetime(2013, 5, 17, 7, 43, 5), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'expand_tile', '2', 240574029L, datetime.datetime(2013, 5, 17, 7, 43, 16), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'impression', '2', 240574029L, datetime.datetime(2013, 5, 17, 7, 43, 37), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'expand_tile', '2', 240574029L, datetime.datetime(2013, 5, 17, 7, 43, 41), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'impression', '3', 240569369L, datetime.datetime(2013, 5, 17, 7, 43, 42), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'expand_tile', '1', 240582971L, datetime.datetime(2013, 5, 17, 7, 43, 44), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'expand_tile', '3', 240569369L, datetime.datetime(2013, 5, 17, 7, 43, 53), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'expand_tile', '4', 240568165L, datetime.datetime(2013, 5, 17, 7, 44, 19), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '6', 240563591L, datetime.datetime(2013, 5, 17, 7, 44, 48), 0.0912040400587071, False, 'time']
['vinny168', 202544606, 'expand_tile', '6', 240563591L, datetime.datetime(2013, 5, 17, 7, 46, 9), 0.0912040400587071, False, 'time']
