['natalie68', 202571439, 'impression', '1', 241070637L, datetime.datetime(2013, 5, 24, 1, 35), 0.273645768316253, False, 'best']
['natalie68', 202571439, 'impression', '7', 241100433L, datetime.datetime(2013, 5, 24, 1, 35), 0.0903112330647881, False, 'best']
['natalie68', 202571439, 'impression', '9', 241087064L, datetime.datetime(2013, 5, 24, 1, 35), 0.0649805242171123, False, 'best']
['natalie68', 202571439, 'impression', '5', 241079678L, datetime.datetime(2013, 5, 24, 1, 35), 0.125048344693313, False, 'best']
['natalie68', 202571439, 'impression', '4', 241087747L, datetime.datetime(2013, 5, 24, 1, 35), 0.127546142301541, False, 'best']
['natalie68', 202571439, 'impression', '12', 241095720L, datetime.datetime(2013, 5, 24, 1, 35), 0.0496696794144578, False, 'best']
['natalie68', 202571439, 'impression', '10', 241077559L, datetime.datetime(2013, 5, 24, 1, 35), 0.0600194558751585, False, 'best']
['natalie68', 202571439, 'impression', '6', 241085966L, datetime.datetime(2013, 5, 24, 1, 35), 0.107638116669584, False, 'best']
['natalie68', 202571439, 'impression', '8', 241079476L, datetime.datetime(2013, 5, 24, 1, 35), 0.0702119744473144, False, 'best']
['natalie68', 202571439, 'impression', '11', 241069840L, datetime.datetime(2013, 5, 24, 1, 35), 0.0560550123525985, False, 'best']
['natalie68', 202571439, 'impression', '3', 241090010L, datetime.datetime(2013, 5, 24, 1, 35), 0.147249863150091, False, 'best']
['natalie68', 202571439, 'impression', '2', 241078678L, datetime.datetime(2013, 5, 24, 1, 35), 0.193253922515309, False, 'best']
['natalie68', 202571439, 'impression', '13', 241079325L, datetime.datetime(2013, 5, 24, 1, 35), 0.13454579577773, False, 'best']
['natalie68', 202571439, 'impression', '1', 241070637L, datetime.datetime(2013, 5, 24, 1, 35, 3), 0.273645768316253, False, 'best']
['natalie68', 202571439, 'impression', '6', 241085966L, datetime.datetime(2013, 5, 24, 1, 35, 10), 0.107638116669584, False, 'best']
['natalie68', 202571439, 'impression', '11', 241069840L, datetime.datetime(2013, 5, 24, 1, 35, 20), 0.0560550123525985, False, 'best']
['natalie68', 202571439, 'expand_tile', '12', 241095720L, datetime.datetime(2013, 5, 24, 1, 35, 24), 0.0496696794144578, False, 'best']
['natalie68', 202571439, 'send_message', '12', 241095720L, datetime.datetime(2013, 5, 24, 1, 35, 27), 0.0496696794144578, False, 'best']
['natalie68', 202571439, 'expand_tile', '12', 241095720L, datetime.datetime(2013, 5, 24, 1, 36, 23), 0.0496696794144578, False, 'best']
['natalie68', 202571439, 'impression', '13', 241079325L, datetime.datetime(2013, 5, 24, 1, 36, 25), 0.13454579577773, False, 'best']
['natalie68', 202571439, 'impression', '10', 241077559L, datetime.datetime(2013, 5, 24, 1, 36, 35), 0.0600194558751585, False, 'best']
['natalie68', 202571439, 'expand_tile', '10', 241077559L, datetime.datetime(2013, 5, 24, 1, 36, 37), 0.0600194558751585, False, 'best']
['natalie68', 202571439, 'send_message', '10', 241077559L, datetime.datetime(2013, 5, 24, 1, 36, 39), 0.0600194558751585, False, 'best']
['natalie68', 202571439, 'expand_tile', '10', 241077559L, datetime.datetime(2013, 5, 24, 1, 36, 43), 0.0600194558751585, False, 'best']
['natalie68', 202571439, 'impression', '9', 241087064L, datetime.datetime(2013, 5, 24, 1, 36, 45), 0.0649805242171123, False, 'best']
