['omega22', 202591422, 'impression', '1', 241521228L, datetime.datetime(2013, 5, 28, 20, 1, 31), 0.169682238405747, True, 'best']
['omega22', 202591422, 'impression', '5', 241521240L, datetime.datetime(2013, 5, 28, 20, 1, 31), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '4', 241521683L, datetime.datetime(2013, 5, 28, 20, 1, 31), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'impression', '2', 241520836L, datetime.datetime(2013, 5, 28, 20, 1, 31), 0.134904126182434, False, 'best']

['omega22', 202591422, 'impression', '1', 241522531L, datetime.datetime(2013, 5, 28, 21, 3, 10), 0.263313422719054, False, 'best']
['omega22', 202591422, 'impression', '3', 241520654L, datetime.datetime(2013, 5, 28, 21, 3, 10), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '6', 241522592L, datetime.datetime(2013, 5, 28, 21, 3, 10), 0.0285199170657578, False, 'best']
['omega22', 202591422, 'impression', '4', 241521683L, datetime.datetime(2013, 5, 28, 21, 3, 10), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'impression', '2', 241520836L, datetime.datetime(2013, 5, 28, 21, 3, 10), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '5', 241521240L, datetime.datetime(2013, 5, 28, 21, 3, 10), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '1', 241522531L, datetime.datetime(2013, 5, 28, 21, 3, 11), 0.263313422719054, False, 'best']
['omega22', 202591422, 'expand_tile', '1', 241522531L, datetime.datetime(2013, 5, 28, 21, 3, 14), 0.263313422719054, False, 'best']
['omega22', 202591422, 'view_full_application', '1', 241522531L, datetime.datetime(2013, 5, 28, 21, 3, 31), 0.263313422719054, False, 'best']
['omega22', 202591422, 'impression', '3', 241520654L, datetime.datetime(2013, 5, 28, 21, 3, 56), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '1', 241522531L, datetime.datetime(2013, 5, 28, 21, 3, 56), 0.263313422719054, False, 'best']
['omega22', 202591422, 'impression', '5', 241521240L, datetime.datetime(2013, 5, 28, 21, 3, 56), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '4', 241521683L, datetime.datetime(2013, 5, 28, 21, 3, 56), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'impression', '2', 241520836L, datetime.datetime(2013, 5, 28, 21, 3, 56), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '6', 241522592L, datetime.datetime(2013, 5, 28, 21, 3, 56), 0.0285199170657578, False, 'best']
['omega22', 202591422, 'view_full_application_via_name', '6', 241522592L, datetime.datetime(2013, 5, 28, 21, 3, 59), 0.0285199170657578, False, 'best']
['omega22', 202591422, 'impression', '2', 241520836L, datetime.datetime(2013, 5, 28, 21, 4, 46), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '4', 241521683L, datetime.datetime(2013, 5, 28, 21, 4, 46), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'impression', '5', 241521240L, datetime.datetime(2013, 5, 28, 21, 4, 46), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '3', 241520654L, datetime.datetime(2013, 5, 28, 21, 4, 46), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '1', 241522531L, datetime.datetime(2013, 5, 28, 21, 4, 46), 0.263313422719054, False, 'best']
['omega22', 202591422, 'impression', '6', 241522592L, datetime.datetime(2013, 5, 28, 21, 4, 46), 0.0285199170657578, False, 'best']

['omega22', 202591422, 'impression', '3', 241520654L, datetime.datetime(2013, 5, 28, 21, 50, 34), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '1', 241522531L, datetime.datetime(2013, 5, 28, 21, 50, 34), 0.263313422719054, False, 'best']
['omega22', 202591422, 'impression', '6', 241522592L, datetime.datetime(2013, 5, 28, 21, 50, 34), 0.0285199170657578, False, 'best']
['omega22', 202591422, 'impression', '4', 241521683L, datetime.datetime(2013, 5, 28, 21, 50, 34), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'impression', '5', 241521240L, datetime.datetime(2013, 5, 28, 21, 50, 34), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '2', 241520836L, datetime.datetime(2013, 5, 28, 21, 50, 34), 0.134904126182434, False, 'best']

