['ymbproperties', 202585503, 'impression', '6', 241386386L, datetime.datetime(2013, 5, 27, 9, 44, 48), 0.2034512433446, False, 'time']
['ymbproperties', 202585503, 'impression', '3', 241387567L, datetime.datetime(2013, 5, 27, 9, 44, 48), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'impression', '4', 241387385L, datetime.datetime(2013, 5, 27, 9, 44, 48), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'hide', '5', 241387374L, datetime.datetime(2013, 5, 27, 9, 44, 51), 0.124058508986101, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '4', 241387385L, datetime.datetime(2013, 5, 27, 9, 44, 52), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'view_full_application_via_name', '4', 241387385L, datetime.datetime(2013, 5, 27, 9, 45, 10), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'impression', '4', 241387567L, datetime.datetime(2013, 5, 27, 9, 46, 23), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'impression', '3', 241388040L, datetime.datetime(2013, 5, 27, 9, 46, 23), 0.137023151153635, False, 'time']
['ymbproperties', 202585503, 'impression', '6', 241386386L, datetime.datetime(2013, 5, 27, 9, 46, 23), 0.2034512433446, False, 'time']
['ymbproperties', 202585503, 'impression', '2', 241388189L, datetime.datetime(2013, 5, 27, 9, 46, 23), 0.224016632612568, False, 'time']
['ymbproperties', 202585503, 'impression', '1', 241388333L, datetime.datetime(2013, 5, 27, 9, 46, 23), 0.0990823012572392, False, 'time']
['ymbproperties', 202585503, 'impression', '5', 241387385L, datetime.datetime(2013, 5, 27, 9, 46, 23), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'shortlist', '5', 241387385L, datetime.datetime(2013, 5, 27, 9, 46, 25), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '4', 241387567L, datetime.datetime(2013, 5, 27, 9, 46, 27), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'view_full_application_via_name', '4', 241387567L, datetime.datetime(2013, 5, 27, 9, 46, 33), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'impression', '3', 241388040L, datetime.datetime(2013, 5, 27, 9, 47, 48), 0.137023151153635, False, 'time']
['ymbproperties', 202585503, 'impression', '6', 241386386L, datetime.datetime(2013, 5, 27, 9, 47, 48), 0.2034512433446, False, 'time']
['ymbproperties', 202585503, 'impression', '2', 241388189L, datetime.datetime(2013, 5, 27, 9, 47, 48), 0.224016632612568, False, 'time']
['ymbproperties', 202585503, 'impression', '4', 241387567L, datetime.datetime(2013, 5, 27, 9, 47, 48), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'impression', '1', 241388333L, datetime.datetime(2013, 5, 27, 9, 47, 48), 0.0990823012572392, False, 'time']
['ymbproperties', 202585503, 'impression', '5', 241387385L, datetime.datetime(2013, 5, 27, 9, 47, 48), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'shortlist', '4', 241387567L, datetime.datetime(2013, 5, 27, 9, 47, 50), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '3', 241388040L, datetime.datetime(2013, 5, 27, 9, 47, 51), 0.137023151153635, False, 'time']
['ymbproperties', 202585503, 'view_full_application_via_name', '3', 241388040L, datetime.datetime(2013, 5, 27, 9, 48), 0.137023151153635, False, 'time']
['ymbproperties', 202585503, 'impression', '2', 241388189L, datetime.datetime(2013, 5, 27, 9, 53, 29), 0.224016632612568, False, 'time']
