['ronengil', 202578138, 'impression', '5', 241216263L, datetime.datetime(2013, 5, 27, 0, 30, 44), 0.0729849558133814, False, 'time']
['ronengil', 202578138, 'impression', '1', 241264895L, datetime.datetime(2013, 5, 27, 0, 30, 44), 0.169820317694217, False, 'time']
['ronengil', 202578138, 'impression', '2', 241248029L, datetime.datetime(2013, 5, 27, 0, 30, 44), 0.0970462221786033, False, 'time']
['ronengil', 202578138, 'view_full_application_via_name', '3', 241217327L, datetime.datetime(2013, 5, 27, 0, 30, 54), 0.0920876411594727, False, 'time']
['ronengil', 202578138, 'impression', '5', 241216263L, datetime.datetime(2013, 5, 27, 0, 31, 9), 0.0729849558133814, False, 'time']
['ronengil', 202578138, 'impression', '1', 241264895L, datetime.datetime(2013, 5, 27, 0, 31, 9), 0.169820317694217, False, 'time']
['ronengil', 202578138, 'impression', '4', 241216571L, datetime.datetime(2013, 5, 27, 0, 31, 9), 0.226922797095006, False, 'time']
['ronengil', 202578138, 'impression', '3', 241217327L, datetime.datetime(2013, 5, 27, 0, 31, 9), 0.0920876411594727, False, 'time']
['ronengil', 202578138, 'impression', '2', 241248029L, datetime.datetime(2013, 5, 27, 0, 31, 9), 0.0970462221786033, False, 'time']
['ronengil', 202578138, 'view_full_application_via_name', '2', 241248029L, datetime.datetime(2013, 5, 27, 0, 31, 12), 0.0970462221786033, False, 'time']
['ronengil', 202578138, 'impression', '2', 241248029L, datetime.datetime(2013, 5, 27, 0, 35, 57), 0.0970462221786033, False, 'time']
['ronengil', 202578138, 'impression', '1', 241264895L, datetime.datetime(2013, 5, 27, 0, 35, 57), 0.169820317694217, False, 'time']
['ronengil', 202578138, 'impression', '5', 241216263L, datetime.datetime(2013, 5, 27, 0, 35, 57), 0.0729849558133814, False, 'time']
['ronengil', 202578138, 'impression', '4', 241216571L, datetime.datetime(2013, 5, 27, 0, 35, 57), 0.226922797095006, False, 'time']
['ronengil', 202578138, 'impression', '3', 241217327L, datetime.datetime(2013, 5, 27, 0, 35, 57), 0.0920876411594727, False, 'time']
['ronengil', 202578138, 'view_full_application_via_name', '2', 241248029L, datetime.datetime(2013, 5, 27, 0, 35, 59), 0.0970462221786033, False, 'time']
