['d_postle', 202578974, 'impression', '3', 241286692L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.12495539086819, False, 'best']
['d_postle', 202578974, 'impression', '7', 241235987L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.0953500603976516, False, 'best']
['d_postle', 202578974, 'impression', '5', 241283533L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.112143945461425, False, 'best']
['d_postle', 202578974, 'impression', '6', 241325699L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.111124732679982, False, 'best']
['d_postle', 202578974, 'impression', '8', 241229877L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.0949376358585045, False, 'best']
['d_postle', 202578974, 'impression', '1', 241244132L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'impression', '13', 241418058L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.0445434352410866, False, 'best']
['d_postle', 202578974, 'impression', '11', 241340666L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.0598096338112812, False, 'best']
['d_postle', 202578974, 'impression', '9', 241238390L, datetime.datetime(2013, 5, 28, 20, 19, 18), 0.0923854162862571, False, 'best']
['d_postle', 202578974, 'expand_tile', '1', 241244132L, datetime.datetime(2013, 5, 28, 20, 19, 35), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'send_message', '1', 241244132L, datetime.datetime(2013, 5, 28, 20, 19, 41), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'expand_tile', '1', 241244132L, datetime.datetime(2013, 5, 28, 20, 20, 4), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'expand_tile', '12', 241232161L, datetime.datetime(2013, 5, 28, 20, 21, 20), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'send_message', '12', 241232161L, datetime.datetime(2013, 5, 28, 20, 21, 26), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'expand_tile', '12', 241232161L, datetime.datetime(2013, 5, 28, 20, 21, 41), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'impression', '7', 241235987L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0953500603976516, False, 'best']
['d_postle', 202578974, 'impression', '3', 241286692L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.12495539086819, False, 'best']
['d_postle', 202578974, 'impression', '5', 241283533L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.112143945461425, False, 'best']
['d_postle', 202578974, 'impression', '6', 241325699L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.111124732679982, False, 'best']
['d_postle', 202578974, 'impression', '14', 241262640L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0315379037504462, False, 'best']
['d_postle', 202578974, 'impression', '10', 241257429L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0659824258372086, False, 'best']
['d_postle', 202578974, 'impression', '2', 241236559L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.137706028369775, False, 'best']
['d_postle', 202578974, 'impression', '1', 241244132L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'impression', '13', 241418058L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0445434352410866, False, 'best']
['d_postle', 202578974, 'impression', '8', 241229877L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0949376358585045, False, 'best']
['d_postle', 202578974, 'impression', '4', 241343344L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.114040244423995, False, 'best']
['d_postle', 202578974, 'impression', '11', 241340666L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0598096338112812, False, 'best']
['d_postle', 202578974, 'impression', '9', 241238390L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0923854162862571, False, 'best']
['d_postle', 202578974, 'impression', '12', 241232161L, datetime.datetime(2013, 5, 28, 20, 26, 21), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'expand_tile', '2', 241236559L, datetime.datetime(2013, 5, 28, 20, 26, 35), 0.137706028369775, False, 'best']
['d_postle', 202578974, 'expand_tile', '3', 241286692L, datetime.datetime(2013, 5, 28, 20, 27, 27), 0.12495539086819, False, 'best']
['d_postle', 202578974, 'collapse_tile', '3', 241286692L, datetime.datetime(2013, 5, 28, 20, 27, 43), 0.12495539086819, False, 'best']

