['dimonier', 202567246, 'impression', '11', 240995166L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.00917847619166403, False, 'best']
['dimonier', 202567246, 'impression', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.205487970665106, False, 'best']
['dimonier', 202567246, 'impression', '5', 241017125L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0358876276456999, False, 'best']
['dimonier', 202567246, 'impression', '4', 240996570L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0448854531681272, False, 'best']
['dimonier', 202567246, 'impression', '2', 241028628L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.125838706551899, False, 'best']
['dimonier', 202567246, 'impression', '13', 240996008L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0077064953558724, False, 'best']
['dimonier', 202567246, 'impression', '20', 240996486L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.00307806658602516, False, 'best']
['dimonier', 202567246, 'impression', '18', 241018630L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.00473619267846308, False, 'best']
['dimonier', 202567246, 'impression', '3', 241005330L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.105489983730046, False, 'best']
['dimonier', 202567246, 'impression', '7', 241006401L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0296270701984271, False, 'best']
['dimonier', 202567246, 'impression', '9', 240995229L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0145330353315065, False, 'best']
['dimonier', 202567246, 'impression', '14', 240996388L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.00747769791002216, False, 'best']
['dimonier', 202567246, 'impression', '10', 240996492L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0103049529819761, False, 'best']
['dimonier', 202567246, 'impression', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', '8', 241006930L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0154460420699893, False, 'best']
['dimonier', 202567246, 'impression', '16', 240995577L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.0053820686591774, False, 'best']
['dimonier', 202567246, 'impression', '19', 240995015L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.00394081032907306, False, 'best']
['dimonier', 202567246, 'impression', '15', 241010275L, datetime.datetime(2013, 5, 23, 15, 33, 21), 0.00540695132281655, False, 'best']
['dimonier', 202567246, 'impression', '4', 240996570L, datetime.datetime(2013, 5, 23, 15, 33, 44), 0.0448854531681272, False, 'best']
['dimonier', 202567246, 'impression', '5', 241017125L, datetime.datetime(2013, 5, 23, 15, 33, 45), 0.0358876276456999, False, 'best']
['dimonier', 202567246, 'impression', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 48), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 51), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'unshortlist', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 51), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', None, 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 51), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 51), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', None, 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 55), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 55), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 59), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', '6', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 59), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', None, 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 59), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', None, 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 59), 0.0328710299463042, False, 'best']
['dimonier', 202567246, 'impression', '7', 241006401L, datetime.datetime(2013, 5, 23, 15, 34, 3), 0.0296270701984271, False, 'best']
['dimonier', 202567246, 'impression', '7', 241006401L, datetime.datetime(2013, 5, 23, 15, 34, 7), 0.0296270701984271, False, 'best']
['dimonier', 202567246, 'impression', '8', 241006930L, datetime.datetime(2013, 5, 23, 15, 34, 8), 0.0154460420699893, False, 'best']
['dimonier', 202567246, 'impression', '10', 240996492L, datetime.datetime(2013, 5, 23, 15, 34, 10), 0.0103049529819761, False, 'best']
['dimonier', 202567246, 'impression', '10', 240996492L, datetime.datetime(2013, 5, 23, 15, 34, 10), 0.0103049529819761, False, 'best']
['dimonier', 202567246, 'impression', '12', 241000117L, datetime.datetime(2013, 5, 23, 15, 34, 16), 0.00844354129163153, False, 'best']
['dimonier', 202567246, 'impression', '12', 241000117L, datetime.datetime(2013, 5, 23, 15, 34, 17), 0.00844354129163153, False, 'best']
['dimonier', 202567246, 'impression', '13', 240996008L, datetime.datetime(2013, 5, 23, 15, 34, 18), 0.0077064953558724, False, 'best']
['dimonier', 202567246, 'impression', '13', 240996008L, datetime.datetime(2013, 5, 23, 15, 34, 18), 0.0077064953558724, False, 'best']
['dimonier', 202567246, 'impression', '14', 240996388L, datetime.datetime(2013, 5, 23, 15, 34, 20), 0.00747769791002216, False, 'best']
['dimonier', 202567246, 'impression', '21', 240998164L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00294819551322677, False, 'best']
['dimonier', 202567246, 'impression', '21', 240998164L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00294819551322677, False, 'best']
['dimonier', 202567246, 'impression', '21', 240998164L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00294819551322677, False, 'best']
['dimonier', 202567246, 'impression', '21', 240998164L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00294819551322677, False, 'best']
['dimonier', 202567246, 'impression', '21', 240998164L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00294819551322677, False, 'best']
['dimonier', 202567246, 'impression', '22', 241013132L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00263343255369351, False, 'best']
['dimonier', 202567246, 'impression', '22', 241013132L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00263343255369351, False, 'best']
['dimonier', 202567246, 'impression', '22', 241013132L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00263343255369351, False, 'best']
['dimonier', 202567246, 'impression', '22', 241013132L, datetime.datetime(2013, 5, 23, 15, 34, 39), 0.00263343255369351, False, 'best']
