['joomgo', 202537819, 'impression', '13', 240389797L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389592L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '14', 240390460L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '9', 240388793L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '20', 240391403L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.361969421345516, False, 'best']
['joomgo', 202537819, 'impression', '16', 240389529L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.471139736885629, False, 'best']
['joomgo', 202537819, 'impression', '3', 240393521L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.765027005849536, False, 'best']
['joomgo', 202537819, 'impression', '10', 240415503L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.555903224209991, False, 'best']
['joomgo', 202537819, 'impression', '7', 240389186L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.69112622071641, False, 'best']
['joomgo', 202537819, 'impression', '12', 240388911L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.531476342022333, False, 'best']
['joomgo', 202537819, 'impression', '8', 240421097L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.631786368756209, False, 'best']
['joomgo', 202537819, 'impression', '19', 240388940L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.446760022206389, False, 'best']
['joomgo', 202537819, 'impression', '18', 240388988L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.462352913868576, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '4', 240414630L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.715453915992007, False, 'best']
['joomgo', 202537819, 'impression', '17', 240389380L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '11', 240394735L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.543885236981424, False, 'best']
['joomgo', 202537819, 'impression', '15', 240391507L, datetime.datetime(2013, 5, 15, 16, 13, 12), 0.492551117793717, False, 'best']
['joomgo', 202537819, 'impression', '15', 240391507L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.492551117793717, False, 'best']
['joomgo', 202537819, 'impression', '11', 240394735L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.543885236981424, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '16', 240389529L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.471139736885629, False, 'best']
['joomgo', 202537819, 'impression', '3', 240393521L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.765027005849536, False, 'best']
['joomgo', 202537819, 'impression', '4', 240414630L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.715453915992007, False, 'best']
['joomgo', 202537819, 'impression', '17', 240389380L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '6', 240389534L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '7', 240389186L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.69112622071641, False, 'best']
['joomgo', 202537819, 'impression', '12', 240388911L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.531476342022333, False, 'best']
['joomgo', 202537819, 'impression', '10', 240415503L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.555903224209991, False, 'best']
['joomgo', 202537819, 'impression', '18', 240388988L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.462352913868576, False, 'best']
['joomgo', 202537819, 'impression', '8', 240421097L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.631786368756209, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '19', 240388940L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.446760022206389, False, 'best']
['joomgo', 202537819, 'impression', '13', 240389797L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '9', 240388793L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389592L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '14', 240390460L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '20', 240391403L, datetime.datetime(2013, 5, 15, 16, 13, 30), 0.361969421345516, False, 'best']
['joomgo', 202537819, 'impression', '7', 240389186L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.69112622071641, False, 'best']
['joomgo', 202537819, 'impression', '10', 240415503L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.555903224209991, False, 'best']
['joomgo', 202537819, 'impression', '12', 240388911L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.531476342022333, False, 'best']
['joomgo', 202537819, 'impression', '6', 240389534L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '15', 240391507L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.492551117793717, False, 'best']
['joomgo', 202537819, 'impression', '11', 240394735L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.543885236981424, False, 'best']
['joomgo', 202537819, 'impression', '13', 240389797L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '14', 240390460L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '9', 240388793L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389592L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '20', 240391403L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.361969421345516, False, 'best']
['joomgo', 202537819, 'impression', '3', 240393521L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.765027005849536, False, 'best']
['joomgo', 202537819, 'impression', '16', 240389529L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.471139736885629, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '8', 240421097L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.631786368756209, False, 'best']
['joomgo', 202537819, 'impression', '18', 240388988L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.462352913868576, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '19', 240388940L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.446760022206389, False, 'best']
['joomgo', 202537819, 'impression', '4', 240414630L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.715453915992007, False, 'best']
['joomgo', 202537819, 'impression', '17', 240389380L, datetime.datetime(2013, 5, 15, 16, 14, 17), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '3', 240393521L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.765027005849536, False, 'best']
['joomgo', 202537819, 'impression', '16', 240389529L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.471139736885629, False, 'best']
['joomgo', 202537819, 'impression', '17', 240389380L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '4', 240414630L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.715453915992007, False, 'best']
['joomgo', 202537819, 'impression', '20', 240391403L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.361969421345516, False, 'best']
['joomgo', 202537819, 'impression', '9', 240388793L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '13', 240389797L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389592L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '14', 240390460L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '7', 240389186L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.69112622071641, False, 'best']
['joomgo', 202537819, 'impression', '10', 240415503L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.555903224209991, False, 'best']
['joomgo', 202537819, 'impression', '12', 240388911L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.531476342022333, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '6', 240389534L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '15', 240391507L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.492551117793717, False, 'best']
['joomgo', 202537819, 'impression', '11', 240394735L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.543885236981424, False, 'best']
['joomgo', 202537819, 'impression', '8', 240421097L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.631786368756209, False, 'best']
['joomgo', 202537819, 'impression', '19', 240388940L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.446760022206389, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '18', 240388988L, datetime.datetime(2013, 5, 15, 16, 19, 33), 0.462352913868576, False, 'best']

['joomgo', 202537819, 'impression', '8', 240421097L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.631786368756209, False, 'best']
['joomgo', 202537819, 'impression', '20', 240388940L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.446760022206389, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '19', 240388988L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.462352913868576, False, 'best']
['joomgo', 202537819, 'impression', '6', 240389534L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '7', 240389186L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.69112622071641, False, 'best']
['joomgo', 202537819, 'impression', '12', 240388911L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.531476342022333, False, 'best']
['joomgo', 202537819, 'impression', '10', 240415503L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.555903224209991, False, 'best']
['joomgo', 202537819, 'impression', '18', 240389380L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '4', 240414630L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.715453915992007, False, 'best']
['joomgo', 202537819, 'impression', '16', 240391507L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.492551117793717, False, 'best']
['joomgo', 202537819, 'impression', '11', 240394735L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.543885236981424, False, 'best']
['joomgo', 202537819, 'impression', '15', 240427196L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.497455994404393, False, 'best']
['joomgo', 202537819, 'impression', '14', 240390460L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389592L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '9', 240388793L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '13', 240389797L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '17', 240389529L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.471139736885629, False, 'best']
['joomgo', 202537819, 'impression', '3', 240393521L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.765027005849536, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 15, 18, 22, 45), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '18', 240389380L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '4', 240414630L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.715453915992007, False, 'best']
['joomgo', 202537819, 'impression', '6', 240389534L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '16', 240391507L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.492551117793717, False, 'best']
['joomgo', 202537819, 'impression', '11', 240394735L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.543885236981424, False, 'best']
['joomgo', 202537819, 'impression', '15', 240427196L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.497455994404393, False, 'best']
['joomgo', 202537819, 'impression', '7', 240389186L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.69112622071641, False, 'best']
['joomgo', 202537819, 'impression', '12', 240388911L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.531476342022333, False, 'best']
['joomgo', 202537819, 'impression', '10', 240415503L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.555903224209991, False, 'best']
['joomgo', 202537819, 'impression', '20', 240388940L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.446760022206389, False, 'best']
['joomgo', 202537819, 'impression', '8', 240421097L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.631786368756209, False, 'best']
['joomgo', 202537819, 'impression', '19', 240388988L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.462352913868576, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '14', 240390460L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '9', 240388793L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '13', 240389797L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389592L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '17', 240389529L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.471139736885629, False, 'best']
