['zevbader', 202594435, 'impression', '18', 241582602L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.10983291082687, False, 'best']
['zevbader', 202594435, 'impression', '1', 241582690L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.443185353008373, False, 'best']
['zevbader', 202594435, 'impression', '15', 241581116L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.118014687335813, False, 'best']
['zevbader', 202594435, 'impression', '13', 241591340L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.126760861964738, False, 'best']
['zevbader', 202594435, 'impression', '19', 241580682L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.10711162094226, False, 'best']
['zevbader', 202594435, 'impression', '7', 241581204L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.167440921516202, False, 'best']
['zevbader', 202594435, 'impression', '4', 241590370L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.222017999665927, False, 'best']
['zevbader', 202594435, 'impression', '17', 241581202L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.110567151604293, False, 'best']
['zevbader', 202594435, 'impression', '12', 241581210L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.127487385142329, False, 'best']
['zevbader', 202594435, 'impression', '9', 241581266L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.139212943287478, False, 'best']
['zevbader', 202594435, 'impression', '5', 241580486L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.217255852192429, False, 'best']
['zevbader', 202594435, 'impression', '8', 241580711L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.156809020577185, False, 'best']
['zevbader', 202594435, 'impression', '10', 241587739L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.135083955903087, False, 'best']
['zevbader', 202594435, 'impression', '16', 241589803L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.11663120004871, False, 'best']
['zevbader', 202594435, 'impression', '6', 241586522L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.171947165220804, False, 'best']
