['vatandoustteam', 202586257, 'impression', '2', 241409656L, datetime.datetime(2013, 5, 27, 15, 37, 38), 0.152177130456024, False, 'time']
['vatandoustteam', 202586257, 'impression', '2', 241409656L, datetime.datetime(2013, 5, 27, 15, 37, 45), 0.152177130456024, False, 'time']
['vatandoustteam', 202586257, 'impression', '1', 241407255L, datetime.datetime(2013, 5, 27, 15, 38, 14), 0.282455283126672, True, 'best']
['vatandoustteam', 202586257, 'impression', '3', 241407547L, datetime.datetime(2013, 5, 27, 15, 38, 14), 0.135805426259404, False, 'best']
['vatandoustteam', 202586257, 'impression', '4', 241408209L, datetime.datetime(2013, 5, 27, 15, 38, 14), 0.110122522069253, False, 'best']
['vatandoustteam', 202586257, 'impression', '2', 241409656L, datetime.datetime(2013, 5, 27, 15, 38, 14), 0.152177130456024, False, 'best']
['vatandoustteam', 202586257, 'impression', '1', 241409656L, datetime.datetime(2013, 5, 27, 15, 38, 21), 0.152177130456024, False, 'time']
['vatandoustteam', 202586257, 'impression', '3', 241407547L, datetime.datetime(2013, 5, 27, 15, 38, 21), 0.135805426259404, False, 'time']
['vatandoustteam', 202586257, 'impression', '2', 241408209L, datetime.datetime(2013, 5, 27, 15, 38, 21), 0.110122522069253, False, 'time']
['vatandoustteam', 202586257, 'impression', '4', 241407255L, datetime.datetime(2013, 5, 27, 15, 38, 21), 0.282455283126672, True, 'time']
['vatandoustteam', 202586257, 'impression', '3', 241407547L, datetime.datetime(2013, 5, 27, 15, 49, 40), 0.135805426259404, False, 'best']
['vatandoustteam', 202586257, 'impression', '5', 241408209L, datetime.datetime(2013, 5, 27, 15, 49, 40), 0.110122522069253, False, 'best']
['vatandoustteam', 202586257, 'impression', '4', 241410735L, datetime.datetime(2013, 5, 27, 15, 49, 40), 0.113305171034562, False, 'best']
['vatandoustteam', 202586257, 'impression', '2', 241409656L, datetime.datetime(2013, 5, 27, 15, 49, 40), 0.152177130456024, False, 'best']
['vatandoustteam', 202586257, 'impression', '1', 241407255L, datetime.datetime(2013, 5, 27, 15, 49, 40), 0.282455283126672, True, 'best']
['vatandoustteam', 202586257, 'impression', '1', 241407255L, datetime.datetime(2013, 5, 27, 15, 53, 32), 0.282455283126672, True, 'best']
['vatandoustteam', 202586257, 'impression', '1', 241407255L, datetime.datetime(2013, 5, 27, 15, 58, 58), 0.282455283126672, True, 'best']
['vatandoustteam', 202586257, 'impression', '4', 241410735L, datetime.datetime(2013, 5, 27, 15, 58, 58), 0.113305171034562, False, 'best']
['vatandoustteam', 202586257, 'impression', '5', 241408209L, datetime.datetime(2013, 5, 27, 15, 58, 58), 0.110122522069253, False, 'best']
['vatandoustteam', 202586257, 'impression', '3', 241407547L, datetime.datetime(2013, 5, 27, 15, 58, 58), 0.135805426259404, False, 'best']
['vatandoustteam', 202586257, 'impression', '2', 241409656L, datetime.datetime(2013, 5, 27, 15, 58, 58), 0.152177130456024, False, 'best']
['vatandoustteam', 202586257, 'impression', '4', 241407547L, datetime.datetime(2013, 5, 27, 15, 59, 25), 0.135805426259404, False, 'time']
['vatandoustteam', 202586257, 'impression', '3', 241408209L, datetime.datetime(2013, 5, 27, 15, 59, 25), 0.110122522069253, False, 'time']
['vatandoustteam', 202586257, 'impression', '1', 241410735L, datetime.datetime(2013, 5, 27, 15, 59, 25), 0.113305171034562, False, 'time']
['vatandoustteam', 202586257, 'impression', '2', 241409656L, datetime.datetime(2013, 5, 27, 15, 59, 25), 0.152177130456024, False, 'time']
['vatandoustteam', 202586257, 'impression', '5', 241407255L, datetime.datetime(2013, 5, 27, 15, 59, 25), 0.282455283126672, True, 'time']
['vatandoustteam', 202586257, 'impression', '5', 241407255L, datetime.datetime(2013, 5, 27, 15, 59, 45), 0.282455283126672, True, 'time']
['vatandoustteam', 202586257, 'view_full_application_via_name', '5', 241407255L, datetime.datetime(2013, 5, 27, 16, 4, 17), 0.282455283126672, True, 'time']

['vatandoustteam', 202586257, 'impression', '3', 241414445L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.206381454342298, False, 'best']
['vatandoustteam', 202586257, 'impression', '9', 241414464L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.0918440061751777, False, 'best']
['vatandoustteam', 202586257, 'impression', '2', 241412890L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.267744717918251, False, 'best']
['vatandoustteam', 202586257, 'impression', '6', 241411932L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.12029117536948, False, 'best']
['vatandoustteam', 202586257, 'impression', '7', 241410735L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.113305171034562, False, 'best']
['vatandoustteam', 202586257, 'impression', '5', 241407547L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.135805426259404, False, 'best']
['vatandoustteam', 202586257, 'impression', '8', 241408209L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.110122522069253, False, 'best']
['vatandoustteam', 202586257, 'impression', '4', 241409656L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.152177130456024, False, 'best']
['vatandoustteam', 202586257, 'impression', '1', 241407255L, datetime.datetime(2013, 5, 27, 16, 41, 48), 0.282455283126672, True, 'best']
['vatandoustteam', 202586257, 'impression', '9', 241407255L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.282455283126672, True, 'time']
['vatandoustteam', 202586257, 'impression', '4', 241411932L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.12029117536948, False, 'time']
['vatandoustteam', 202586257, 'impression', '6', 241409656L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.152177130456024, False, 'time']
['vatandoustteam', 202586257, 'impression', '2', 241414445L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.206381454342298, False, 'time']
['vatandoustteam', 202586257, 'impression', '8', 241407547L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.135805426259404, False, 'time']
['vatandoustteam', 202586257, 'impression', '5', 241410735L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.113305171034562, False, 'time']
['vatandoustteam', 202586257, 'impression', '7', 241408209L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.110122522069253, False, 'time']
['vatandoustteam', 202586257, 'impression', '3', 241412890L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.267744717918251, False, 'time']
['vatandoustteam', 202586257, 'impression', '1', 241414464L, datetime.datetime(2013, 5, 27, 16, 41, 55), 0.0918440061751777, False, 'time']

