['tgimmarketing', 202546799, 'impression', '3', 240578653L, datetime.datetime(2013, 5, 16, 22, 48, 58), 0.247225904672599, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240579224L, datetime.datetime(2013, 5, 16, 22, 48, 58), 0.122593576795364, True, 'best']
['tgimmarketing', 202546799, 'expand_tile', '4', 240579224L, datetime.datetime(2013, 5, 16, 22, 49, 2), 0.122593576795364, True, 'best']
['tgimmarketing', 202546799, 'view_full_application', '4', 240579224L, datetime.datetime(2013, 5, 16, 22, 49, 5), 0.122593576795364, True, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 16, 22, 49, 46), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 16, 22, 49, 46), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240579224L, datetime.datetime(2013, 5, 16, 22, 49, 46), 0.122593576795364, True, 'best']
['tgimmarketing', 202546799, 'expand_tile', '2', 240573874L, datetime.datetime(2013, 5, 16, 22, 49, 50), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'view_full_application', '2', 240573874L, datetime.datetime(2013, 5, 16, 22, 49, 53), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 16, 22, 50, 17), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240579224L, datetime.datetime(2013, 5, 16, 22, 50, 17), 0.122593576795364, True, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 16, 22, 50, 17), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '3', 240579224L, datetime.datetime(2013, 5, 16, 22, 50, 24), 0.122593576795364, True, 'best']
['tgimmarketing', 202546799, 'hire', '3', 240579224L, datetime.datetime(2013, 5, 16, 22, 50, 26), 0.122593576795364, True, 'best']

['tgimmarketing', 202546799, 'impression', '3', 240580616L, datetime.datetime(2013, 5, 17, 0, 17, 16), 0.13540270266165, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 0, 17, 16), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 0, 17, 16), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '3', 240580616L, datetime.datetime(2013, 5, 17, 0, 17, 19), 0.13540270266165, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240580616L, datetime.datetime(2013, 5, 17, 0, 17, 28), 0.13540270266165, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240580616L, datetime.datetime(2013, 5, 17, 0, 17, 28), 0.13540270266165, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '3', 240580616L, datetime.datetime(2013, 5, 17, 0, 17, 28), 0.13540270266165, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 0, 17, 29), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 0, 17, 30), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 0, 17, 40), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '1', 240572454L, datetime.datetime(2013, 5, 17, 0, 17, 45), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'hire', '1', 240572454L, datetime.datetime(2013, 5, 17, 0, 17, 48), 0.276754980041789, False, 'best']

['tgimmarketing', 202546799, 'impression', '5', 240586073L, datetime.datetime(2013, 5, 17, 2, 16, 18), 0.0391824276721857, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 2, 16, 18), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 2, 16, 18), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240583334L, datetime.datetime(2013, 5, 17, 2, 16, 18), 0.0196139189676534, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240585073L, datetime.datetime(2013, 5, 17, 2, 16, 18), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '4', 240585073L, datetime.datetime(2013, 5, 17, 2, 16, 30), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '5', 240586073L, datetime.datetime(2013, 5, 17, 2, 16, 38), 0.0391824276721857, False, 'best']

['tgimmarketing', 202546799, 'impression', '5', 240586073L, datetime.datetime(2013, 5, 17, 3, 35, 7), 0.0391824276721857, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240583334L, datetime.datetime(2013, 5, 17, 3, 35, 7), 0.0196139189676534, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 3, 35, 7), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 3, 35, 7), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240585073L, datetime.datetime(2013, 5, 17, 3, 35, 7), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '3', 240583334L, datetime.datetime(2013, 5, 17, 3, 35, 18), 0.0196139189676534, False, 'best']
