['triffort1', 202552394, 'impression', '11', 240684806L, datetime.datetime(2013, 5, 18, 9, 2, 12), 0.0201163106175971, False, 'time']
['triffort1', 202552394, 'impression', '4', 240685253L, datetime.datetime(2013, 5, 18, 9, 6, 36), 0.00371658334069716, False, 'time']
['triffort1', 202552394, 'impression', '3', 240687716L, datetime.datetime(2013, 5, 18, 9, 6, 36), 0.0040649150776471, False, 'time']
['triffort1', 202552394, 'impression', '2', 240687743L, datetime.datetime(2013, 5, 18, 9, 6, 36), 0.00405741718520508, False, 'time']
['triffort1', 202552394, 'impression', '1', 240689962L, datetime.datetime(2013, 5, 18, 9, 6, 36), 0.00646433669836601, False, 'time']
['triffort1', 202552394, 'impression', '3', 240687716L, datetime.datetime(2013, 5, 18, 9, 6, 51), 0.0040649150776471, False, 'time']
['triffort1', 202552394, 'impression', '1', 240689962L, datetime.datetime(2013, 5, 18, 9, 6, 51), 0.00646433669836601, False, 'time']
['triffort1', 202552394, 'impression', '4', 240685253L, datetime.datetime(2013, 5, 18, 9, 6, 51), 0.00371658334069716, False, 'time']
['triffort1', 202552394, 'impression', '2', 240687743L, datetime.datetime(2013, 5, 18, 9, 6, 51), 0.00405741718520508, False, 'time']

['triffort1', 202552394, 'impression', '8', 240687944L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00918813018461164, False, 'time']
['triffort1', 202552394, 'impression', '1', 240693204L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00901366429705137, False, 'time']
['triffort1', 202552394, 'impression', '4', 240689952L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00948561734995838, False, 'time']
['triffort1', 202552394, 'impression', '11', 240685253L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00371658334069716, False, 'time']
['triffort1', 202552394, 'impression', '5', 240689067L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.0062319575894812, False, 'time']
['triffort1', 202552394, 'impression', '10', 240687716L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.0040649150776471, False, 'time']
['triffort1', 202552394, 'impression', '6', 240688992L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00315982419667049, False, 'time']
['triffort1', 202552394, 'impression', '9', 240687743L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00405741718520508, False, 'time']
['triffort1', 202552394, 'impression', '3', 240689962L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00646433669836601, False, 'time']
['triffort1', 202552394, 'impression', '7', 240688911L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.0164068515761762, False, 'time']
['triffort1', 202552394, 'impression', '2', 240692957L, datetime.datetime(2013, 5, 18, 9, 43, 22), 0.00970196634778619, False, 'time']
['triffort1', 202552394, 'impression', '1', 240693204L, datetime.datetime(2013, 5, 18, 9, 43, 25), 0.00901366429705137, False, 'time']

