['jimmysmith92001', 202568285, 'impression', '18', 241033053L, datetime.datetime(2013, 5, 23, 10, 48, 17), 0.106888917631112, False, 'best']
['jimmysmith92001', 202568285, 'impression', '6', 241019367L, datetime.datetime(2013, 5, 23, 10, 48, 17), 0.275713885169975, False, 'best']
['jimmysmith92001', 202568285, 'impression', '2', 241067496L, datetime.datetime(2013, 5, 23, 10, 48, 17), 0.477288758705662, False, 'best']
['jimmysmith92001', 202568285, 'impression', '15', 241022229L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.152185807978081, False, 'best']
['jimmysmith92001', 202568285, 'impression', '4', 241081163L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.448034430045134, False, 'best']
['jimmysmith92001', 202568285, 'impression', '9', 241019690L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.231015942046299, False, 'best']
['jimmysmith92001', 202568285, 'impression', '3', 241018489L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.46838181012682, False, 'best']
['jimmysmith92001', 202568285, 'impression', '8', 241066982L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.24254692808489, False, 'best']
['jimmysmith92001', 202568285, 'impression', '6', 241019367L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.275713885169975, False, 'best']
['jimmysmith92001', 202568285, 'impression', '18', 241033053L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.106888917631112, False, 'best']
['jimmysmith92001', 202568285, 'impression', '2', 241067496L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.477288758705662, False, 'best']
['jimmysmith92001', 202568285, 'impression', '7', 241039349L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.244985192864418, False, 'best']
['jimmysmith92001', 202568285, 'impression', '13', 241019467L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.180679618698168, False, 'best']
['jimmysmith92001', 202568285, 'impression', '10', 241018876L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.219884558857108, False, 'best']
['jimmysmith92001', 202568285, 'impression', '16', 241026558L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.129242989538552, False, 'best']
['jimmysmith92001', 202568285, 'impression', '1', 241018652L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.489950800821495, False, 'best']
['jimmysmith92001', 202568285, 'impression', '17', 241023309L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.111307965079611, False, 'best']
['jimmysmith92001', 202568285, 'impression', '12', 241018288L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.197797401281896, False, 'best']
['jimmysmith92001', 202568285, 'impression', '11', 241018264L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.209598209186324, False, 'best']
['jimmysmith92001', 202568285, 'impression', '19', 241023845L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.0615028164338589, False, 'best']
['jimmysmith92001', 202568285, 'impression', '14', 241026052L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.164965469816625, False, 'best']
['jimmysmith92001', 202568285, 'impression', '5', 241018558L, datetime.datetime(2013, 5, 23, 10, 48, 40), 0.366309577999949, True, 'best']

['jimmysmith92001', 202568285, 'impression', '17', 241100038L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.112477522705586, False, 'best']
['jimmysmith92001', 202568285, 'impression', '15', 241022229L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.152185807978081, False, 'best']
['jimmysmith92001', 202568285, 'impression', '7', 241039349L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.244985192864418, False, 'best']
['jimmysmith92001', 202568285, 'impression', '6', 241019367L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.275713885169975, False, 'best']
['jimmysmith92001', 202568285, 'impression', '2', 241067496L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.477288758705662, False, 'best']
['jimmysmith92001', 202568285, 'impression', '8', 241066982L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.24254692808489, False, 'best']
['jimmysmith92001', 202568285, 'impression', '19', 241033053L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.106888917631112, False, 'best']
['jimmysmith92001', 202568285, 'impression', '3', 241018489L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.46838181012682, False, 'best']
['jimmysmith92001', 202568285, 'impression', '9', 241019690L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.231015942046299, False, 'best']
['jimmysmith92001', 202568285, 'impression', '5', 241018558L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.366309577999949, True, 'best']
['jimmysmith92001', 202568285, 'impression', '20', 241023845L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.0615028164338589, False, 'best']
['jimmysmith92001', 202568285, 'impression', '14', 241026052L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.164965469816625, False, 'best']
['jimmysmith92001', 202568285, 'impression', '13', 241019467L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.180679618698168, False, 'best']
['jimmysmith92001', 202568285, 'impression', '16', 241026558L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.129242989538552, False, 'best']
['jimmysmith92001', 202568285, 'impression', '1', 241018652L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.489950800821495, False, 'best']
['jimmysmith92001', 202568285, 'impression', '10', 241018876L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.219884558857108, False, 'best']
['jimmysmith92001', 202568285, 'impression', '4', 241081163L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.448034430045134, False, 'best']
['jimmysmith92001', 202568285, 'impression', '11', 241018264L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.209598209186324, False, 'best']
['jimmysmith92001', 202568285, 'impression', '12', 241018288L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.197797401281896, False, 'best']
['jimmysmith92001', 202568285, 'impression', '18', 241023309L, datetime.datetime(2013, 5, 23, 12, 18, 55), 0.111307965079611, False, 'best']

['jimmysmith92001', 202568285, 'impression', '9', 241019690L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.231015942046299, False, 'best']
['jimmysmith92001', 202568285, 'impression', '3', 241018489L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.46838181012682, False, 'best']
['jimmysmith92001', 202568285, 'impression', '18', 241023309L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.111307965079611, False, 'best']
['jimmysmith92001', 202568285, 'impression', '12', 241018288L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.197797401281896, False, 'best']
['jimmysmith92001', 202568285, 'impression', '15', 241022229L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.152185807978081, False, 'best']
['jimmysmith92001', 202568285, 'impression', '11', 241130779L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.210305240943856, False, 'best']
['jimmysmith92001', 202568285, 'impression', '17', 241100038L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.112477522705586, False, 'best']
['jimmysmith92001', 202568285, 'impression', '19', 241033053L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.106888917631112, False, 'best']
['jimmysmith92001', 202568285, 'impression', '6', 241019367L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.275713885169975, False, 'best']
['jimmysmith92001', 202568285, 'impression', '7', 241039349L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.244985192864418, False, 'best']
['jimmysmith92001', 202568285, 'impression', '2', 241067496L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.477288758705662, False, 'best']
['jimmysmith92001', 202568285, 'impression', '8', 241066982L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.24254692808489, False, 'best']
['jimmysmith92001', 202568285, 'impression', '4', 241081163L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.448034430045134, False, 'best']
['jimmysmith92001', 202568285, 'impression', '20', 241023845L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.0615028164338589, False, 'best']
['jimmysmith92001', 202568285, 'impression', '14', 241026052L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.164965469816625, False, 'best']
['jimmysmith92001', 202568285, 'impression', '5', 241018558L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.366309577999949, True, 'best']
['jimmysmith92001', 202568285, 'impression', '16', 241026558L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.129242989538552, False, 'best']
['jimmysmith92001', 202568285, 'impression', '13', 241019467L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.180679618698168, False, 'best']
['jimmysmith92001', 202568285, 'impression', '10', 241018876L, datetime.datetime(2013, 5, 23, 19, 51, 19), 0.219884558857108, False, 'best']
