['adamschmidt19', 202554353, 'expand_tile', '2', 240742653L, datetime.datetime(2013, 5, 22, 2, 29, 6), 0.136389286209809, False, 'time']
['adamschmidt19', 202554353, 'expand_tile', '4', 240737613L, datetime.datetime(2013, 5, 22, 2, 29, 37), 0.0177157548477191, False, 'time']
['adamschmidt19', 202554353, 'expand_tile', '3', 240742478L, datetime.datetime(2013, 5, 22, 2, 31), 0.0593836917610242, False, 'time']

['adamschmidt19', 202554353, 'collapse_tile', '1', 240875531L, datetime.datetime(2013, 5, 22, 3, 37, 34), 0.0707753875674871, False, 'time']
['adamschmidt19', 202554353, 'expand_tile', '1', 240875531L, datetime.datetime(2013, 5, 22, 3, 37, 37), 0.0707753875674871, False, 'time']
['adamschmidt19', 202554353, 'collapse_tile', '1', 240875531L, datetime.datetime(2013, 5, 22, 3, 37, 46), 0.0707753875674871, False, 'time']
['adamschmidt19', 202554353, 'collapse_tile', '3', 240742478L, datetime.datetime(2013, 5, 22, 3, 37, 49), 0.0593836917610242, False, 'time']
['adamschmidt19', 202554353, 'collapse_tile', '4', 240737613L, datetime.datetime(2013, 5, 22, 3, 37, 52), 0.0177157548477191, False, 'time']
['adamschmidt19', 202554353, 'expand_tile', '4', 240737613L, datetime.datetime(2013, 5, 22, 3, 37, 53), 0.0177157548477191, False, 'time']
['adamschmidt19', 202554353, 'impression', '4', 240737613L, datetime.datetime(2013, 5, 22, 3, 38, 37), 0.0177157548477191, False, 'time']
['adamschmidt19', 202554353, 'send_message', '4', 240737613L, datetime.datetime(2013, 5, 22, 3, 38, 49), 0.0177157548477191, False, 'time']

