['alexspice', 202589435, 'impression', '20', 241477763L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.22624413286775, False, 'best']
['alexspice', 202589435, 'impression', '3', 241477855L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.417683533486543, False, 'best']
['alexspice', 202589435, 'impression', '17', 241479365L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.253248638993568, False, 'best']
['alexspice', 202589435, 'impression', '18', 241482425L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.248235657056903, False, 'best']
['alexspice', 202589435, 'impression', '7', 241478142L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.394125255516226, False, 'best']
['alexspice', 202589435, 'impression', '11', 241491226L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.300704100142838, False, 'best']
['alexspice', 202589435, 'impression', '5', 241552010L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.395807558170411, False, 'best']
['alexspice', 202589435, 'impression', '10', 241481729L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.328743748468698, False, 'best']
['alexspice', 202589435, 'impression', '4', 241478029L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.408235527207039, False, 'best']
['alexspice', 202589435, 'impression', '13', 241480059L, datetime.datetime(2013, 5, 29, 12, 3, 24), 0.288194625055538, False, 'best']
['alexspice', 202589435, 'expand_tile', '1', 241483755L, datetime.datetime(2013, 5, 29, 12, 3, 39), 0.60279532410896, False, 'best']
['alexspice', 202589435, 'collapse_tile', '1', 241483755L, datetime.datetime(2013, 5, 29, 12, 3, 48), 0.60279532410896, False, 'best']
['alexspice', 202589435, 'expand_tile', '2', 241519849L, datetime.datetime(2013, 5, 29, 12, 3, 50), 0.445762875429814, False, 'best']
['alexspice', 202589435, 'collapse_tile', '2', 241519849L, datetime.datetime(2013, 5, 29, 12, 3, 54), 0.445762875429814, False, 'best']
['alexspice', 202589435, 'impression', '5', 241552010L, datetime.datetime(2013, 5, 29, 12, 4, 1), 0.395807558170411, False, 'best']
['alexspice', 202589435, 'impression', '4', 241478029L, datetime.datetime(2013, 5, 29, 12, 4, 7), 0.408235527207039, False, 'best']
['alexspice', 202589435, 'impression', '4', 241478029L, datetime.datetime(2013, 5, 29, 12, 4, 8), 0.408235527207039, False, 'best']
['alexspice', 202589435, 'impression', '5', 241552010L, datetime.datetime(2013, 5, 29, 12, 4, 8), 0.395807558170411, False, 'best']
['alexspice', 202589435, 'impression', '3', 241477855L, datetime.datetime(2013, 5, 29, 12, 4, 14), 0.417683533486543, False, 'best']
['alexspice', 202589435, 'impression', '3', 241477855L, datetime.datetime(2013, 5, 29, 12, 4, 15), 0.417683533486543, False, 'best']
['alexspice', 202589435, 'impression', '5', 241552010L, datetime.datetime(2013, 5, 29, 12, 4, 15), 0.395807558170411, False, 'best']
['alexspice', 202589435, 'impression', '7', 241478142L, datetime.datetime(2013, 5, 29, 12, 4, 19), 0.394125255516226, False, 'best']
['alexspice', 202589435, 'shortlist', '8', 241487811L, datetime.datetime(2013, 5, 29, 12, 4, 30), 0.34321368756892, False, 'best']
['alexspice', 202589435, 'impression', '17', 241479365L, datetime.datetime(2013, 5, 29, 12, 5, 1), 0.253248638993568, False, 'best']
['alexspice', 202589435, 'impression', '17', 241479365L, datetime.datetime(2013, 5, 29, 12, 5, 2), 0.253248638993568, False, 'best']
['alexspice', 202589435, 'impression', '18', 241482425L, datetime.datetime(2013, 5, 29, 12, 5, 2), 0.248235657056903, False, 'best']
['alexspice', 202589435, 'impression', '18', 241482425L, datetime.datetime(2013, 5, 29, 12, 5, 3), 0.248235657056903, False, 'best']
['alexspice', 202589435, 'impression', '18', 241482425L, datetime.datetime(2013, 5, 29, 12, 5, 5), 0.248235657056903, False, 'best']
['alexspice', 202589435, 'view_full_application_via_name', '19', 241483589L, datetime.datetime(2013, 5, 29, 12, 5, 20), 0.22913148438433, False, 'best']
['alexspice', 202589435, 'impression', '10', 241480244L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.288718449190167, False, 'best']
['alexspice', 202589435, 'impression', '18', 241519960L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.210842973589376, False, 'best']
['alexspice', 202589435, 'impression', '6', 241487811L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.34321368756892, False, 'best']
['alexspice', 202589435, 'impression', '1', 241483755L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.60279532410896, False, 'best']
['alexspice', 202589435, 'impression', '11', 241480059L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.288194625055538, False, 'best']
['alexspice', 202589435, 'impression', '7', 241488573L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.337040932698137, False, 'best']
['alexspice', 202589435, 'impression', '4', 241478157L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.395295735827057, True, 'best']
['alexspice', 202589435, 'impression', '12', 241482554L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.272914442258892, False, 'best']
['alexspice', 202589435, 'impression', '17', 241477763L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.22624413286775, False, 'best']
['alexspice', 202589435, 'impression', '14', 241478111L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.263623616451483, False, 'best']
['alexspice', 202589435, 'impression', '16', 241483589L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.22913148438433, False, 'best']
['alexspice', 202589435, 'impression', '2', 241519849L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.445762875429814, False, 'best']
['alexspice', 202589435, 'impression', '19', 241515577L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.204837229116038, False, 'best']
['alexspice', 202589435, 'impression', '20', 241561524L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.195665216634325, False, 'best']
['alexspice', 202589435, 'impression', '15', 241482425L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.248235657056903, False, 'best']
['alexspice', 202589435, 'impression', '8', 241481729L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.328743748468698, False, 'best']
['alexspice', 202589435, 'impression', '9', 241491226L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.300704100142838, False, 'best']
['alexspice', 202589435, 'impression', '5', 241478142L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.394125255516226, False, 'best']
['alexspice', 202589435, 'impression', '3', 241552010L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.395807558170411, False, 'best']
['alexspice', 202589435, 'impression', '13', 241506324L, datetime.datetime(2013, 5, 29, 12, 6, 20), 0.272034431396602, False, 'best']
['alexspice', 202589435, 'impression', '7', 241488573L, datetime.datetime(2013, 5, 29, 12, 6, 29), 0.337040932698137, False, 'best']
['alexspice', 202589435, 'impression', '7', 241488573L, datetime.datetime(2013, 5, 29, 12, 6, 29), 0.337040932698137, False, 'best']
['alexspice', 202589435, 'impression', '7', 241488573L, datetime.datetime(2013, 5, 29, 12, 6, 30), 0.337040932698137, False, 'best']
['alexspice', 202589435, 'impression', '8', 241481729L, datetime.datetime(2013, 5, 29, 12, 6, 31), 0.328743748468698, False, 'best']
['alexspice', 202589435, 'impression', '8', 241481729L, datetime.datetime(2013, 5, 29, 12, 6, 32), 0.328743748468698, False, 'best']
['alexspice', 202589435, 'impression', '8', 241481729L, datetime.datetime(2013, 5, 29, 12, 6, 33), 0.328743748468698, False, 'best']
['alexspice', 202589435, 'impression', '9', 241491226L, datetime.datetime(2013, 5, 29, 12, 6, 34), 0.300704100142838, False, 'best']
['alexspice', 202589435, 'impression', '10', 241480244L, datetime.datetime(2013, 5, 29, 12, 6, 38), 0.288718449190167, False, 'best']
['alexspice', 202589435, 'impression', '10', 241480244L, datetime.datetime(2013, 5, 29, 12, 6, 39), 0.288718449190167, False, 'best']
['alexspice', 202589435, 'impression', '11', 241480059L, datetime.datetime(2013, 5, 29, 12, 6, 40), 0.288194625055538, False, 'best']
['alexspice', 202589435, 'impression', '12', 241482554L, datetime.datetime(2013, 5, 29, 12, 6, 46), 0.272914442258892, False, 'best']
['alexspice', 202589435, 'impression', '12', 241482554L, datetime.datetime(2013, 5, 29, 12, 6, 47), 0.272914442258892, False, 'best']
['alexspice', 202589435, 'expand_tile', '13', 241506324L, datetime.datetime(2013, 5, 29, 12, 6, 56), 0.272034431396602, False, 'best']
['alexspice', 202589435, 'impression', '14', 241478111L, datetime.datetime(2013, 5, 29, 12, 7), 0.263623616451483, False, 'best']
['alexspice', 202589435, 'impression', '14', 241478111L, datetime.datetime(2013, 5, 29, 12, 7, 1), 0.263623616451483, False, 'best']
['alexspice', 202589435, 'impression', '13', 241506324L, datetime.datetime(2013, 5, 29, 12, 7, 1), 0.272034431396602, False, 'best']
['alexspice', 202589435, 'impression', '13', 241506324L, datetime.datetime(2013, 5, 29, 12, 7, 1), 0.272034431396602, False, 'best']
['alexspice', 202589435, 'expand_tile', '13', 241506324L, datetime.datetime(2013, 5, 29, 12, 7, 2), 0.272034431396602, False, 'best']
['alexspice', 202589435, 'impression', '15', 241482425L, datetime.datetime(2013, 5, 29, 12, 7, 4), 0.248235657056903, False, 'best']
['alexspice', 202589435, 'impression', '14', 241478111L, datetime.datetime(2013, 5, 29, 12, 7, 4), 0.263623616451483, False, 'best']
['alexspice', 202589435, 'impression', '14', 241478111L, datetime.datetime(2013, 5, 29, 12, 7, 4), 0.263623616451483, False, 'best']
['alexspice', 202589435, 'impression', '17', 241477763L, datetime.datetime(2013, 5, 29, 12, 7, 7), 0.22624413286775, False, 'best']
['alexspice', 202589435, 'expand_tile', '18', 241519960L, datetime.datetime(2013, 5, 29, 12, 7, 25), 0.210842973589376, False, 'best']
['alexspice', 202589435, 'impression', '19', 241515577L, datetime.datetime(2013, 5, 29, 12, 7, 42), 0.204837229116038, False, 'best']
['alexspice', 202589435, 'shortlist', '19', 241515577L, datetime.datetime(2013, 5, 29, 12, 7, 44), 0.204837229116038, False, 'best']
['alexspice', 202589435, 'impression', '20', 241561524L, datetime.datetime(2013, 5, 29, 12, 7, 48), 0.195665216634325, False, 'best']
['alexspice', 202589435, 'impression', '20', 241561524L, datetime.datetime(2013, 5, 29, 12, 7, 51), 0.195665216634325, False, 'best']
['alexspice', 202589435, 'impression', '20', 241561524L, datetime.datetime(2013, 5, 29, 12, 7, 52), 0.195665216634325, False, 'best']
['alexspice', 202589435, 'impression', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 7, 52), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'impression', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 7, 52), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'impression', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 7, 54), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'impression', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 7, 54), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'expand_tile', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 7, 59), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'expand_tile', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 8), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'expand_tile', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 8, 2), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'impression', '22', 241519260L, datetime.datetime(2013, 5, 29, 12, 8, 3), 0.162710479858462, False, 'best']
['alexspice', 202589435, 'expand_tile', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 8, 4), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'expand_tile', '21', 241481076L, datetime.datetime(2013, 5, 29, 12, 8, 5), 0.168188549840979, False, 'best']
['alexspice', 202589435, 'impression', '25', 241478269L, datetime.datetime(2013, 5, 29, 12, 8, 11), 0.133764701948056, False, 'best']
['alexspice', 202589435, 'impression', '24', 241478782L, datetime.datetime(2013, 5, 29, 12, 8, 12), 0.138145149722567, False, 'best']
['alexspice', 202589435, 'impression', '26', 241478865L, datetime.datetime(2013, 5, 29, 12, 8, 17), 0.130810431003021, False, 'best']
['alexspice', 202589435, 'impression', '26', 241478865L, datetime.datetime(2013, 5, 29, 12, 8, 18), 0.130810431003021, False, 'best']
['alexspice', 202589435, 'expand_tile', '24', 241478782L, datetime.datetime(2013, 5, 29, 12, 8, 25), 0.138145149722567, False, 'best']
['alexspice', 202589435, 'impression', '24', 241478782L, datetime.datetime(2013, 5, 29, 12, 8, 32), 0.138145149722567, False, 'best']
['alexspice', 202589435, 'impression', '24', 241478782L, datetime.datetime(2013, 5, 29, 12, 8, 34), 0.138145149722567, False, 'best']
