['evteam', 202583013, 'impression', '11', 241332377L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.111505046725106, False, 'time']
['evteam', 202583013, 'impression', '12', 241330927L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.14187333831456, False, 'time']
['evteam', 202583013, 'impression', '15', 241329776L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.0297639352543399, False, 'time']
['evteam', 202583013, 'impression', '10', 241333328L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.515354339130638, False, 'time']
['evteam', 202583013, 'impression', '18', 241329657L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.071371278793711, False, 'time']
['evteam', 202583013, 'impression', '19', 241329633L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.099963506568248, False, 'time']
['evteam', 202583013, 'impression', '8', 241334557L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.0525887384411951, False, 'time']
['evteam', 202583013, 'impression', '5', 241340241L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.288270936485432, False, 'time']
['evteam', 202583013, 'impression', '20', 241329503L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.429085108809064, False, 'time']
['evteam', 202583013, 'impression', '7', 241337436L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.183104522679524, False, 'time']
['evteam', 202583013, 'impression', '3', 241342970L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.175715153535615, False, 'time']
['evteam', 202583013, 'impression', '1', 241373655L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.22634809542084, False, 'time']
['evteam', 202583013, 'impression', '2', 241349173L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.103336752962562, False, 'time']
['evteam', 202583013, 'impression', '6', 241338619L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.420270396823122, False, 'time']
['evteam', 202583013, 'impression', '9', 241334062L, datetime.datetime(2013, 5, 27, 7, 15, 25), 0.119473095598555, False, 'time']
['evteam', 202583013, 'view_full_application_via_name', '11', 241332377L, datetime.datetime(2013, 5, 27, 7, 15, 58), 0.111505046725106, False, 'time']

['evteam', 202583013, 'impression', '6', 241338619L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.420270396823122, False, 'time']
['evteam', 202583013, 'impression', '2', 241349173L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.103336752962562, False, 'time']
['evteam', 202583013, 'impression', '9', 241334062L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.119473095598555, False, 'time']
['evteam', 202583013, 'impression', '5', 241340241L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.288270936485432, False, 'time']
['evteam', 202583013, 'impression', '19', 241329503L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.429085108809064, False, 'time']
['evteam', 202583013, 'impression', '7', 241337436L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.183104522679524, False, 'time']
['evteam', 202583013, 'impression', '3', 241342970L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.175715153535615, False, 'time']
['evteam', 202583013, 'impression', '1', 241373655L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.22634809542084, False, 'time']
['evteam', 202583013, 'impression', '18', 241329633L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.099963506568248, False, 'time']
['evteam', 202583013, 'impression', '8', 241334557L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.0525887384411951, False, 'time']
['evteam', 202583013, 'impression', '17', 241329657L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.071371278793711, False, 'time']
['evteam', 202583013, 'impression', '15', 241329747L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.0657927473465655, False, 'time']
['evteam', 202583013, 'impression', '12', 241330606L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.0322744232575084, False, 'time']
['evteam', 202583013, 'impression', '11', 241332377L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.111505046725106, False, 'time']
['evteam', 202583013, 'impression', '20', 241329402L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.137329558841335, False, 'time']
['evteam', 202583013, 'impression', '14', 241329776L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.0297639352543399, False, 'time']
['evteam', 202583013, 'impression', '4', 241340929L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.255591366127483, False, 'time']
['evteam', 202583013, 'impression', '16', 241329725L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.0948449802527512, False, 'time']
['evteam', 202583013, 'impression', '13', 241330010L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.144292626974969, False, 'time']
['evteam', 202583013, 'impression', '10', 241333328L, datetime.datetime(2013, 5, 27, 11, 38, 44), 0.515354339130638, False, 'time']

['evteam', 202583013, 'impression', '19', 241329657L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.071371278793711, False, 'time']
['evteam', 202583013, 'impression', '4', 241373655L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.22634809542084, False, 'time']
['evteam', 202583013, 'impression', '6', 241342970L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.175715153535615, False, 'time']
['evteam', 202583013, 'impression', '16', 241329776L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.0297639352543399, False, 'time']
['evteam', 202583013, 'impression', '2', 241396156L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.355011043876312, False, 'time']
['evteam', 202583013, 'impression', '7', 241340929L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.255591366127483, False, 'time']
['evteam', 202583013, 'impression', '18', 241329725L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.0948449802527512, False, 'time']
['evteam', 202583013, 'impression', '15', 241330010L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.144292626974969, False, 'time']
['evteam', 202583013, 'impression', '5', 241349173L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.103336752962562, False, 'time']
['evteam', 202583013, 'impression', '11', 241334062L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.119473095598555, False, 'time']
['evteam', 202583013, 'impression', '9', 241338619L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.420270396823122, False, 'time']
['evteam', 202583013, 'impression', '12', 241333328L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.515354339130638, False, 'time']
['evteam', 202583013, 'impression', '3', 241396090L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.200176129258149, False, 'time']
['evteam', 202583013, 'impression', '8', 241340241L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.288270936485432, False, 'time']
['evteam', 202583013, 'impression', '20', 241329503L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.429085108809064, False, 'time']
['evteam', 202583013, 'impression', '10', 241337436L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.183104522679524, False, 'time']
['evteam', 202583013, 'impression', '17', 241329747L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.0657927473465655, False, 'time']
['evteam', 202583013, 'impression', '1', 241480731L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.0723944792995654, False, 'time']
['evteam', 202583013, 'impression', '13', 241332377L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.111505046725106, False, 'time']
['evteam', 202583013, 'impression', '14', 241330606L, datetime.datetime(2013, 5, 29, 16, 38, 28), 0.0322744232575084, False, 'time']

