['lukeywn', 202574491, 'impression', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 32, 52), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'expand_tile', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 33, 3), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'view_full_application', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 33, 5), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 36, 18), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241140051L, datetime.datetime(2013, 5, 23, 20, 36, 18), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 36, 18), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241141301L, datetime.datetime(2013, 5, 23, 20, 36, 18), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 36, 25), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'expand_tile', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 36, 30), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'send_message', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 36, 38), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 36, 42), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'send_message', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 36, 46), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'expand_tile', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 38, 11), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 38, 31), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 38, 31), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241140051L, datetime.datetime(2013, 5, 23, 20, 38, 31), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '1', 241141301L, datetime.datetime(2013, 5, 23, 20, 38, 31), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'expand_tile', '1', 241141301L, datetime.datetime(2013, 5, 23, 20, 38, 33), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 38, 33), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'send_message', '1', 241141301L, datetime.datetime(2013, 5, 23, 20, 38, 38), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'expand_tile', '1', 241141301L, datetime.datetime(2013, 5, 23, 20, 40, 32), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'expand_tile', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 40, 40), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'view_full_application', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 40, 41), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241141007L, datetime.datetime(2013, 5, 23, 20, 43, 32), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241140051L, datetime.datetime(2013, 5, 23, 20, 43, 32), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '1', 241141301L, datetime.datetime(2013, 5, 23, 20, 43, 32), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241139941L, datetime.datetime(2013, 5, 23, 20, 43, 32), 0.584712020137894, False, 'time']

['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 6, 57, 26), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'view_full_application_via_message', '10', 241139922L, datetime.datetime(2013, 5, 24, 6, 58), 0.35209001791646, False, 'time']
