['persau26', 202537706, 'impression', '3', 240448866L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '6', 240420465L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '8', 240401006L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.168377089719899, False, 'time']
['persau26', 202537706, 'impression', '1', 240454869L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '5', 240438885L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '7', 240406719L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '9', 240397689L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.118189012245099, True, 'time']
['persau26', 202537706, 'impression', '4', 240448825L, datetime.datetime(2013, 5, 16, 13, 26, 26), 0.0662742120949871, False, 'time']

['persau26', 202537706, 'impression', '9', 240397689L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.118189012245099, True, 'time']
['persau26', 202537706, 'impression', '4', 240448825L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.0662742120949871, False, 'time']
['persau26', 202537706, 'impression', '6', 240420465L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '8', 240401006L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.168377089719899, False, 'time']
['persau26', 202537706, 'impression', '1', 240454869L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '2', 240453696L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.135170242590852, False, 'time']
['persau26', 202537706, 'impression', '3', 240448866L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '7', 240406719L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '5', 240438885L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '12', 240385322L, datetime.datetime(2013, 5, 16, 14, 49, 55), 0.0804025458691972, False, 'time']
['persau26', 202537706, 'impression', '8', 240401006L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.168377089719899, False, 'time']
['persau26', 202537706, 'impression', '12', 240385322L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.0804025458691972, False, 'time']
['persau26', 202537706, 'impression', '4', 240448825L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.0662742120949871, False, 'time']
['persau26', 202537706, 'impression', '9', 240397689L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.118189012245099, True, 'time']
['persau26', 202537706, 'impression', '6', 240420465L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '7', 240406719L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '5', 240438885L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '3', 240448866L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '2', 240453696L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.135170242590852, False, 'time']
['persau26', 202537706, 'impression', '1', 240454869L, datetime.datetime(2013, 5, 16, 14, 50, 2), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '8', 240401006L, datetime.datetime(2013, 5, 16, 14, 50, 16), 0.168377089719899, False, 'time']
['persau26', 202537706, 'impression', '12', 240385322L, datetime.datetime(2013, 5, 16, 14, 50, 16), 0.0804025458691972, False, 'time']
