['drivalin', 202564708, 'impression', '6', 240970843L, datetime.datetime(2013, 5, 27, 21, 6, 8), 0.0271051664184319, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 27, 21, 6, 8), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'view_full_application_via_name', '2', 241126155L, datetime.datetime(2013, 5, 27, 21, 6, 12), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '6', 240970843L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.0271051664184319, False, 'time']
['drivalin', 202564708, 'impression', '7', 240960904L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '8', 240958518L, datetime.datetime(2013, 5, 27, 21, 6, 24), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 27, 21, 6, 28), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'view_full_application_via_name', '4', 240987412L, datetime.datetime(2013, 5, 27, 21, 6, 30), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '7', 240960904L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '6', 240970843L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.0271051664184319, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '8', 240958518L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 27, 21, 7, 26), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'view_full_application_via_name', '7', 240960904L, datetime.datetime(2013, 5, 27, 21, 7, 33), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '8', 240958518L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '6', 240970843L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.0271051664184319, False, 'time']
['drivalin', 202564708, 'impression', '7', 240960904L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 27, 21, 8, 5), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 27, 21, 21, 2), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '7', 240960904L, datetime.datetime(2013, 5, 27, 21, 34, 26), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '8', 240958518L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '7', 240960904L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '6', 240970843L, datetime.datetime(2013, 5, 27, 21, 36, 13), 0.0271051664184319, False, 'time']
['drivalin', 202564708, 'shortlist', '9', 240951641L, datetime.datetime(2013, 5, 27, 21, 36, 32), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 27, 21, 36, 33), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', None, 240951641L, datetime.datetime(2013, 5, 27, 21, 36, 33), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'shortlist', '1', 241136957L, datetime.datetime(2013, 5, 27, 21, 36, 37), 0.0678300089121424, False, 'time']

['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '6', 240970843L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.0271051664184319, False, 'time']
['drivalin', 202564708, 'impression', '7', 240960904L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '8', 240958518L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 28, 2, 41, 27), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 28, 2, 41, 56), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 28, 2, 42, 31), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'view_full_application_via_name', '9', 240951641L, datetime.datetime(2013, 5, 28, 2, 42, 32), 0.112656702142897, False, 'time']

['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '6', 240970843L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.0271051664184319, False, 'time']
['drivalin', 202564708, 'impression', '7', 240960904L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '8', 240958518L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 28, 4, 16, 52), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 28, 4, 16, 56), 0.0659898311465903, False, 'time']

['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 28, 14, 11, 44), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '9', 240951641L, datetime.datetime(2013, 5, 28, 14, 11, 44), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '8', 240958518L, datetime.datetime(2013, 5, 28, 14, 11, 44), 0.0130199554973997, False, 'time']
