['dur911', 202548215, 'hide', '1', 240711615L, datetime.datetime(2013, 5, 18, 21, 43, 44), 0.239422576867991, False, 'time']
['dur911', 202548215, 'expand_tile', '1', 240711615L, datetime.datetime(2013, 5, 18, 21, 43, 45), 0.239422576867991, False, 'time']
['dur911', 202548215, 'view_full_application_via_name', '10', 240593260L, datetime.datetime(2013, 5, 18, 21, 44), 0.129316968570388, False, 'time']
['dur911', 202548215, 'impression', '10', 240589489L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.553511389986828, False, 'time']
['dur911', 202548215, 'impression', '8', 240598106L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.473838081137473, False, 'time']
['dur911', 202548215, 'impression', '6', 240613574L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.171119450924574, False, 'time']
['dur911', 202548215, 'impression', '5', 240618971L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.0444587632776553, False, 'time']
['dur911', 202548215, 'impression', '1', 240697642L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.101253613884365, False, 'time']
['dur911', 202548215, 'impression', '7', 240598511L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.140320058279985, False, 'time']
['dur911', 202548215, 'impression', '4', 240621760L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.0749373340815071, False, 'time']
['dur911', 202548215, 'impression', '9', 240591410L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.0677850029322656, False, 'time']
['dur911', 202548215, 'impression', '3', 240632877L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.270254370059315, False, 'time']
['dur911', 202548215, 'impression', '2', 240643747L, datetime.datetime(2013, 5, 18, 21, 44, 31), 0.119169404371032, False, 'time']
['dur911', 202548215, 'view_full_application_via_name', '6', 240613574L, datetime.datetime(2013, 5, 18, 21, 44, 43), 0.171119450924574, False, 'time']

['dur911', 202548215, 'impression', '7', 240598106L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.473838081137473, False, 'time']
['dur911', 202548215, 'impression', '4', 240632877L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.270254370059315, False, 'time']
['dur911', 202548215, 'impression', '3', 240643747L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.119169404371032, False, 'time']
['dur911', 202548215, 'impression', '6', 240618971L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.0444587632776553, False, 'time']
['dur911', 202548215, 'impression', '2', 240697642L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.101253613884365, False, 'time']
['dur911', 202548215, 'impression', '1', 240822394L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.306768813872428, False, 'time']
['dur911', 202548215, 'impression', '5', 240621760L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.0749373340815071, False, 'time']
['dur911', 202548215, 'impression', '8', 240591410L, datetime.datetime(2013, 5, 21, 1, 40, 43), 0.0677850029322656, False, 'time']
['dur911', 202548215, 'expand_tile', '1', 240822394L, datetime.datetime(2013, 5, 21, 1, 40, 52), 0.306768813872428, False, 'time']
['dur911', 202548215, 'send_message', '1', 240822394L, datetime.datetime(2013, 5, 21, 1, 40, 54), 0.306768813872428, False, 'time']
['dur911', 202548215, 'expand_tile', '1', 240822394L, datetime.datetime(2013, 5, 21, 1, 41, 29), 0.306768813872428, False, 'time']
['dur911', 202548215, 'expand_tile', '2', 240697642L, datetime.datetime(2013, 5, 21, 1, 41, 34), 0.101253613884365, False, 'time']
['dur911', 202548215, 'view_full_application', '2', 240697642L, datetime.datetime(2013, 5, 21, 1, 41, 40), 0.101253613884365, False, 'time']
['dur911', 202548215, 'impression', '1', 240822394L, datetime.datetime(2013, 5, 21, 1, 41, 56), 0.306768813872428, False, 'time']
['dur911', 202548215, 'impression', '7', 240598106L, datetime.datetime(2013, 5, 21, 1, 41, 56), 0.473838081137473, False, 'time']
['dur911', 202548215, 'impression', '6', 240618971L, datetime.datetime(2013, 5, 21, 1, 41, 56), 0.0444587632776553, False, 'time']
