['liftstyle', 202558558, 'impression', '14', 240847762L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0501903054064033, False, 'time']
['liftstyle', 202558558, 'impression', '1', 240911169L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.198642560876828, False, 'time']
['liftstyle', 202558558, 'impression', '18', 240839547L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0607026447121528, False, 'time']
['liftstyle', 202558558, 'impression', '8', 240877350L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.110539866033595, False, 'time']
['liftstyle', 202558558, 'impression', '20', 240837536L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0332001954069245, False, 'time']
['liftstyle', 202558558, 'impression', '7', 240879700L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.295099631354832, False, 'time']
['liftstyle', 202558558, 'impression', '17', 240841496L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0861868716435619, False, 'time']
['liftstyle', 202558558, 'impression', '6', 240879753L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0427977086912278, False, 'time']
['liftstyle', 202558558, 'impression', '2', 240899707L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.120071967093345, False, 'time']
['liftstyle', 202558558, 'impression', '15', 240847471L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.188950943046246, False, 'time']
['liftstyle', 202558558, 'impression', '9', 240858795L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.107938385628904, False, 'time']
['liftstyle', 202558558, 'impression', '10', 240857743L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0520703978927063, False, 'time']
['liftstyle', 202558558, 'impression', '12', 240848769L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0644476672617343, False, 'time']
['liftstyle', 202558558, 'impression', '19', 240837904L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0729920943844143, False, 'time']
['liftstyle', 202558558, 'impression', '13', 240848536L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0350617993171028, False, 'time']
['liftstyle', 202558558, 'impression', '11', 240850786L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0559959718507586, False, 'time']
['liftstyle', 202558558, 'impression', '4', 240895416L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.293862579441943, False, 'time']
['liftstyle', 202558558, 'impression', '5', 240890435L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0901029064726893, False, 'time']
['liftstyle', 202558558, 'impression', '3', 240895895L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.0189096190694165, False, 'time']
['liftstyle', 202558558, 'impression', '16', 240841722L, datetime.datetime(2013, 5, 21, 11, 24, 44), 0.159223464470243, False, 'time']
['liftstyle', 202558558, 'view_full_application_via_name', '8', 240877350L, datetime.datetime(2013, 5, 21, 11, 25, 7), 0.110539866033595, False, 'time']

