['paramjots', 202539827, 'impression', '13', 240430534L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.177539115448806, False, 'best']
['paramjots', 202539827, 'impression', '5', 240440432L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.29151806130534, False, 'best']
['paramjots', 202539827, 'impression', '19', 240428339L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.129884371492253, False, 'best']
['paramjots', 202539827, 'impression', '17', 240422275L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.130183293320331, False, 'best']
['paramjots', 202539827, 'impression', '15', 240420645L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.165206546753666, False, 'best']
['paramjots', 202539827, 'impression', '1', 240514975L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.50038117490389, False, 'best']
['paramjots', 202539827, 'impression', '11', 240461682L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.197406434971795, False, 'best']
['paramjots', 202539827, 'impression', '3', 240420739L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.310407651192529, False, 'best']
['paramjots', 202539827, 'impression', '9', 240441860L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.225656104024447, False, 'best']
['paramjots', 202539827, 'impression', '14', 240423500L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.177325601047028, False, 'best']
['paramjots', 202539827, 'impression', '16', 240423065L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.144135041349713, False, 'best']
['paramjots', 202539827, 'impression', '8', 240433831L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.240815554239199, False, 'best']
['paramjots', 202539827, 'impression', '18', 240428563L, datetime.datetime(2013, 5, 17, 4, 14, 29), 0.130045728077058, False, 'best']

['paramjots', 202539827, 'impression', '5', 240440432L, datetime.datetime(2013, 5, 17, 9, 20, 58), 0.29151806130534, False, 'best']
['paramjots', 202539827, 'impression', '19', 240428339L, datetime.datetime(2013, 5, 17, 9, 20, 58), 0.129884371492253, False, 'best']
['paramjots', 202539827, 'impression', '17', 240422275L, datetime.datetime(2013, 5, 17, 9, 20, 58), 0.130183293320331, False, 'best']
['paramjots', 202539827, 'impression', '15', 240420645L, datetime.datetime(2013, 5, 17, 9, 20, 58), 0.165206546753666, False, 'best']
['paramjots', 202539827, 'impression', '18', 240428563L, datetime.datetime(2013, 5, 17, 9, 20, 58), 0.130045728077058, False, 'best']
['paramjots', 202539827, 'impression', '16', 240423065L, datetime.datetime(2013, 5, 17, 9, 20, 58), 0.144135041349713, False, 'best']
