['dklorenzo', 202573715, 'expand_tile', '3', 241184268L, datetime.datetime(2013, 5, 27, 13, 14, 14), 0.0553615243120495, False, 'best']
['dklorenzo', 202573715, 'collapse_tile', '3', 241184268L, datetime.datetime(2013, 5, 27, 13, 14, 36), 0.0553615243120495, False, 'best']
['dklorenzo', 202573715, 'expand_tile', '3', 241184268L, datetime.datetime(2013, 5, 27, 13, 14, 37), 0.0553615243120495, False, 'best']
['dklorenzo', 202573715, 'collapse_tile', '3', 241184268L, datetime.datetime(2013, 5, 27, 13, 14, 40), 0.0553615243120495, False, 'best']
['dklorenzo', 202573715, 'expand_tile', '3', 241184268L, datetime.datetime(2013, 5, 27, 13, 14, 42), 0.0553615243120495, False, 'best']
['dklorenzo', 202573715, 'hide', '4', 241128304L, datetime.datetime(2013, 5, 27, 13, 15, 22), 0.0522881188008156, False, 'best']
['dklorenzo', 202573715, 'expand_tile', '5', 241140843L, datetime.datetime(2013, 5, 27, 13, 15, 35), 0.0458390783331924, False, 'best']

['dklorenzo', 202573715, 'collapse_tile', '2', 241143158L, datetime.datetime(2013, 5, 28, 8, 37, 35), 0.0871041882400819, False, 'best']
['dklorenzo', 202573715, 'view_full_application_via_message', '1', 241122761L, datetime.datetime(2013, 5, 28, 8, 37, 54), 0.211749266977673, True, 'best']
['dklorenzo', 202573715, 'impression', '1', 241187900L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0295371879586049, False, 'time']
['dklorenzo', 202573715, 'impression', '8', 241140843L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0458390783331924, False, 'time']
['dklorenzo', 202573715, 'impression', '4', 241179804L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0337824623483611, False, 'time']
['dklorenzo', 202573715, 'impression', '14', 241127037L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'impression', '3', 241181922L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0364535581291445, False, 'time']
['dklorenzo', 202573715, 'impression', '5', 241177017L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0355252741140714, False, 'time']
['dklorenzo', 202573715, 'impression', '16', 241126504L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0231864312316853, False, 'time']
['dklorenzo', 202573715, 'impression', '19', 241125590L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0341497293246261, False, 'time']
['dklorenzo', 202573715, 'impression', '9', 241138754L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0115777530492122, False, 'time']
['dklorenzo', 202573715, 'impression', '10', 241132642L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0409737941385186, False, 'time']
['dklorenzo', 202573715, 'impression', '17', 241126004L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0176765993201973, False, 'time']
['dklorenzo', 202573715, 'impression', '20', 241124926L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0197521032738928, False, 'time']
['dklorenzo', 202573715, 'impression', '15', 241126548L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0194192211164535, False, 'time']
['dklorenzo', 202573715, 'impression', '18', 241125962L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0357118251008507, False, 'time']
['dklorenzo', 202573715, 'impression', '12', 241127709L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0388532447062273, False, 'time']
['dklorenzo', 202573715, 'impression', '2', 241184268L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0553615243120495, False, 'time']
['dklorenzo', 202573715, 'impression', '13', 241127284L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0140941711337139, False, 'time']
['dklorenzo', 202573715, 'impression', '7', 241143158L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0871041882400819, False, 'time']
['dklorenzo', 202573715, 'impression', '11', 241130511L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0200536679806916, False, 'time']
['dklorenzo', 202573715, 'impression', '6', 241173361L, datetime.datetime(2013, 5, 28, 8, 38, 3), 0.0159324178003943, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '1', 241187900L, datetime.datetime(2013, 5, 28, 8, 38, 12), 0.0295371879586049, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '2', 241184268L, datetime.datetime(2013, 5, 28, 8, 38, 27), 0.0553615243120495, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '8', 241140843L, datetime.datetime(2013, 5, 28, 8, 39, 26), 0.0458390783331924, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '9', 241138754L, datetime.datetime(2013, 5, 28, 8, 39, 42), 0.0115777530492122, False, 'time']
['dklorenzo', 202573715, 'collapse_tile', '9', 241138754L, datetime.datetime(2013, 5, 28, 8, 39, 49), 0.0115777530492122, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '13', 241127284L, datetime.datetime(2013, 5, 28, 8, 40, 13), 0.0140941711337139, False, 'time']
['dklorenzo', 202573715, 'collapse_tile', '13', 241127284L, datetime.datetime(2013, 5, 28, 8, 40, 27), 0.0140941711337139, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '14', 241127037L, datetime.datetime(2013, 5, 28, 8, 40, 36), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'collapse_tile', '14', 241127037L, datetime.datetime(2013, 5, 28, 8, 41, 18), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '14', 241127037L, datetime.datetime(2013, 5, 28, 8, 41, 19), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'view_full_application_via_name', '14', 241127037L, datetime.datetime(2013, 5, 28, 8, 41, 21), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'impression', '12', 241127709L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0388532447062273, False, 'time']
['dklorenzo', 202573715, 'impression', '9', 241138754L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0115777530492122, False, 'time']
['dklorenzo', 202573715, 'impression', '10', 241132642L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0409737941385186, False, 'time']
['dklorenzo', 202573715, 'impression', '19', 241125590L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0341497293246261, False, 'time']
['dklorenzo', 202573715, 'impression', '17', 241126004L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0176765993201973, False, 'time']
['dklorenzo', 202573715, 'impression', '5', 241177017L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0355252741140714, False, 'time']
['dklorenzo', 202573715, 'impression', '3', 241181922L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0364535581291445, False, 'time']
['dklorenzo', 202573715, 'impression', '1', 241187900L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0295371879586049, False, 'time']
['dklorenzo', 202573715, 'impression', '4', 241179804L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0337824623483611, False, 'time']
['dklorenzo', 202573715, 'impression', '8', 241140843L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0458390783331924, False, 'time']
['dklorenzo', 202573715, 'impression', '14', 241127037L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'impression', '16', 241126504L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0231864312316853, False, 'time']
['dklorenzo', 202573715, 'impression', '2', 241184268L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0553615243120495, False, 'time']
['dklorenzo', 202573715, 'impression', '7', 241143158L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0871041882400819, False, 'time']
['dklorenzo', 202573715, 'impression', '13', 241127284L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0140941711337139, False, 'time']
['dklorenzo', 202573715, 'impression', '18', 241125962L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0357118251008507, False, 'time']
['dklorenzo', 202573715, 'impression', '15', 241126548L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0194192211164535, False, 'time']
['dklorenzo', 202573715, 'impression', '20', 241124926L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0197521032738928, False, 'time']
['dklorenzo', 202573715, 'impression', '11', 241130511L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0200536679806916, False, 'time']
['dklorenzo', 202573715, 'impression', '6', 241173361L, datetime.datetime(2013, 5, 28, 8, 49, 27), 0.0159324178003943, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '18', 241125962L, datetime.datetime(2013, 5, 28, 8, 50, 14), 0.0357118251008507, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '19', 241125590L, datetime.datetime(2013, 5, 28, 8, 52, 28), 0.0341497293246261, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '20', 241124926L, datetime.datetime(2013, 5, 28, 8, 52, 50), 0.0197521032738928, False, 'time']
['dklorenzo', 202573715, 'send_message', '20', 241124926L, datetime.datetime(2013, 5, 28, 8, 53, 40), 0.0197521032738928, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '20', 241124926L, datetime.datetime(2013, 5, 28, 8, 54, 22), 0.0197521032738928, False, 'time']
['dklorenzo', 202573715, 'send_message', '19', 241125590L, datetime.datetime(2013, 5, 28, 8, 54, 30), 0.0341497293246261, False, 'time']
['dklorenzo', 202573715, 'expand_tile', '19', 241125590L, datetime.datetime(2013, 5, 28, 8, 55, 8), 0.0341497293246261, False, 'time']

['dklorenzo', 202573715, 'impression', '12', 241127709L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0388532447062273, False, 'time']
['dklorenzo', 202573715, 'impression', '10', 241132642L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0409737941385186, False, 'time']
['dklorenzo', 202573715, 'impression', '17', 241126004L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0176765993201973, False, 'time']
['dklorenzo', 202573715, 'impression', '9', 241138754L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0115777530492122, False, 'time']
['dklorenzo', 202573715, 'impression', '19', 241125590L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0341497293246261, False, 'time']
['dklorenzo', 202573715, 'impression', '2', 241184268L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0553615243120495, False, 'time']
['dklorenzo', 202573715, 'impression', '7', 241143158L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0871041882400819, False, 'time']
['dklorenzo', 202573715, 'impression', '13', 241127284L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0140941711337139, False, 'time']
['dklorenzo', 202573715, 'impression', '15', 241126548L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0194192211164535, False, 'time']
['dklorenzo', 202573715, 'impression', '18', 241125962L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0357118251008507, False, 'time']
['dklorenzo', 202573715, 'impression', '20', 241124926L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0197521032738928, False, 'time']
['dklorenzo', 202573715, 'impression', '16', 241126504L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0231864312316853, False, 'time']
['dklorenzo', 202573715, 'impression', '4', 241179804L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0337824623483611, False, 'time']
['dklorenzo', 202573715, 'impression', '1', 241187900L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0295371879586049, False, 'time']
['dklorenzo', 202573715, 'impression', '14', 241127037L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'impression', '8', 241140843L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0458390783331924, False, 'time']
['dklorenzo', 202573715, 'impression', '6', 241173361L, datetime.datetime(2013, 5, 28, 10, 39, 6), 0.0159324178003943, False, 'time']
