['maximallimit', 202581370, 'impression', '15', 241294667L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.0247948245623644, False, 'best']
['maximallimit', 202581370, 'impression', '1', 241294880L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '7', 241293601L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.159115470081783, False, 'best']
['maximallimit', 202581370, 'impression', '12', 241295881L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.116560917531685, False, 'best']
['maximallimit', 202581370, 'impression', '5', 241294197L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.212923363028869, False, 'best']
['maximallimit', 202581370, 'impression', '8', 241295329L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.155081085118348, False, 'best']
['maximallimit', 202581370, 'impression', '6', 241295201L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.160460070649391, False, 'best']
['maximallimit', 202581370, 'impression', '4', 241296082L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.293976809447885, False, 'best']
['maximallimit', 202581370, 'impression', '2', 241293898L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.384893508261996, False, 'best']
['maximallimit', 202581370, 'impression', '16', 241294915L, datetime.datetime(2013, 5, 25, 22, 9, 28), 0.0111941922399297, False, 'best']
['maximallimit', 202581370, 'view_full_application_via_name', '1', 241294880L, datetime.datetime(2013, 5, 25, 22, 32, 15), 0.486861392399101, False, 'best']

['maximallimit', 202581370, 'impression', '15', 241295343L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.0754190965296003, False, 'best']
['maximallimit', 202581370, 'impression', '5', 241297813L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.239520376855378, False, 'best']
['maximallimit', 202581370, 'impression', '12', 241293589L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.12088761994697, False, 'best']
['maximallimit', 202581370, 'impression', '8', 241293601L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.159115470081783, False, 'best']
['maximallimit', 202581370, 'impression', '1', 241294880L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '3', 241296083L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.346139470707114, False, 'best']
['maximallimit', 202581370, 'impression', '10', 241294088L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.144074237083856, False, 'best']
['maximallimit', 202581370, 'impression', '11', 241293754L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.136021905879317, False, 'best']
['maximallimit', 202581370, 'impression', '18', 241294915L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.0111941922399297, False, 'best']
['maximallimit', 202581370, 'impression', '13', 241295881L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.116560917531685, False, 'best']
['maximallimit', 202581370, 'impression', '6', 241294197L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.212923363028869, False, 'best']
['maximallimit', 202581370, 'impression', '2', 241293898L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.384893508261996, False, 'best']
['maximallimit', 202581370, 'impression', '4', 241296082L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.293976809447885, False, 'best']
['maximallimit', 202581370, 'impression', '16', 241298122L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.066578725295301, False, 'best']
['maximallimit', 202581370, 'impression', '9', 241295329L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.155081085118348, False, 'best']
['maximallimit', 202581370, 'impression', '7', 241295201L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.160460070649391, False, 'best']
['maximallimit', 202581370, 'impression', '17', 241294667L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.0247948245623644, False, 'best']
['maximallimit', 202581370, 'impression', '14', 241293388L, datetime.datetime(2013, 5, 25, 23, 6, 14), 0.095500594462548, False, 'best']
['maximallimit', 202581370, 'impression', '14', 241293388L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.095500594462548, False, 'best']
['maximallimit', 202581370, 'impression', '17', 241294667L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.0247948245623644, False, 'best']
['maximallimit', 202581370, 'impression', '10', 241294088L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.144074237083856, False, 'best']
['maximallimit', 202581370, 'impression', '3', 241296083L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.346139470707114, False, 'best']
['maximallimit', 202581370, 'impression', '11', 241293754L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.136021905879317, False, 'best']
['maximallimit', 202581370, 'impression', '18', 241294915L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.0111941922399297, False, 'best']
['maximallimit', 202581370, 'impression', '16', 241298122L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.066578725295301, False, 'best']
['maximallimit', 202581370, 'impression', '2', 241293898L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.384893508261996, False, 'best']
['maximallimit', 202581370, 'impression', '7', 241295201L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.160460070649391, False, 'best']
['maximallimit', 202581370, 'impression', '4', 241296082L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.293976809447885, False, 'best']
['maximallimit', 202581370, 'impression', '9', 241295329L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.155081085118348, False, 'best']
['maximallimit', 202581370, 'impression', '6', 241294197L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.212923363028869, False, 'best']
['maximallimit', 202581370, 'impression', '1', 241294880L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '8', 241293601L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.159115470081783, False, 'best']
['maximallimit', 202581370, 'impression', '13', 241295881L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.116560917531685, False, 'best']
['maximallimit', 202581370, 'impression', '5', 241297813L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.239520376855378, False, 'best']
['maximallimit', 202581370, 'impression', '12', 241293589L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.12088761994697, False, 'best']
['maximallimit', 202581370, 'impression', '15', 241295343L, datetime.datetime(2013, 5, 25, 23, 7, 22), 0.0754190965296003, False, 'best']
['maximallimit', 202581370, 'view_full_application_via_name', '1', 241294880L, datetime.datetime(2013, 5, 25, 23, 12, 13), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '13', 241295881L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.116560917531685, False, 'best']
['maximallimit', 202581370, 'impression', '7', 241295201L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.160460070649391, False, 'best']
['maximallimit', 202581370, 'impression', '2', 241293898L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.384893508261996, False, 'best']
['maximallimit', 202581370, 'impression', '16', 241298122L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.066578725295301, False, 'best']
['maximallimit', 202581370, 'impression', '4', 241296082L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.293976809447885, False, 'best']
['maximallimit', 202581370, 'impression', '9', 241295329L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.155081085118348, False, 'best']
['maximallimit', 202581370, 'impression', '6', 241294197L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.212923363028869, False, 'best']
['maximallimit', 202581370, 'impression', '8', 241293601L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.159115470081783, False, 'best']
['maximallimit', 202581370, 'impression', '1', 241294880L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '17', 241294667L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.0247948245623644, False, 'best']
['maximallimit', 202581370, 'impression', '14', 241293388L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.095500594462548, False, 'best']
['maximallimit', 202581370, 'impression', '12', 241293589L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.12088761994697, False, 'best']
['maximallimit', 202581370, 'impression', '5', 241297813L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.239520376855378, False, 'best']
['maximallimit', 202581370, 'impression', '15', 241295343L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.0754190965296003, False, 'best']
['maximallimit', 202581370, 'impression', '18', 241294915L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.0111941922399297, False, 'best']
['maximallimit', 202581370, 'impression', '3', 241296083L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.346139470707114, False, 'best']
['maximallimit', 202581370, 'impression', '11', 241293754L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.136021905879317, False, 'best']
['maximallimit', 202581370, 'impression', '10', 241294088L, datetime.datetime(2013, 5, 25, 23, 12, 20), 0.144074237083856, False, 'best']
['maximallimit', 202581370, 'impression', '18', 241294667L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.0247948245623644, False, 'best']
['maximallimit', 202581370, 'impression', '15', 241293388L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.095500594462548, False, 'best']
['maximallimit', 202581370, 'impression', '19', 241294915L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.0111941922399297, False, 'best']
['maximallimit', 202581370, 'impression', '7', 241298953L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.162819500097198, False, 'best']
