['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 23, 12, 16, 34), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 23, 12, 17, 11), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '6', 241101892L, datetime.datetime(2013, 5, 23, 12, 17, 11), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 23, 12, 17, 11), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 23, 12, 17, 11), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 11), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 23, 12, 17, 11), 0.534213402260029, False, 'best']
['papagel', 202572255, 'shortlist', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 21), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 23, 12, 17, 24), 0.306284471225278, False, 'best']
['papagel', 202572255, 'unshortlist', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 25), 0.304834236043886, False, 'best']
['papagel', 202572255, 'shortlist', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 26), 0.304834236043886, False, 'best']
['papagel', 202572255, 'unshortlist', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 27), 0.304834236043886, False, 'best']
['papagel', 202572255, 'shortlist', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 28), 0.304834236043886, False, 'best']
['papagel', 202572255, 'unshortlist', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 29), 0.304834236043886, False, 'best']
['papagel', 202572255, 'shortlist', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 17, 30), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 23, 12, 19, 20), 0.325533127940592, False, 'best']
['papagel', 202572255, 'expand_tile', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 19, 38), 0.304834236043886, False, 'best']
['papagel', 202572255, 'view_full_application', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 19, 41), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 23, 12, 22, 33), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 23, 12, 22, 33), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 23, 12, 22, 33), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 23, 12, 22, 33), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '6', 241101892L, datetime.datetime(2013, 5, 23, 12, 22, 33), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 22, 33), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 23, 12, 23, 21), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 23, 12, 23, 21), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '6', 241101892L, datetime.datetime(2013, 5, 23, 12, 23, 21), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 23, 12, 23, 21), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 23, 12, 23, 21), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 23, 12, 23, 21), 0.534213402260029, False, 'best']

['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 23, 15, 11, 17), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 23, 15, 11, 17), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '6', 241101892L, datetime.datetime(2013, 5, 23, 15, 11, 17), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 23, 15, 11, 17), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 23, 15, 11, 17), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 23, 15, 11, 17), 0.424846945527184, False, 'best']

['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 24, 6, 42, 44), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 24, 6, 42, 44), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 24, 6, 42, 44), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 24, 6, 42, 44), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 24, 6, 42, 44), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 24, 6, 42, 44), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 24, 6, 42, 44), 0.306284471225278, False, 'best']
['papagel', 202572255, 'view_full_application_via_name', '6', 241132018L, datetime.datetime(2013, 5, 24, 6, 43, 11), 0.162544790888167, False, 'best']

['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 24, 7, 13, 18), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 24, 7, 13, 18), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 24, 7, 13, 18), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 24, 7, 13, 18), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 24, 7, 13, 18), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 24, 7, 13, 18), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 24, 7, 13, 18), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 24, 7, 29, 52), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 24, 7, 29, 52), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 24, 7, 29, 52), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 24, 7, 29, 52), 0.534213402260029, False, 'best']
