['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 48, 12), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 48, 55), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 16, 48, 55), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 49, 29), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 16, 49, 29), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 16, 50, 16), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 50, 16), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 16, 53, 38), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 53, 38), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 16, 57), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 57), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 58, 58), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 16, 58, 58), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 16, 59, 56), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 16, 59, 56), 0.155912546524593, False, 'time']

['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 18, 55, 20), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 15, 18, 55, 20), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 15, 18, 55, 51), 0.0269563821513598, False, 'time']

['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 5, 11), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 5, 11), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 5, 11), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 11, 32), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 11, 32), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 11, 32), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 32, 51), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 32, 51), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 32, 51), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 32, 59), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 33, 1), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 33, 4), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 33, 7), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 33, 8), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'view_full_application_via_name', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 33, 16), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 38, 41), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 38, 41), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 38, 41), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 38, 56), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 38, 56), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 38, 56), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 40, 1), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 40, 1), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 40, 1), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 40, 4), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 40, 6), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'unhide', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 40, 6), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 6, 41, 3), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 6, 41, 3), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 6, 41, 3), 0.0941301550441044, False, 'time']

['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 7, 23), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 7, 23), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 7, 23), 0.0269563821513598, False, 'time']

['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 8, 7, 34), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 8, 7, 34), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 8, 7, 34), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 17, 8, 11, 26), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 17, 8, 11, 26), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 8, 11, 26), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 8, 11, 49), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '1', 240583226L, datetime.datetime(2013, 5, 17, 8, 11, 49), 0.0941301550441044, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 17, 8, 21, 1), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 17, 8, 21, 1), 0.155912546524593, False, 'time']

['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 17, 15, 57, 32), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 17, 15, 57, 32), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 17, 15, 59, 17), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 17, 15, 59, 17), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 17, 15, 59, 47), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 17, 15, 59, 47), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 17, 16, 0, 2), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 17, 16, 0, 2), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '1', 240451019L, datetime.datetime(2013, 5, 17, 16, 23, 34), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '2', 240393551L, datetime.datetime(2013, 5, 17, 16, 23, 34), 0.155912546524593, False, 'time']

['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 21, 12, 32, 17), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '1', 240818686L, datetime.datetime(2013, 5, 21, 12, 32, 17), 0.0502282262670026, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 21, 12, 32, 17), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'view_full_application_via_name', '1', 240818686L, datetime.datetime(2013, 5, 21, 12, 32, 20), 0.0502282262670026, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 21, 12, 32, 45), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240818686L, datetime.datetime(2013, 5, 21, 12, 32, 45), 0.0502282262670026, False, 'time']
['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 21, 12, 32, 45), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '1', 240818686L, datetime.datetime(2013, 5, 21, 12, 32, 59), 0.0502282262670026, False, 'time']

['vpsl', 202533611, 'impression', '2', 240451019L, datetime.datetime(2013, 5, 23, 14, 38, 40), 0.0269563821513598, False, 'time']
['vpsl', 202533611, 'impression', '3', 240393551L, datetime.datetime(2013, 5, 23, 14, 38, 40), 0.155912546524593, False, 'time']
['vpsl', 202533611, 'impression', '1', 240818686L, datetime.datetime(2013, 5, 23, 14, 38, 40), 0.0502282262670026, False, 'time']

