['kalyan_sudhakar', 202561657, 'impression', '14', 240882638L, datetime.datetime(2013, 5, 21, 6, 31, 10), 0.149255216327938, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '9', 240882102L, datetime.datetime(2013, 5, 21, 6, 31, 10), 0.209949205003319, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '6', 240883971L, datetime.datetime(2013, 5, 21, 6, 31, 10), 0.234738865921306, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '15', 240882194L, datetime.datetime(2013, 5, 21, 6, 31, 10), 0.145615946263355, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '11', 240890988L, datetime.datetime(2013, 5, 21, 6, 31, 10), 0.180091614692562, False, 'best']
['kalyan_sudhakar', 202561657, 'view_full_application_via_name', '1', 240890650L, datetime.datetime(2013, 5, 21, 6, 33, 30), 0.434503038647754, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '12', 240885156L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.181331533206737, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '1', 240890650L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.434503038647754, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '20', 240888064L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.110359702654038, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '2', 240892405L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.300656264742959, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '8', 240889412L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.213449331647964, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '10', 240893417L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.203347673667042, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '18', 240882194L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.145615946263355, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '13', 240890988L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.180091614692562, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '6', 240883971L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.234738865921306, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '16', 240882638L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.149255216327938, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '7', 240890601L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.213496302578964, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '15', 240884249L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.154306088886627, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '5', 240884436L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.239792798435885, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '14', 240892401L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.163608628851207, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '19', 240885996L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.144464429755919, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '4', 240891932L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.244458308269176, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '17', 240893323L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.14825067833288, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '11', 240893112L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.199026121697157, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '9', 240882102L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.209949205003319, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '3', 240884267L, datetime.datetime(2013, 5, 21, 7, 0, 37), 0.253148208670557, False, 'best']

