['ormishal365', 202591014, 'impression', '17', 241513578L, datetime.datetime(2013, 5, 28, 20, 5), 0.118600430133365, False, 'best']
['ormishal365', 202591014, 'impression', '14', 241513802L, datetime.datetime(2013, 5, 28, 20, 5), 0.140006296274843, False, 'best']
['ormishal365', 202591014, 'impression', '1', 241512846L, datetime.datetime(2013, 5, 28, 20, 5), 0.623665479584628, False, 'best']
['ormishal365', 202591014, 'impression', '12', 241512701L, datetime.datetime(2013, 5, 28, 20, 5), 0.171219381681889, False, 'best']
['ormishal365', 202591014, 'impression', '4', 241513400L, datetime.datetime(2013, 5, 28, 20, 5), 0.476598928690089, False, 'best']
['ormishal365', 202591014, 'impression', '19', 241512959L, datetime.datetime(2013, 5, 28, 20, 5), 0.110413704908784, False, 'best']
['ormishal365', 202591014, 'impression', '10', 241512974L, datetime.datetime(2013, 5, 28, 20, 5), 0.18289764832725, False, 'best']
['ormishal365', 202591014, 'impression', '2', 241521358L, datetime.datetime(2013, 5, 28, 20, 5), 0.507240122793947, False, 'best']
['ormishal365', 202591014, 'impression', '7', 241517513L, datetime.datetime(2013, 5, 28, 20, 5), 0.299974762318809, False, 'best']
['ormishal365', 202591014, 'impression', '15', 241513314L, datetime.datetime(2013, 5, 28, 20, 5), 0.134365742282354, False, 'best']
['ormishal365', 202591014, 'impression', '13', 241518406L, datetime.datetime(2013, 5, 28, 20, 5), 0.164935514323063, False, 'best']
['ormishal365', 202591014, 'impression', '5', 241513479L, datetime.datetime(2013, 5, 28, 20, 5), 0.434140986921614, False, 'best']
['ormishal365', 202591014, 'impression', '6', 241513005L, datetime.datetime(2013, 5, 28, 20, 5), 0.318705625873052, False, 'best']
['ormishal365', 202591014, 'impression', '8', 241512844L, datetime.datetime(2013, 5, 28, 20, 5), 0.291226955350363, False, 'best']
['ormishal365', 202591014, 'impression', '18', 241513398L, datetime.datetime(2013, 5, 28, 20, 5), 0.114574105326742, False, 'best']
['ormishal365', 202591014, 'impression', '16', 241513121L, datetime.datetime(2013, 5, 28, 20, 5), 0.131701451947583, False, 'best']
['ormishal365', 202591014, 'impression', '3', 241518206L, datetime.datetime(2013, 5, 28, 20, 5), 0.50599728324958, False, 'best']
['ormishal365', 202591014, 'impression', '20', 241512955L, datetime.datetime(2013, 5, 28, 20, 5), 0.1101303164217, False, 'best']
['ormishal365', 202591014, 'impression', '11', 241517232L, datetime.datetime(2013, 5, 28, 20, 5), 0.177361137304903, False, 'best']
['ormishal365', 202591014, 'impression', '9', 241513889L, datetime.datetime(2013, 5, 28, 20, 5), 0.218487466614024, False, 'best']
['ormishal365', 202591014, 'expand_tile', '1', 241512846L, datetime.datetime(2013, 5, 28, 20, 5, 22), 0.623665479584628, False, 'best']
['ormishal365', 202591014, 'collapse_tile', '1', 241512846L, datetime.datetime(2013, 5, 28, 20, 5, 35), 0.623665479584628, False, 'best']
['ormishal365', 202591014, 'expand_tile', '1', 241512846L, datetime.datetime(2013, 5, 28, 20, 5, 38), 0.623665479584628, False, 'best']
['ormishal365', 202591014, 'collapse_tile', '1', 241512846L, datetime.datetime(2013, 5, 28, 20, 25, 44), 0.623665479584628, False, 'best']
['ormishal365', 202591014, 'impression', '15', 241513802L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.140006296274843, False, 'best']
['ormishal365', 202591014, 'impression', '1', 241512846L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.623665479584628, False, 'best']
['ormishal365', 202591014, 'impression', '11', 241512974L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.18289764832725, False, 'best']
['ormishal365', 202591014, 'impression', '8', 241517513L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.299974762318809, False, 'best']
['ormishal365', 202591014, 'impression', '20', 241512959L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.110413704908784, False, 'best']
['ormishal365', 202591014, 'impression', '6', 241523398L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.335243822790396, False, 'best']
['ormishal365', 202591014, 'impression', '2', 241521358L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.507240122793947, False, 'best']
['ormishal365', 202591014, 'impression', '18', 241513578L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.118600430133365, False, 'best']
['ormishal365', 202591014, 'impression', '12', 241517232L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.177361137304903, False, 'best']
['ormishal365', 202591014, 'impression', '10', 241513889L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.218487466614024, False, 'best']
['ormishal365', 202591014, 'impression', '5', 241513479L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.434140986921614, False, 'best']
['ormishal365', 202591014, 'impression', '14', 241518406L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.164935514323063, False, 'best']
['ormishal365', 202591014, 'impression', '16', 241513314L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.134365742282354, False, 'best']
['ormishal365', 202591014, 'impression', '7', 241513005L, datetime.datetime(2013, 5, 28, 20, 27, 13), 0.318705625873052, False, 'best']
