['delta213', 202582144, 'impression', '11', 241309351L, datetime.datetime(2013, 5, 27, 3, 53, 33), 0.0536401615179904, False, 'time']
['delta213', 202582144, 'impression', '8', 241310114L, datetime.datetime(2013, 5, 27, 3, 53, 33), 0.0535194105155102, False, 'time']
['delta213', 202582144, 'hide', '3', 241311482L, datetime.datetime(2013, 5, 27, 3, 53, 48), 0.146618268792208, True, 'time']
['delta213', 202582144, 'hide', '4', 241310936L, datetime.datetime(2013, 5, 27, 3, 53, 52), 0.175317877683316, False, 'time']
['delta213', 202582144, 'expand_tile', '19', 241308003L, datetime.datetime(2013, 5, 27, 3, 54, 6), 0.0505139477410543, False, 'time']
['delta213', 202582144, 'collapse_tile', '19', 241308003L, datetime.datetime(2013, 5, 27, 3, 54, 8), 0.0505139477410543, False, 'time']
['delta213', 202582144, 'expand_tile', '19', 241308003L, datetime.datetime(2013, 5, 27, 3, 54, 9), 0.0505139477410543, False, 'time']
['delta213', 202582144, 'hide', '19', 241308003L, datetime.datetime(2013, 5, 27, 3, 54, 58), 0.0505139477410543, False, 'time']
['delta213', 202582144, 'expand_tile', '19', 241308003L, datetime.datetime(2013, 5, 27, 3, 54, 58), 0.0505139477410543, False, 'time']
['delta213', 202582144, 'expand_tile', '21', 241307921L, datetime.datetime(2013, 5, 27, 3, 55, 1), 0.0462263559963084, False, 'time']
['delta213', 202582144, 'collapse_tile', '21', 241307921L, datetime.datetime(2013, 5, 27, 3, 55, 1), 0.0462263559963084, False, 'time']
['delta213', 202582144, 'hide', '21', 241307921L, datetime.datetime(2013, 5, 27, 3, 55, 4), 0.0462263559963084, False, 'time']
['delta213', 202582144, 'impression', '19', 241307921L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0462263559963084, False, 'time']
['delta213', 202582144, 'impression', '17', 241308072L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0542011207150737, False, 'time']
['delta213', 202582144, 'impression', '15', 241308341L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.188765219669081, False, 'time']
['delta213', 202582144, 'impression', '5', 241310361L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0762883697904274, False, 'time']
['delta213', 202582144, 'impression', '18', 241307964L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.088630399542466, False, 'time']
['delta213', 202582144, 'impression', '11', 241309285L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0259531660709617, False, 'time']
['delta213', 202582144, 'impression', '6', 241310172L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0519025714241584, False, 'time']
['delta213', 202582144, 'impression', '1', 241350617L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0492371707743612, False, 'time']
['delta213', 202582144, 'impression', '8', 241309936L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0199382434915616, False, 'time']
['delta213', 202582144, 'impression', '20', 241307567L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0335029944491821, False, 'time']
['delta213', 202582144, 'impression', '2', 241312237L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0916423105059058, False, 'time']
['delta213', 202582144, 'impression', '13', 241308760L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0430688907928955, False, 'time']
['delta213', 202582144, 'impression', '3', 241311482L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.146618268792208, True, 'time']
['delta213', 202582144, 'impression', '12', 241309186L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0883266701152175, False, 'time']
['delta213', 202582144, 'impression', '4', 241310363L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0443716162267742, False, 'time']
['delta213', 202582144, 'impression', '9', 241309444L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.070417202266322, False, 'time']
['delta213', 202582144, 'impression', '16', 241308251L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.00777563810439455, False, 'time']
['delta213', 202582144, 'impression', '7', 241310114L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0535194105155102, False, 'time']
['delta213', 202582144, 'impression', '10', 241309351L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.0536401615179904, False, 'time']
['delta213', 202582144, 'impression', '14', 241308504L, datetime.datetime(2013, 5, 27, 3, 57, 42), 0.129606497958893, False, 'time']
['delta213', 202582144, 'expand_tile', '2', 241312237L, datetime.datetime(2013, 5, 27, 3, 57, 47), 0.0916423105059058, False, 'time']
['delta213', 202582144, 'send_message', '2', 241312237L, datetime.datetime(2013, 5, 27, 3, 57, 51), 0.0916423105059058, False, 'time']
['delta213', 202582144, 'expand_tile', '2', 241312237L, datetime.datetime(2013, 5, 27, 3, 57, 54), 0.0916423105059058, False, 'time']
['delta213', 202582144, 'expand_tile', '3', 241311482L, datetime.datetime(2013, 5, 27, 3, 57, 58), 0.146618268792208, True, 'time']
['delta213', 202582144, 'send_message', '3', 241311482L, datetime.datetime(2013, 5, 27, 3, 58), 0.146618268792208, True, 'time']
['delta213', 202582144, 'expand_tile', '3', 241311482L, datetime.datetime(2013, 5, 27, 3, 58, 2), 0.146618268792208, True, 'time']
['delta213', 202582144, 'hide', '4', 241310363L, datetime.datetime(2013, 5, 27, 3, 58, 6), 0.0443716162267742, False, 'time']
['delta213', 202582144, 'expand_tile', '7', 241310114L, datetime.datetime(2013, 5, 27, 3, 58, 13), 0.0535194105155102, False, 'time']
['delta213', 202582144, 'send_message', '7', 241310114L, datetime.datetime(2013, 5, 27, 3, 58, 15), 0.0535194105155102, False, 'time']
['delta213', 202582144, 'expand_tile', '7', 241310114L, datetime.datetime(2013, 5, 27, 3, 58, 18), 0.0535194105155102, False, 'time']
['delta213', 202582144, 'hide', '8', 241309936L, datetime.datetime(2013, 5, 27, 3, 58, 23), 0.0199382434915616, False, 'time']
['delta213', 202582144, 'hide', '9', 241309444L, datetime.datetime(2013, 5, 27, 3, 58, 27), 0.070417202266322, False, 'time']
['delta213', 202582144, 'hide', '10', 241309351L, datetime.datetime(2013, 5, 27, 3, 58, 28), 0.0536401615179904, False, 'time']
['delta213', 202582144, 'hide', '11', 241309285L, datetime.datetime(2013, 5, 27, 3, 58, 30), 0.0259531660709617, False, 'time']
['delta213', 202582144, 'expand_tile', '12', 241309186L, datetime.datetime(2013, 5, 27, 3, 58, 32), 0.0883266701152175, False, 'time']
['delta213', 202582144, 'send_message', '12', 241309186L, datetime.datetime(2013, 5, 27, 3, 58, 33), 0.0883266701152175, False, 'time']
['delta213', 202582144, 'expand_tile', '12', 241309186L, datetime.datetime(2013, 5, 27, 3, 58, 36), 0.0883266701152175, False, 'time']
['delta213', 202582144, 'hide', '13', 241308760L, datetime.datetime(2013, 5, 27, 3, 58, 41), 0.0430688907928955, False, 'time']
['delta213', 202582144, 'expand_tile', '14', 241308504L, datetime.datetime(2013, 5, 27, 3, 58, 43), 0.129606497958893, False, 'time']
['delta213', 202582144, 'send_message', '14', 241308504L, datetime.datetime(2013, 5, 27, 3, 58, 44), 0.129606497958893, False, 'time']
['delta213', 202582144, 'expand_tile', '14', 241308504L, datetime.datetime(2013, 5, 27, 3, 58, 47), 0.129606497958893, False, 'time']
['delta213', 202582144, 'expand_tile', '15', 241308341L, datetime.datetime(2013, 5, 27, 3, 58, 49), 0.188765219669081, False, 'time']
['delta213', 202582144, 'send_message', '15', 241308341L, datetime.datetime(2013, 5, 27, 3, 58, 51), 0.188765219669081, False, 'time']
['delta213', 202582144, 'expand_tile', '15', 241308341L, datetime.datetime(2013, 5, 27, 3, 58, 54), 0.188765219669081, False, 'time']
['delta213', 202582144, 'expand_tile', '16', 241308251L, datetime.datetime(2013, 5, 27, 3, 59, 2), 0.00777563810439455, False, 'time']
['delta213', 202582144, 'send_message', '16', 241308251L, datetime.datetime(2013, 5, 27, 3, 59, 3), 0.00777563810439455, False, 'time']
['delta213', 202582144, 'expand_tile', '16', 241308251L, datetime.datetime(2013, 5, 27, 3, 59, 10), 0.00777563810439455, False, 'time']

