['teenjobz', 202560090, 'impression', '20', 240878222L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0119293167425216, False, 'time']
['teenjobz', 202560090, 'impression', '19', 240879975L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0140758819635747, False, 'time']
['teenjobz', 202560090, 'impression', '1', 240986313L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0166584364487631, False, 'time']
['teenjobz', 202560090, 'impression', '11', 240914939L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0254357491626205, False, 'time']
['teenjobz', 202560090, 'impression', '7', 240921397L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.050986967572854, False, 'time']
['teenjobz', 202560090, 'impression', '14', 240906961L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0276412676202265, False, 'time']
['teenjobz', 202560090, 'impression', '3', 240937765L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0480530444296766, False, 'time']
['teenjobz', 202560090, 'impression', '10', 240918580L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0691412775414712, False, 'time']
['teenjobz', 202560090, 'impression', '18', 240882735L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.030438251388967, False, 'time']
['teenjobz', 202560090, 'impression', '8', 240920625L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.00844903526737941, False, 'time']
['teenjobz', 202560090, 'impression', '17', 240886241L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0292347286939575, False, 'time']
['teenjobz', 202560090, 'impression', '4', 240928467L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0293903317410191, False, 'time']
['teenjobz', 202560090, 'impression', '6', 240923102L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0277467278512458, False, 'time']
['teenjobz', 202560090, 'impression', '2', 240961681L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0324267663322344, True, 'time']
['teenjobz', 202560090, 'impression', '9', 240918778L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0448592157059494, False, 'time']
['teenjobz', 202560090, 'impression', '13', 240909534L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0627025483302704, False, 'time']
['teenjobz', 202560090, 'impression', '6', 240923102L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0277467278512458, False, 'time']
['teenjobz', 202560090, 'impression', '4', 240928467L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0293903317410191, False, 'time']
['teenjobz', 202560090, 'impression', '2', 240961681L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0324267663322344, True, 'time']
['teenjobz', 202560090, 'impression', '17', 240886241L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0292347286939575, False, 'time']
['teenjobz', 202560090, 'impression', '8', 240920625L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.00844903526737941, False, 'time']
['teenjobz', 202560090, 'impression', '15', 240896407L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0184333540688915, False, 'time']
['teenjobz', 202560090, 'impression', '12', 240912555L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.00771936819827395, False, 'time']
['teenjobz', 202560090, 'impression', '20', 240878222L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0119293167425216, False, 'time']
['teenjobz', 202560090, 'impression', '5', 240924132L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0280585150500492, False, 'time']
['teenjobz', 202560090, 'impression', '19', 240879975L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0140758819635747, False, 'time']
['teenjobz', 202560090, 'impression', '13', 240909534L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0627025483302704, False, 'time']
['teenjobz', 202560090, 'impression', '18', 240882735L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.030438251388967, False, 'time']
['teenjobz', 202560090, 'impression', '10', 240918580L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0691412775414712, False, 'time']
['teenjobz', 202560090, 'impression', '9', 240918778L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0448592157059494, False, 'time']
['teenjobz', 202560090, 'impression', '1', 240986313L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0166584364487631, False, 'time']
['teenjobz', 202560090, 'impression', '14', 240906961L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0276412676202265, False, 'time']
['teenjobz', 202560090, 'impression', '7', 240921397L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.050986967572854, False, 'time']
['teenjobz', 202560090, 'impression', '3', 240937765L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0480530444296766, False, 'time']
['teenjobz', 202560090, 'impression', '11', 240914939L, datetime.datetime(2013, 5, 22, 12, 47, 38), 0.0254357491626205, False, 'time']
