['scottmacea', 202550938, 'impression', '2', 240653787L, datetime.datetime(2013, 5, 17, 19, 38, 52), 0.0920281512792048, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240653787L, datetime.datetime(2013, 5, 17, 19, 39, 16), 0.0920281512792048, False, 'time']
['scottmacea', 202550938, 'expand_tile', '2', 240653787L, datetime.datetime(2013, 5, 17, 19, 39, 17), 0.0920281512792048, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240653723L, datetime.datetime(2013, 5, 17, 19, 39, 17), 0.063649379185052, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240653787L, datetime.datetime(2013, 5, 17, 19, 39, 17), 0.0920281512792048, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240653723L, datetime.datetime(2013, 5, 17, 19, 39, 45), 0.063649379185052, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240653723L, datetime.datetime(2013, 5, 17, 19, 39, 46), 0.063649379185052, False, 'time']
['scottmacea', 202550938, 'expand_tile', '3', 240653723L, datetime.datetime(2013, 5, 17, 19, 39, 46), 0.063649379185052, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240653653L, datetime.datetime(2013, 5, 17, 19, 39, 46), 0.113843041065179, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240653653L, datetime.datetime(2013, 5, 17, 19, 40, 19), 0.113843041065179, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240653653L, datetime.datetime(2013, 5, 17, 19, 40, 19), 0.113843041065179, False, 'time']
['scottmacea', 202550938, 'expand_tile', '4', 240653653L, datetime.datetime(2013, 5, 17, 19, 40, 20), 0.113843041065179, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240653561L, datetime.datetime(2013, 5, 17, 19, 40, 20), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'shortlist', '5', 240653561L, datetime.datetime(2013, 5, 17, 19, 42, 15), 0.178042948902462, False, 'time']
