['cjrobinette', 202564606, 'impression', '2', 240949184L, datetime.datetime(2013, 5, 21, 18, 17, 12), 0.281766462248318, False, 'time']
['cjrobinette', 202564606, 'impression', '4', 240948771L, datetime.datetime(2013, 5, 21, 18, 17, 12), 0.10410474813433, True, 'time']
['cjrobinette', 202564606, 'impression', '2', 240949184L, datetime.datetime(2013, 5, 21, 18, 17, 15), 0.281766462248318, False, 'time']
['cjrobinette', 202564606, 'impression', '2', 240949184L, datetime.datetime(2013, 5, 21, 18, 17, 25), 0.281766462248318, False, 'time']
['cjrobinette', 202564606, 'impression', '2', 240949184L, datetime.datetime(2013, 5, 21, 18, 17, 27), 0.281766462248318, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240949532L, datetime.datetime(2013, 5, 21, 18, 17, 28), 0.104483620764248, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240949532L, datetime.datetime(2013, 5, 21, 18, 17, 32), 0.104483620764248, False, 'time']
['cjrobinette', 202564606, 'impression', '3', 240949139L, datetime.datetime(2013, 5, 21, 18, 17, 33), 0.0806588587545153, False, 'time']

['cjrobinette', 202564606, 'impression', '1', 240949139L, datetime.datetime(2013, 5, 21, 19, 23, 28), 0.0806588587545153, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240949139L, datetime.datetime(2013, 5, 21, 19, 23, 37), 0.0806588587545153, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240955850L, datetime.datetime(2013, 5, 21, 19, 35, 45), 0.0648027074804085, False, 'time']
['cjrobinette', 202564606, 'impression', '2', 240949139L, datetime.datetime(2013, 5, 21, 19, 35, 45), 0.0806588587545153, False, 'time']
['cjrobinette', 202564606, 'expand_tile', '1', 240955850L, datetime.datetime(2013, 5, 21, 19, 35, 52), 0.0648027074804085, False, 'time']
['cjrobinette', 202564606, 'collapse_tile', '1', 240955850L, datetime.datetime(2013, 5, 21, 19, 36, 11), 0.0648027074804085, False, 'time']
['cjrobinette', 202564606, 'expand_tile', '1', 240955850L, datetime.datetime(2013, 5, 21, 19, 36, 12), 0.0648027074804085, False, 'time']
['cjrobinette', 202564606, 'view_full_application_via_name', '1', 240955850L, datetime.datetime(2013, 5, 21, 19, 36, 13), 0.0648027074804085, False, 'time']
['cjrobinette', 202564606, 'impression', '2', 240949139L, datetime.datetime(2013, 5, 21, 19, 36, 29), 0.0806588587545153, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240955850L, datetime.datetime(2013, 5, 21, 19, 36, 29), 0.0648027074804085, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240955850L, datetime.datetime(2013, 5, 21, 19, 36, 31), 0.0648027074804085, False, 'time']

['cjrobinette', 202564606, 'impression', '1', 240949139L, datetime.datetime(2013, 5, 21, 23, 0, 59), 0.0806588587545153, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240949139L, datetime.datetime(2013, 5, 21, 23, 1, 19), 0.0806588587545153, False, 'time']
['cjrobinette', 202564606, 'impression', '1', 240949139L, datetime.datetime(2013, 5, 21, 23, 1, 23), 0.0806588587545153, False, 'time']

