['evelee', 202576639, 'view_full_application', '4', 241181524L, datetime.datetime(2013, 5, 24, 9, 21, 54), 0.454094691862569, False, 'time']
['evelee', 202576639, 'impression', '1', 241181808L, datetime.datetime(2013, 5, 24, 9, 22, 51), 0.475999491994642, False, 'time']
['evelee', 202576639, 'impression', '2', 241181709L, datetime.datetime(2013, 5, 24, 9, 22, 51), 0.483338703236688, False, 'time']
['evelee', 202576639, 'impression', '4', 241181524L, datetime.datetime(2013, 5, 24, 9, 22, 51), 0.454094691862569, False, 'time']
['evelee', 202576639, 'impression', '3', 241181523L, datetime.datetime(2013, 5, 24, 9, 22, 51), 0.768499376779411, False, 'time']
['evelee', 202576639, 'impression', '6', 241180800L, datetime.datetime(2013, 5, 24, 9, 22, 51), 0.912748369282073, False, 'time']
['evelee', 202576639, 'impression', '5', 241181003L, datetime.datetime(2013, 5, 24, 9, 22, 51), 0.609255565249122, False, 'time']
['evelee', 202576639, 'impression', '4', 241181524L, datetime.datetime(2013, 5, 24, 9, 22, 56), 0.454094691862569, False, 'time']
['evelee', 202576639, 'impression', '4', 241181524L, datetime.datetime(2013, 5, 24, 9, 22, 57), 0.454094691862569, False, 'time']
['evelee', 202576639, 'impression', '5', 241181003L, datetime.datetime(2013, 5, 24, 9, 22, 58), 0.609255565249122, False, 'time']
['evelee', 202576639, 'impression', '3', 241181523L, datetime.datetime(2013, 5, 24, 9, 23), 0.768499376779411, False, 'time']
['evelee', 202576639, 'impression', '3', 241181523L, datetime.datetime(2013, 5, 24, 9, 23), 0.768499376779411, False, 'time']
['evelee', 202576639, 'impression', '5', 241181003L, datetime.datetime(2013, 5, 24, 9, 23, 1), 0.609255565249122, False, 'time']
['evelee', 202576639, 'impression', '2', 241181709L, datetime.datetime(2013, 5, 24, 9, 23, 1), 0.483338703236688, False, 'time']
['evelee', 202576639, 'impression', '2', 241181709L, datetime.datetime(2013, 5, 24, 9, 23, 1), 0.483338703236688, False, 'time']
['evelee', 202576639, 'impression', '1', 241181808L, datetime.datetime(2013, 5, 24, 9, 23, 2), 0.475999491994642, False, 'time']
['evelee', 202576639, 'impression', '5', 241181003L, datetime.datetime(2013, 5, 24, 9, 41, 3), 0.609255565249122, False, 'time']

['evelee', 202576639, 'impression', '16', 241180800L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.912748369282073, False, 'time']
['evelee', 202576639, 'impression', '15', 241181003L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.609255565249122, False, 'time']
['evelee', 202576639, 'impression', '2', 241187240L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.517388846862868, False, 'time']
['evelee', 202576639, 'impression', '5', 241184803L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.308406639495447, False, 'time']
['evelee', 202576639, 'impression', '9', 241183061L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.576945372809837, False, 'time']
