['alainapercival', 202543893, 'impression', '8', 240509026L, datetime.datetime(2013, 5, 17, 22, 29, 49), 0.122587592779591, False, 'best']
['alainapercival', 202543893, 'impression', '5', 240512827L, datetime.datetime(2013, 5, 17, 22, 29, 49), 0.283362574586225, False, 'best']
['alainapercival', 202543893, 'impression', '10', 240545852L, datetime.datetime(2013, 5, 17, 22, 29, 49), 0.0491485940842309, False, 'best']
['alainapercival', 202543893, 'impression', '9', 240538166L, datetime.datetime(2013, 5, 17, 22, 29, 49), 0.114385630074579, False, 'best']
['alainapercival', 202543893, 'impression', '7', 240538509L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.155253460074811, False, 'best']
['alainapercival', 202543893, 'impression', '6', 240581772L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.161923724103845, False, 'best']
['alainapercival', 202543893, 'impression', '1', 240504955L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.578953017745994, False, 'best']
['alainapercival', 202543893, 'impression', '9', 240538166L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.114385630074579, False, 'best']
['alainapercival', 202543893, 'impression', '10', 240545852L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.0491485940842309, False, 'best']
['alainapercival', 202543893, 'impression', '2', 240518044L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.384485121547554, True, 'best']
['alainapercival', 202543893, 'impression', '8', 240509026L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.122587592779591, False, 'best']
['alainapercival', 202543893, 'impression', '5', 240512827L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.283362574586225, False, 'best']
['alainapercival', 202543893, 'impression', '4', 240520187L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.287602385146217, True, 'best']
['alainapercival', 202543893, 'impression', '3', 240536009L, datetime.datetime(2013, 5, 17, 22, 29, 59), 0.296633532426751, False, 'best']
['alainapercival', 202543893, 'view_full_application_via_name', '2', 240518044L, datetime.datetime(2013, 5, 17, 22, 30, 8), 0.384485121547554, True, 'best']
['alainapercival', 202543893, 'impression', '3', 240520187L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.287602385146217, True, 'best']
['alainapercival', 202543893, 'impression', '7', 240509026L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.122587592779591, False, 'best']
['alainapercival', 202543893, 'impression', '4', 240512827L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.283362574586225, False, 'best']
['alainapercival', 202543893, 'impression', '9', 240545852L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.0491485940842309, False, 'best']
['alainapercival', 202543893, 'impression', '8', 240538166L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.114385630074579, False, 'best']
['alainapercival', 202543893, 'impression', '2', 240536009L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.296633532426751, False, 'best']
['alainapercival', 202543893, 'impression', '5', 240581772L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.161923724103845, False, 'best']
['alainapercival', 202543893, 'impression', '6', 240538509L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.155253460074811, False, 'best']
['alainapercival', 202543893, 'impression', '1', 240504955L, datetime.datetime(2013, 5, 17, 22, 39, 18), 0.578953017745994, False, 'best']
['alainapercival', 202543893, 'view_full_application_via_name', '3', 240520187L, datetime.datetime(2013, 5, 17, 22, 39, 26), 0.287602385146217, True, 'best']

