['bruno2121', 202564731, 'collapse_tile', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 14, 53), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'expand_tile', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 14, 54), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'view_full_application_via_name', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 14, 58), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'view_full_application', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 15, 1), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '6', 240955860L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.200483712973228, False, 'time']
['bruno2121', 202564731, 'impression', '4', 240957108L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.118166432315444, False, 'time']
['bruno2121', 202564731, 'impression', '7', 240952469L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.340770499250837, False, 'time']
['bruno2121', 202564731, 'impression', '2', 240970094L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.700401728189985, False, 'time']
['bruno2121', 202564731, 'impression', '1', 240980323L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'impression', '3', 240964056L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.53340386520364, False, 'time']
['bruno2121', 202564731, 'impression', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '8', 240951049L, datetime.datetime(2013, 5, 22, 5, 15, 43), 0.563512369883381, False, 'time']
['bruno2121', 202564731, 'view_full_application_via_name', '7', 240952469L, datetime.datetime(2013, 5, 22, 5, 19, 18), 0.340770499250837, False, 'time']
['bruno2121', 202564731, 'impression', '3', 240964056L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.53340386520364, False, 'time']
['bruno2121', 202564731, 'impression', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '6', 240955860L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.200483712973228, False, 'time']
['bruno2121', 202564731, 'impression', '8', 240951049L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.563512369883381, False, 'time']
['bruno2121', 202564731, 'impression', '2', 240970094L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.700401728189985, False, 'time']
['bruno2121', 202564731, 'impression', '1', 240980323L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'impression', '7', 240952469L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.340770499250837, False, 'time']
