['victoriarangel3', 202586167, 'impression', '6', 241403835L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.114123867712218, False, 'time']
['victoriarangel3', 202586167, 'impression', '10', 241403389L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.0802692077538638, False, 'time']
['victoriarangel3', 202586167, 'impression', '4', 241404233L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.0370063990802977, False, 'time']
['victoriarangel3', 202586167, 'impression', '7', 241403498L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.274726646026198, False, 'time']
['victoriarangel3', 202586167, 'impression', '5', 241404066L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.584445714615372, False, 'time']
['victoriarangel3', 202586167, 'impression', '8', 241403446L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.173180931442462, False, 'time']
['victoriarangel3', 202586167, 'impression', '3', 241404442L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.292625601937759, False, 'time']
['victoriarangel3', 202586167, 'impression', '9', 241403399L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.107417459143362, False, 'time']
['victoriarangel3', 202586167, 'impression', '2', 241405095L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.0627856018600797, False, 'time']
['victoriarangel3', 202586167, 'impression', '1', 241405579L, datetime.datetime(2013, 5, 26, 21, 6, 31), 0.266622951413562, False, 'time']
['victoriarangel3', 202586167, 'expand_tile', '1', 241405579L, datetime.datetime(2013, 5, 26, 21, 6, 39), 0.266622951413562, False, 'time']
['victoriarangel3', 202586167, 'view_full_application', '1', 241405579L, datetime.datetime(2013, 5, 26, 21, 6, 44), 0.266622951413562, False, 'time']

