['outsourcingdetai', 202564374, 'impression', '2', 240953047L, datetime.datetime(2013, 5, 22, 2, 57, 15), 0.22085852482374, False, 'best']
['outsourcingdetai', 202564374, 'impression', '2', 240953047L, datetime.datetime(2013, 5, 22, 2, 57, 16), 0.22085852482374, False, 'best']
['outsourcingdetai', 202564374, 'impression', '3', 240945375L, datetime.datetime(2013, 5, 22, 2, 57, 18), 0.21349502251433, True, 'best']
['outsourcingdetai', 202564374, 'impression', '3', 240945375L, datetime.datetime(2013, 5, 22, 2, 57, 30), 0.21349502251433, True, 'best']
['outsourcingdetai', 202564374, 'impression', '1', 240956542L, datetime.datetime(2013, 5, 22, 2, 57, 30), 0.265710586293791, False, 'best']
['outsourcingdetai', 202564374, 'impression', '3', 240945375L, datetime.datetime(2013, 5, 22, 3, 1, 26), 0.21349502251433, True, 'best']
['outsourcingdetai', 202564374, 'impression', '3', 240945375L, datetime.datetime(2013, 5, 22, 3, 1, 27), 0.21349502251433, True, 'best']
['outsourcingdetai', 202564374, 'expand_tile', '3', 240945375L, datetime.datetime(2013, 5, 22, 3, 1, 37), 0.21349502251433, True, 'best']
['outsourcingdetai', 202564374, 'hire', '3', 240945375L, datetime.datetime(2013, 5, 22, 3, 1, 43), 0.21349502251433, True, 'best']

