['leongg79', 202543832, 'view_full_application_via_name', '5', 240538608L, datetime.datetime(2013, 5, 27, 2, 53, 9), 0.179816022582628, False, 'best']
['leongg79', 202543832, 'impression', '1', 240509749L, datetime.datetime(2013, 5, 27, 2, 53, 44), 0.396541021153938, False, 'best']
['leongg79', 202543832, 'impression', '4', 241359183L, datetime.datetime(2013, 5, 27, 2, 53, 44), 0.219468689971783, False, 'best']
['leongg79', 202543832, 'impression', '7', 240515275L, datetime.datetime(2013, 5, 27, 2, 53, 44), 0.100370621800811, False, 'best']
['leongg79', 202543832, 'impression', '2', 240571107L, datetime.datetime(2013, 5, 27, 2, 53, 44), 0.312114068349522, False, 'best']
['leongg79', 202543832, 'impression', '5', 240538608L, datetime.datetime(2013, 5, 27, 2, 53, 44), 0.179816022582628, False, 'best']
['leongg79', 202543832, 'impression', '3', 240503233L, datetime.datetime(2013, 5, 27, 2, 53, 44), 0.230040115858566, False, 'best']
['leongg79', 202543832, 'impression', '6', 240518333L, datetime.datetime(2013, 5, 27, 2, 53, 44), 0.122729551955978, False, 'best']
['leongg79', 202543832, 'hide', '7', 240515275L, datetime.datetime(2013, 5, 27, 2, 54, 2), 0.100370621800811, False, 'best']
['leongg79', 202543832, 'view_full_application_via_name', '6', 240518333L, datetime.datetime(2013, 5, 27, 2, 54, 9), 0.122729551955978, False, 'best']

['leongg79', 202543832, 'impression', '6', 241359275L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.193526220671551, False, 'best']
['leongg79', 202543832, 'impression', '3', 240503233L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.230040115858566, False, 'best']
['leongg79', 202543832, 'impression', '7', 240538608L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.179816022582628, False, 'best']
['leongg79', 202543832, 'impression', '2', 240571107L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.312114068349522, False, 'best']
['leongg79', 202543832, 'impression', '1', 240509749L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.396541021153938, False, 'best']
['leongg79', 202543832, 'impression', '4', 241359183L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.219468689971783, False, 'best']
['leongg79', 202543832, 'impression', '8', 240518333L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.122729551955978, False, 'best']
['leongg79', 202543832, 'impression', '5', 241359144L, datetime.datetime(2013, 5, 29, 3, 46, 30), 0.210289517053461, False, 'best']
['leongg79', 202543832, 'view_full_application_via_name', '2', 240571107L, datetime.datetime(2013, 5, 29, 3, 46, 38), 0.312114068349522, False, 'best']
['leongg79', 202543832, 'impression', '5', 241359144L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.210289517053461, False, 'best']
['leongg79', 202543832, 'impression', '1', 240509749L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.396541021153938, False, 'best']
['leongg79', 202543832, 'impression', '7', 240538608L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.179816022582628, False, 'best']
['leongg79', 202543832, 'impression', '3', 240503233L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.230040115858566, False, 'best']
['leongg79', 202543832, 'impression', '2', 240571107L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.312114068349522, False, 'best']
['leongg79', 202543832, 'impression', '4', 241359183L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.219468689971783, False, 'best']
['leongg79', 202543832, 'impression', '8', 240518333L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.122729551955978, False, 'best']
['leongg79', 202543832, 'impression', '6', 241359275L, datetime.datetime(2013, 5, 29, 3, 51, 7), 0.193526220671551, False, 'best']
['leongg79', 202543832, 'impression', '5', 241359144L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.210289517053461, False, 'best']
['leongg79', 202543832, 'impression', '3', 240503233L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.230040115858566, False, 'best']
['leongg79', 202543832, 'impression', '2', 240571107L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.312114068349522, False, 'best']
['leongg79', 202543832, 'impression', '7', 240538608L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.179816022582628, False, 'best']
['leongg79', 202543832, 'impression', '6', 241359275L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.193526220671551, False, 'best']
['leongg79', 202543832, 'impression', '8', 240518333L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.122729551955978, False, 'best']
['leongg79', 202543832, 'impression', '4', 241359183L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.219468689971783, False, 'best']
['leongg79', 202543832, 'impression', '1', 240509749L, datetime.datetime(2013, 5, 29, 3, 53, 34), 0.396541021153938, False, 'best']

