['mrjimpan', 202571923, 'view_full_application_via_name', '1', 241083663L, datetime.datetime(2013, 5, 23, 8, 31, 59), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'impression', '2', 241082566L, datetime.datetime(2013, 5, 23, 8, 36, 16), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241083676L, datetime.datetime(2013, 5, 23, 8, 36, 16), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 23, 8, 36, 16), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'expand_tile', '2', 241082566L, datetime.datetime(2013, 5, 23, 8, 36, 23), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'collapse_tile', '2', 241082566L, datetime.datetime(2013, 5, 23, 8, 36, 26), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'expand_tile', '2', 241082566L, datetime.datetime(2013, 5, 23, 8, 36, 28), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'collapse_tile', '2', 241082566L, datetime.datetime(2013, 5, 23, 8, 36, 30), 0.472771169297976, False, 'best']

['mrjimpan', 202571923, 'impression', '2', 241082566L, datetime.datetime(2013, 5, 23, 9, 13, 8), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241090189L, datetime.datetime(2013, 5, 23, 9, 13, 8), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 23, 9, 13, 8), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'impression', '4', 241083676L, datetime.datetime(2013, 5, 23, 9, 13, 8), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'view_full_application_via_name', '3', 241090189L, datetime.datetime(2013, 5, 23, 9, 13, 15), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 23, 9, 13, 56), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'impression', '2', 241082566L, datetime.datetime(2013, 5, 23, 9, 13, 56), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'impression', '4', 241083676L, datetime.datetime(2013, 5, 23, 9, 13, 56), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241090189L, datetime.datetime(2013, 5, 23, 9, 13, 56), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'view_full_application_via_name', '3', 241090189L, datetime.datetime(2013, 5, 23, 9, 14), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241090189L, datetime.datetime(2013, 5, 23, 9, 17, 59), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 23, 9, 17, 59), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'impression', '2', 241082566L, datetime.datetime(2013, 5, 23, 9, 17, 59), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'impression', '4', 241083676L, datetime.datetime(2013, 5, 23, 9, 17, 59), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'shortlist', '1', 241083663L, datetime.datetime(2013, 5, 23, 9, 18, 14), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'shortlist', '4', 241083676L, datetime.datetime(2013, 5, 23, 9, 18, 16), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'hide', '2', 241082566L, datetime.datetime(2013, 5, 23, 9, 18, 27), 0.472771169297976, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 23, 9, 18, 56), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241083676L, datetime.datetime(2013, 5, 23, 9, 18, 56), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'impression', '2', 241090189L, datetime.datetime(2013, 5, 23, 9, 18, 56), 0.435264767579908, False, 'best']

['mrjimpan', 202571923, 'impression', '2', 241090189L, datetime.datetime(2013, 5, 23, 10, 57, 48), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 23, 10, 57, 48), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241083676L, datetime.datetime(2013, 5, 23, 10, 57, 48), 0.432956647134904, False, 'best']

['mrjimpan', 202571923, 'impression', '2', 241090189L, datetime.datetime(2013, 5, 24, 7, 28, 49), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 24, 7, 28, 49), 0.585611043112257, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241083676L, datetime.datetime(2013, 5, 24, 7, 28, 49), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'view_full_application_via_name', '1', 241083663L, datetime.datetime(2013, 5, 24, 7, 28, 56), 0.585611043112257, False, 'best']

['mrjimpan', 202571923, 'impression', '2', 241090189L, datetime.datetime(2013, 5, 27, 7, 2, 37), 0.435264767579908, False, 'best']
['mrjimpan', 202571923, 'impression', '3', 241083676L, datetime.datetime(2013, 5, 27, 7, 2, 37), 0.432956647134904, False, 'best']
['mrjimpan', 202571923, 'impression', '1', 241083663L, datetime.datetime(2013, 5, 27, 7, 2, 37), 0.585611043112257, False, 'best']

