['creativeitechno', 202567273, 'impression', '1', 241433037L, datetime.datetime(2013, 5, 29, 18, 57), 0.00879483321587439, False, 'time']
['creativeitechno', 202567273, 'impression', '3', 241002383L, datetime.datetime(2013, 5, 29, 18, 57), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'view_full_application_via_name', '3', 241002383L, datetime.datetime(2013, 5, 29, 18, 57, 5), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'impression', '3', 241002383L, datetime.datetime(2013, 5, 29, 18, 59, 55), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'impression', '2', 241076317L, datetime.datetime(2013, 5, 29, 18, 59, 55), 0.0103639152651081, False, 'time']
['creativeitechno', 202567273, 'impression', '1', 241433037L, datetime.datetime(2013, 5, 29, 18, 59, 55), 0.00879483321587439, False, 'time']
['creativeitechno', 202567273, 'view_full_application_via_name', '3', 241002383L, datetime.datetime(2013, 5, 29, 18, 59, 57), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'impression', '3', 241002383L, datetime.datetime(2013, 5, 29, 19, 0, 47), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'impression', '2', 241076317L, datetime.datetime(2013, 5, 29, 19, 0, 47), 0.0103639152651081, False, 'time']
['creativeitechno', 202567273, 'impression', '1', 241433037L, datetime.datetime(2013, 5, 29, 19, 0, 47), 0.00879483321587439, False, 'time']
['creativeitechno', 202567273, 'view_full_application_via_name', '1', 241433037L, datetime.datetime(2013, 5, 29, 19, 0, 59), 0.00879483321587439, False, 'time']

