['printermalls', 202538276, 'impression', '1', 240405990L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.0898386710192735, False, 'best']
['printermalls', 202538276, 'impression', '6', 240405520L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.0325967161913199, False, 'best']
['printermalls', 202538276, 'impression', '12', 240430933L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.0230099684925258, False, 'best']
['printermalls', 202538276, 'impression', '10', 240422323L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.0141467209049638, False, 'best']
['printermalls', 202538276, 'impression', '8', 240411771L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.0304953530922009, False, 'best']
['printermalls', 202538276, 'impression', '3', 240396136L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.0447783675012881, False, 'best']
['printermalls', 202538276, 'impression', '7', 240402634L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.0317398431451683, False, 'best']
['printermalls', 202538276, 'impression', '11', 240428927L, datetime.datetime(2013, 5, 15, 18, 2, 15), 0.154593933623446, False, 'best']

['printermalls', 202538276, 'impression', '9', 240411771L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0304953530922009, False, 'best']
['printermalls', 202538276, 'impression', '6', 240401633L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0353572007456466, False, 'best']
['printermalls', 202538276, 'impression', '2', 240405990L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0898386710192735, False, 'best']
['printermalls', 202538276, 'impression', '3', 240395639L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0581017102359355, False, 'best']
['printermalls', 202538276, 'impression', '13', 240444508L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0235111243156824, False, 'best']
['printermalls', 202538276, 'impression', '14', 240449993L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0528960576226054, False, 'best']
['printermalls', 202538276, 'impression', '4', 240396136L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0447783675012881, False, 'best']
['printermalls', 202538276, 'impression', '7', 240405520L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0325967161913199, False, 'best']
['printermalls', 202538276, 'impression', '16', 240480341L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0512938031297117, False, 'best']
['printermalls', 202538276, 'impression', '11', 240430933L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0230099684925258, False, 'best']
['printermalls', 202538276, 'impression', '12', 240422323L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0141467209049638, False, 'best']
['printermalls', 202538276, 'impression', '10', 240398592L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0258048943486947, False, 'best']
['printermalls', 202538276, 'impression', '5', 240396973L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0408289675841722, False, 'best']
['printermalls', 202538276, 'impression', '8', 240402634L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.0317398431451683, False, 'best']
['printermalls', 202538276, 'impression', '1', 240428927L, datetime.datetime(2013, 5, 15, 19, 56, 34), 0.154593933623446, False, 'best']

['printermalls', 202538276, 'impression', '14', 240402634L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0317398431451683, False, 'best']
['printermalls', 202538276, 'impression', '1', 240428927L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.154593933623446, False, 'best']
['printermalls', 202538276, 'impression', '13', 240405520L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0325967161913199, False, 'best']
['printermalls', 202538276, 'impression', '9', 240480341L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0512938031297117, False, 'best']
['printermalls', 202538276, 'impression', '17', 240430933L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0230099684925258, False, 'best']
['printermalls', 202538276, 'impression', '19', 240553520L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0222160660102186, False, 'best']
['printermalls', 202538276, 'impression', '3', 240563095L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.109087393013711, False, 'best']
['printermalls', 202538276, 'impression', '10', 241291486L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0458785041303345, False, 'best']
['printermalls', 202538276, 'impression', '12', 240396973L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0408289675841722, False, 'best']
['printermalls', 202538276, 'impression', '7', 240395639L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0581017102359355, False, 'best']
['printermalls', 202538276, 'impression', '16', 240444508L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0235111243156824, False, 'best']
['printermalls', 202538276, 'impression', '20', 241127753L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0213974464352479, False, 'best']
['printermalls', 202538276, 'impression', '2', 240635803L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.136778274737328, False, 'best']
['printermalls', 202538276, 'impression', '6', 240587177L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0630037326763034, False, 'best']
['printermalls', 202538276, 'impression', '4', 240522479L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.10405133347001, False, 'best']
['printermalls', 202538276, 'impression', '18', 240763311L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0226295511862683, False, 'best']
['printermalls', 202538276, 'impression', '11', 240396136L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0447783675012881, False, 'best']
['printermalls', 202538276, 'impression', '8', 240449993L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0528960576226054, False, 'best']
['printermalls', 202538276, 'impression', '15', 240954004L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0264601940978486, False, 'best']
['printermalls', 202538276, 'impression', '5', 240776415L, datetime.datetime(2013, 5, 29, 18, 37, 32), 0.0663415340156346, False, 'best']
['printermalls', 202538276, 'impression', '18', 240763311L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0226295511862683, False, 'best']
['printermalls', 202538276, 'impression', '4', 240522479L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.10405133347001, False, 'best']
['printermalls', 202538276, 'impression', '11', 240396136L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0447783675012881, False, 'best']
['printermalls', 202538276, 'impression', '16', 240444508L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0235111243156824, False, 'best']
['printermalls', 202538276, 'impression', '7', 240395639L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0581017102359355, False, 'best']
['printermalls', 202538276, 'impression', '15', 240954004L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0264601940978486, False, 'best']
['printermalls', 202538276, 'impression', '8', 240449993L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0528960576226054, False, 'best']
['printermalls', 202538276, 'impression', '5', 240776415L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0663415340156346, False, 'best']
['printermalls', 202538276, 'impression', '12', 240396973L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0408289675841722, False, 'best']
['printermalls', 202538276, 'impression', '10', 241291486L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0458785041303345, False, 'best']
['printermalls', 202538276, 'impression', '13', 240405520L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0325967161913199, False, 'best']
['printermalls', 202538276, 'impression', '17', 240430933L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0230099684925258, False, 'best']
['printermalls', 202538276, 'impression', '9', 240480341L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0512938031297117, False, 'best']
['printermalls', 202538276, 'impression', '3', 240563095L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.109087393013711, False, 'best']
['printermalls', 202538276, 'impression', '19', 240553520L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0222160660102186, False, 'best']
['printermalls', 202538276, 'impression', '2', 240635803L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.136778274737328, False, 'best']
['printermalls', 202538276, 'impression', '20', 241127753L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0213974464352479, False, 'best']
['printermalls', 202538276, 'impression', '6', 240587177L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0630037326763034, False, 'best']
['printermalls', 202538276, 'impression', '14', 240402634L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.0317398431451683, False, 'best']
['printermalls', 202538276, 'impression', '1', 240428927L, datetime.datetime(2013, 5, 29, 18, 40, 57), 0.154593933623446, False, 'best']

