['general13', 202547558, 'impression', '8', 240592740L, datetime.datetime(2013, 5, 17, 12, 48, 46), 0.23345333353173, False, 'best']
['general13', 202547558, 'impression', '11', 240592884L, datetime.datetime(2013, 5, 17, 12, 48, 46), 0.213612945152076, False, 'best']
['general13', 202547558, 'impression', '13', 240582357L, datetime.datetime(2013, 5, 17, 12, 48, 46), 0.206451130211591, False, 'best']
['general13', 202547558, 'impression', '16', 240584354L, datetime.datetime(2013, 5, 17, 12, 48, 46), 0.120448918736558, False, 'best']
['general13', 202547558, 'impression', '12', 240580970L, datetime.datetime(2013, 5, 17, 12, 48, 46), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '10', 240583326L, datetime.datetime(2013, 5, 17, 12, 48, 46), 0.215656110554122, False, 'best']
['general13', 202547558, 'impression', '1', 240589610L, datetime.datetime(2013, 5, 17, 12, 48, 46), 0.391787194681901, False, 'best']
['general13', 202547558, 'expand_tile', '5', 240621642L, datetime.datetime(2013, 5, 17, 12, 49, 10), 0.293184775363807, False, 'best']
['general13', 202547558, 'impression', '9', 240600612L, datetime.datetime(2013, 5, 17, 12, 49, 48), 0.218855392944071, False, 'best']

['general13', 202547558, 'impression', '5', 240621642L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.293184775363807, False, 'best']
['general13', 202547558, 'impression', '13', 240580675L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '16', 240586623L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.111545572498909, False, 'best']
['general13', 202547558, 'impression', '1', 240589610L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.391787194681901, False, 'best']
['general13', 202547558, 'impression', '4', 240583701L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.321490081955927, False, 'best']
['general13', 202547558, 'impression', '14', 240592045L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.195168773145537, False, 'best']
['general13', 202547558, 'impression', '9', 240583326L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.215656110554122, False, 'best']
['general13', 202547558, 'impression', '15', 240584354L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.120448918736558, False, 'best']
['general13', 202547558, 'impression', '11', 240580970L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '6', 240604424L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.273401613265582, False, 'best']
['general13', 202547558, 'impression', '2', 240588477L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.381224119998442, False, 'best']
['general13', 202547558, 'impression', '3', 240614896L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.373850699696578, False, 'best']
['general13', 202547558, 'impression', '7', 240586335L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.25464487505826, False, 'best']
['general13', 202547558, 'impression', '8', 240592740L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.23345333353173, False, 'best']
['general13', 202547558, 'impression', '10', 240592884L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.213612945152076, False, 'best']
['general13', 202547558, 'impression', '12', 240582357L, datetime.datetime(2013, 5, 17, 16, 53, 19), 0.206451130211591, False, 'best']
['general13', 202547558, 'impression', '8', 240592740L, datetime.datetime(2013, 5, 17, 16, 57, 53), 0.23345333353173, False, 'best']
['general13', 202547558, 'impression', '7', 240586335L, datetime.datetime(2013, 5, 17, 16, 57, 53), 0.25464487505826, False, 'best']
['general13', 202547558, 'impression', '10', 240592884L, datetime.datetime(2013, 5, 17, 16, 57, 53), 0.213612945152076, False, 'best']
['general13', 202547558, 'impression', '3', 240614896L, datetime.datetime(2013, 5, 17, 16, 57, 53), 0.373850699696578, False, 'best']
