['astroboy123', 202568019, 'impression', '5', 241014448L, datetime.datetime(2013, 5, 23, 6, 59, 38), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241018514L, datetime.datetime(2013, 5, 23, 6, 59, 38), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014215L, datetime.datetime(2013, 5, 23, 6, 59, 38), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241013602L, datetime.datetime(2013, 5, 23, 6, 59, 38), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241022481L, datetime.datetime(2013, 5, 23, 6, 59, 38), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241036478L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241013602L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241022481L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241014448L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241018514L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241014596L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014215L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241014331L, datetime.datetime(2013, 5, 23, 7, 0, 8), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'expand_tile', '2', 241022481L, datetime.datetime(2013, 5, 23, 7, 0, 23), 0.01242466622842, False, 'time']

['astroboy123', 202568019, 'impression', '2', 241022481L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241013602L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241018514L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241014596L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241014331L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241014448L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014215L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241036478L, datetime.datetime(2013, 5, 23, 7, 35, 40), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'view_full_application_via_name', '5', 241014448L, datetime.datetime(2013, 5, 23, 7, 35, 52), 0.07157454499178, False, 'time']

['astroboy123', 202568019, 'impression', '5', 241018514L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241013602L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241022481L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241036478L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014331L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241014596L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014448L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014215L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 8, 6, 48), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'expand_tile', '2', 241085266L, datetime.datetime(2013, 5, 23, 8, 6, 56), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'collapse_tile', '2', 241085266L, datetime.datetime(2013, 5, 23, 8, 7), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'expand_tile', '2', 241085266L, datetime.datetime(2013, 5, 23, 8, 7, 1), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'send_message', '2', 241085266L, datetime.datetime(2013, 5, 23, 8, 7, 4), 0.132560543167905, False, 'time']
