['drgossomer', 202580483, 'impression', '7', 241282741L, datetime.datetime(2013, 5, 25, 22, 12, 59), 0.0727325705841968, True, 'best']
['drgossomer', 202580483, 'impression', '12', 241280496L, datetime.datetime(2013, 5, 25, 22, 12, 59), 0.061202736514486, False, 'best']
['drgossomer', 202580483, 'impression', '13', 241288750L, datetime.datetime(2013, 5, 25, 22, 12, 59), 0.0434693994104779, False, 'best']
['drgossomer', 202580483, 'expand_tile', '6', 241287952L, datetime.datetime(2013, 5, 25, 22, 13, 30), 0.0742580736575464, False, 'best']
['drgossomer', 202580483, 'view_full_application_via_name', '9', 241286791L, datetime.datetime(2013, 5, 25, 22, 14, 1), 0.0684150529350449, False, 'best']
['drgossomer', 202580483, 'impression', '11', 241270530L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0644572758781849, False, 'best']
['drgossomer', 202580483, 'impression', '7', 241282741L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0727325705841968, True, 'best']
['drgossomer', 202580483, 'impression', '12', 241280496L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.061202736514486, False, 'best']
['drgossomer', 202580483, 'impression', '13', 241288750L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0434693994104779, False, 'best']
['drgossomer', 202580483, 'impression', '2', 241279688L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0972770053257769, False, 'best']
['drgossomer', 202580483, 'impression', '1', 241288390L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0993170341305085, False, 'best']
['drgossomer', 202580483, 'impression', '6', 241287952L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0742580736575464, False, 'best']
['drgossomer', 202580483, 'impression', '9', 241286791L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0684150529350449, False, 'best']
['drgossomer', 202580483, 'impression', '3', 241287341L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0843545233332656, False, 'best']
['drgossomer', 202580483, 'impression', '8', 241275491L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0723187916074187, False, 'best']
['drgossomer', 202580483, 'impression', '10', 241289722L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0657363280896646, False, 'best']
['drgossomer', 202580483, 'impression', '4', 241281856L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0819203000432352, False, 'best']
['drgossomer', 202580483, 'impression', '5', 241271746L, datetime.datetime(2013, 5, 25, 22, 14, 9), 0.0770584934136342, False, 'best']
['drgossomer', 202580483, 'expand_tile', '12', 241280496L, datetime.datetime(2013, 5, 25, 22, 14, 32), 0.061202736514486, False, 'best']
['drgossomer', 202580483, 'expand_tile', '13', 241288750L, datetime.datetime(2013, 5, 25, 22, 14, 44), 0.0434693994104779, False, 'best']
['drgossomer', 202580483, 'view_full_application', '13', 241288750L, datetime.datetime(2013, 5, 25, 22, 15, 29), 0.0434693994104779, False, 'best']
['drgossomer', 202580483, 'impression', '5', 241271746L, datetime.datetime(2013, 5, 25, 22, 15, 55), 0.0770584934136342, False, 'best']
['drgossomer', 202580483, 'impression', '13', 241288750L, datetime.datetime(2013, 5, 25, 22, 15, 55), 0.0434693994104779, False, 'best']
['drgossomer', 202580483, 'impression', '8', 241275491L, datetime.datetime(2013, 5, 25, 22, 15, 55), 0.0723187916074187, False, 'best']
['drgossomer', 202580483, 'impression', '9', 241286791L, datetime.datetime(2013, 5, 25, 22, 15, 55), 0.0684150529350449, False, 'best']
['drgossomer', 202580483, 'impression', '10', 241289722L, datetime.datetime(2013, 5, 25, 22, 15, 55), 0.0657363280896646, False, 'best']
['drgossomer', 202580483, 'impression', '3', 241287341L, datetime.datetime(2013, 5, 25, 22, 15, 55), 0.0843545233332656, False, 'best']
