['author-christian', 202589166, 'impression', '15', 241471447L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0351419416825161, False, 'best']
['author-christian', 202589166, 'impression', '16', 241472741L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0339054737091795, False, 'best']
['author-christian', 202589166, 'impression', '7', 241475091L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0433219966864411, False, 'best']
['author-christian', 202589166, 'impression', '9', 241471211L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0421544588171033, False, 'best']
['author-christian', 202589166, 'impression', '4', 241475950L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0525829933035239, False, 'best']
['author-christian', 202589166, 'impression', '20', 241472717L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0283803858728653, False, 'best']
['author-christian', 202589166, 'impression', '2', 241471732L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0559215806155427, False, 'best']
['author-christian', 202589166, 'impression', '6', 241473815L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.045813991464434, False, 'best']
['author-christian', 202589166, 'impression', '10', 241472365L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0404247095837048, False, 'best']
['author-christian', 202589166, 'impression', '5', 241476306L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0470193097668765, False, 'best']
['author-christian', 202589166, 'impression', '17', 241471536L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0297861594242203, False, 'best']
['author-christian', 202589166, 'impression', '11', 241473696L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.040235750597855, False, 'best']
['author-christian', 202589166, 'impression', '3', 241474440L, datetime.datetime(2013, 5, 28, 10, 23, 46), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '1', 241474145L, datetime.datetime(2013, 5, 28, 10, 24, 46), 0.0649887998450934, False, 'best']
['author-christian', 202589166, 'impression', '3', 241474440L, datetime.datetime(2013, 5, 28, 10, 25, 13), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '5', 241476306L, datetime.datetime(2013, 5, 28, 10, 25, 13), 0.0470193097668765, False, 'best']
['author-christian', 202589166, 'impression', '17', 241471536L, datetime.datetime(2013, 5, 28, 10, 25, 13), 0.0297861594242203, False, 'best']
['author-christian', 202589166, 'impression', '10', 241472365L, datetime.datetime(2013, 5, 28, 10, 25, 13), 0.0404247095837048, False, 'best']
['author-christian', 202589166, 'impression', '11', 241473696L, datetime.datetime(2013, 5, 28, 10, 25, 13), 0.040235750597855, False, 'best']
