['p_prybytak', 202586060, 'impression', '11', 241425154L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '7', 241430438L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241426965L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.214305544443568, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241415026L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241411470L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241416156L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.17665159197024, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241464854L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241455888L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241468601L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.201696863991597, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241413229L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241482834L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.107896223254956, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241411949L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.225608277114139, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241410598L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.260769861585272, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241410588L, datetime.datetime(2013, 5, 28, 14, 17, 56), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'impression', '8', 241429831L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.0744514228448847, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241426965L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.214305544443568, False, 'time']
['p_prybytak', 202586060, 'impression', '7', 241430438L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241415026L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '13', 241421298L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'impression', '11', 241425154L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241464854L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241482834L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.107896223254956, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241413229L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241416156L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.17665159197024, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241411470L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241468601L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.201696863991597, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241455888L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'impression', '9', 241429383L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241422470L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.0440507561500748, False, 'time']
['p_prybytak', 202586060, 'impression', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241410588L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241411949L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.225608277114139, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241410598L, datetime.datetime(2013, 5, 28, 14, 22, 51), 0.260769861585272, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241482834L, datetime.datetime(2013, 5, 28, 14, 22, 56), 0.107896223254956, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241426965L, datetime.datetime(2013, 5, 28, 14, 24, 58), 0.214305544443568, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241422470L, datetime.datetime(2013, 5, 28, 14, 25, 37), 0.0440507561500748, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241416156L, datetime.datetime(2013, 5, 28, 14, 25, 55), 0.17665159197024, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241411949L, datetime.datetime(2013, 5, 28, 14, 26, 57), 0.225608277114139, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241410598L, datetime.datetime(2013, 5, 28, 14, 28, 22), 0.260769861585272, False, 'time']
['p_prybytak', 202586060, 'impression', '25', 241406374L, datetime.datetime(2013, 5, 28, 14, 29, 31), 0.245812335266464, False, 'time']
['p_prybytak', 202586060, 'impression', '13', 241411470L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241455888L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241468601L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.201696863991597, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241408478L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.070782828151926, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241464562L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241413229L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241410042L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.243583023782132, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241464854L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '7', 241429831L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.0744514228448847, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241408702L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.0922385226570752, False, 'time']
['p_prybytak', 202586060, 'impression', '6', 241430438L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '11', 241415026L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '9', 241425154L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241405412L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.22291810089442, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241421298L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241430550L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241410588L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241406727L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.106084109339191, False, 'time']
['p_prybytak', 202586060, 'impression', '8', 241429383L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241407536L, datetime.datetime(2013, 5, 28, 14, 31, 36), 0.0537152120860388, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '5', 241430550L, datetime.datetime(2013, 5, 28, 14, 32, 13), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241425154L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '11', 241421298L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241415026L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '7', 241430438L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241408478L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.070782828151926, False, 'time']
['p_prybytak', 202586060, 'impression', '13', 241413229L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '8', 241429831L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.0744514228448847, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241411470L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241494560L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.136571336236575, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241468601L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.201696863991597, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241455888L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241464854L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241410042L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.243583023782132, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241408702L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.0922385226570752, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241407536L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.0537152120860388, False, 'time']
['p_prybytak', 202586060, 'impression', '9', 241429383L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241406727L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.106084109339191, False, 'time']
['p_prybytak', 202586060, 'impression', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241410588L, datetime.datetime(2013, 5, 28, 14, 37, 22), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 37, 41), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'shortlist', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 37, 44), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 37, 44), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '14', 241411470L, datetime.datetime(2013, 5, 28, 14, 38, 27), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '14', 241411470L, datetime.datetime(2013, 5, 28, 14, 38, 51), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'shortlist', '14', 241411470L, datetime.datetime(2013, 5, 28, 14, 38, 51), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '17', 241408702L, datetime.datetime(2013, 5, 28, 14, 39, 10), 0.0922385226570752, False, 'time']
['p_prybytak', 202586060, 'impression', '8', 241429831L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.0744514228448847, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241415026L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '11', 241421298L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241425154L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '7', 241430438L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241408702L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.0922385226570752, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241408478L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.070782828151926, False, 'time']
['p_prybytak', 202586060, 'impression', '13', 241413229L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '9', 241429383L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241406727L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.106084109339191, False, 'time']
['p_prybytak', 202586060, 'impression', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241407536L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.0537152120860388, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241410588L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241411470L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241494560L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.136571336236575, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241410042L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.243583023782132, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241464854L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241468601L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.201696863991597, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241455888L, datetime.datetime(2013, 5, 28, 14, 40, 59), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 41, 39), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 41, 51), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'shortlist', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 41, 51), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '5', 241455888L, datetime.datetime(2013, 5, 28, 14, 42, 8), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '9', 241429383L, datetime.datetime(2013, 5, 28, 14, 42, 40), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '10', 241425154L, datetime.datetime(2013, 5, 28, 14, 43, 16), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'shortlist', '11', 241421298L, datetime.datetime(2013, 5, 28, 14, 43, 33), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '12', 241415026L, datetime.datetime(2013, 5, 28, 14, 43, 46), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '13', 241413229L, datetime.datetime(2013, 5, 28, 14, 43, 53), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241411470L, datetime.datetime(2013, 5, 28, 14, 52, 2), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241407536L, datetime.datetime(2013, 5, 28, 14, 52, 44), 0.0537152120860388, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '18', 241408478L, datetime.datetime(2013, 5, 28, 14, 52, 45), 0.070782828151926, False, 'time']
['p_prybytak', 202586060, 'shortlist', '18', 241408478L, datetime.datetime(2013, 5, 28, 14, 53, 17), 0.070782828151926, False, 'time']
['p_prybytak', 202586060, 'expand_tile', '18', 241408478L, datetime.datetime(2013, 5, 28, 14, 53, 17), 0.070782828151926, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241468601L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.201696863991597, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241455888L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241464854L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241410042L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.243583023782132, False, 'time']
['p_prybytak', 202586060, 'impression', '13', 241413229L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241464562L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241408478L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.070782828151926, False, 'time']
['p_prybytak', 202586060, 'impression', '7', 241430438L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '11', 241421298L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241425154L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241415026L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241494560L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.136571336236575, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241411470L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '8', 241429831L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.0744514228448847, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241406727L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.106084109339191, False, 'time']
['p_prybytak', 202586060, 'impression', '9', 241429383L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241410588L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241407536L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.0537152120860388, False, 'time']
['p_prybytak', 202586060, 'impression', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241408702L, datetime.datetime(2013, 5, 28, 14, 57, 1), 0.0922385226570752, False, 'time']

