['dawnkp', 202591260, 'impression', '2', 241519117L, datetime.datetime(2013, 5, 28, 19, 47, 6), 0.149176358824043, False, 'best']
['dawnkp', 202591260, 'impression', '6', 241520093L, datetime.datetime(2013, 5, 28, 19, 47, 6), 0.0950193533563779, False, 'best']
['dawnkp', 202591260, 'impression', '5', 241519511L, datetime.datetime(2013, 5, 28, 19, 47, 6), 0.0967089921522162, True, 'best']
['dawnkp', 202591260, 'impression', '20', 241519124L, datetime.datetime(2013, 5, 28, 19, 47, 6), 0.0425278388622136, False, 'best']
['dawnkp', 202591260, 'expand_tile', '16', 241517443L, datetime.datetime(2013, 5, 28, 19, 48, 50), 0.054432913517588, False, 'best']
['dawnkp', 202591260, 'expand_tile', '13', 241519557L, datetime.datetime(2013, 5, 28, 19, 49, 57), 0.0632149208646254, False, 'best']
['dawnkp', 202591260, 'impression', '14', 241517879L, datetime.datetime(2013, 5, 28, 19, 50, 14), 0.0570069159534798, False, 'best']
['dawnkp', 202591260, 'expand_tile', '4', 241518924L, datetime.datetime(2013, 5, 28, 19, 59, 2), 0.104103921974739, True, 'best']
['dawnkp', 202591260, 'send_message', '4', 241518924L, datetime.datetime(2013, 5, 28, 19, 59, 20), 0.104103921974739, True, 'best']
['dawnkp', 202591260, 'expand_tile', '4', 241518924L, datetime.datetime(2013, 5, 28, 20, 6, 43), 0.104103921974739, True, 'best']
['dawnkp', 202591260, 'expand_tile', '5', 241519511L, datetime.datetime(2013, 5, 28, 20, 7, 9), 0.0967089921522162, True, 'best']
['dawnkp', 202591260, 'send_message', '5', 241519511L, datetime.datetime(2013, 5, 28, 20, 9, 11), 0.0967089921522162, True, 'best']
['dawnkp', 202591260, 'expand_tile', '5', 241519511L, datetime.datetime(2013, 5, 28, 20, 15, 17), 0.0967089921522162, True, 'best']
['dawnkp', 202591260, 'expand_tile', '20', 241517443L, datetime.datetime(2013, 5, 28, 20, 36, 21), 0.054432913517588, False, 'best']
['dawnkp', 202591260, 'view_full_application', '20', 241517443L, datetime.datetime(2013, 5, 28, 20, 36, 27), 0.054432913517588, False, 'best']

['dawnkp', 202591260, 'view_full_application_via_message', '4', 241518924L, datetime.datetime(2013, 5, 28, 21, 17, 19), 0.104103921974739, True, 'best']

['dawnkp', 202591260, 'impression', '13', 241524410L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0704366679108537, False, 'best']
['dawnkp', 202591260, 'impression', '18', 241518125L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0562375485554436, False, 'best']
['dawnkp', 202591260, 'impression', '6', 241518924L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.104103921974739, True, 'best']
['dawnkp', 202591260, 'impression', '14', 241520751L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0702492079234049, False, 'best']
