['heinevik', 202590486, 'impression', '10', 241501737L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.107845877188549, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '5', 241501322L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.139069702019175, False, 'best']
['heinevik', 202590486, 'impression', '8', 241501341L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.0724267998240736, False, 'best']
['heinevik', 202590486, 'impression', '7', 241501293L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.0762322073805229, False, 'best']
['heinevik', 202590486, 'impression', '9', 241501323L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.040745721006556, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '3', 241501528L, datetime.datetime(2013, 5, 28, 15, 55, 22), 0.161237212060992, False, 'best']
['heinevik', 202590486, 'expand_tile', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 55, 27), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'view_full_application_via_name', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 55, 30), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '9', 241501323L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.040745721006556, False, 'best']
['heinevik', 202590486, 'impression', '3', 241501528L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.161237212060992, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '5', 241501322L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.139069702019175, False, 'best']
['heinevik', 202590486, 'impression', '7', 241501293L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.0762322073805229, False, 'best']
['heinevik', 202590486, 'impression', '8', 241501341L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.0724267998240736, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '10', 241501737L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.107845877188549, False, 'best']
['heinevik', 202590486, 'impression', '6', 241501241L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '4', 241501369L, datetime.datetime(2013, 5, 28, 15, 55, 51), 0.155561436946031, False, 'best']
['heinevik', 202590486, 'hide', '3', 241501528L, datetime.datetime(2013, 5, 28, 15, 56, 6), 0.161237212060992, False, 'best']
['heinevik', 202590486, 'hide', '4', 241501369L, datetime.datetime(2013, 5, 28, 15, 56, 8), 0.155561436946031, False, 'best']
['heinevik', 202590486, 'hide', '5', 241501322L, datetime.datetime(2013, 5, 28, 15, 56, 9), 0.139069702019175, False, 'best']
['heinevik', 202590486, 'hide', '7', 241501293L, datetime.datetime(2013, 5, 28, 15, 56, 16), 0.0762322073805229, False, 'best']
['heinevik', 202590486, 'hide', '8', 241501341L, datetime.datetime(2013, 5, 28, 15, 56, 17), 0.0724267998240736, False, 'best']
['heinevik', 202590486, 'hide', '9', 241501323L, datetime.datetime(2013, 5, 28, 15, 56, 18), 0.040745721006556, False, 'best']
['heinevik', 202590486, 'hide', '10', 241501737L, datetime.datetime(2013, 5, 28, 15, 56, 19), 0.107845877188549, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 56, 29), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 15, 56, 29), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '3', 241501241L, datetime.datetime(2013, 5, 28, 15, 56, 29), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '3', 241501241L, datetime.datetime(2013, 5, 28, 15, 57, 8), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 57, 8), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 15, 57, 8), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 58, 15), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 15, 58, 15), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '3', 241501241L, datetime.datetime(2013, 5, 28, 15, 58, 15), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 15, 58, 55), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 58, 55), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '3', 241501241L, datetime.datetime(2013, 5, 28, 15, 58, 55), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'view_full_application_via_name', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 59, 11), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 15, 59, 48), 0.232960498460517, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501227L, datetime.datetime(2013, 5, 28, 15, 59, 48), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '3', 241501241L, datetime.datetime(2013, 5, 28, 15, 59, 48), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '5', 241502135L, datetime.datetime(2013, 5, 28, 16, 0, 11), 0.108353440320633, False, 'best']
['heinevik', 202590486, 'impression', '7', 241501241L, datetime.datetime(2013, 5, 28, 16, 0, 11), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '4', 241501839L, datetime.datetime(2013, 5, 28, 16, 0, 11), 0.131141056694559, False, 'best']
['heinevik', 202590486, 'impression', '6', 241501791L, datetime.datetime(2013, 5, 28, 16, 0, 11), 0.0797527129694204, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501367L, datetime.datetime(2013, 5, 28, 16, 0, 11), 0.232960498460517, True, 'best']
