['ally_c', 202559141, 'hide', '3', 240841678L, datetime.datetime(2013, 5, 20, 16, 1, 12), 0.373157342811379, False, 'best']
['ally_c', 202559141, 'hide', '5', 240841876L, datetime.datetime(2013, 5, 20, 16, 1, 17), 0.273437862067521, False, 'best']
['ally_c', 202559141, 'hide', '6', 240840990L, datetime.datetime(2013, 5, 20, 16, 1, 20), 0.272319738955328, False, 'best']
['ally_c', 202559141, 'view_full_application_via_name', '10', 240841864L, datetime.datetime(2013, 5, 20, 16, 1, 36), 0.260900511695804, False, 'best']
['ally_c', 202559141, 'impression', '9', 240841217L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.24657694318014, False, 'best']
['ally_c', 202559141, 'impression', '17', 240842301L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.170504326127014, False, 'best']
['ally_c', 202559141, 'impression', '18', 240840456L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.159370321957699, False, 'best']
['ally_c', 202559141, 'impression', '16', 240843062L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.176246849051696, False, 'best']
['ally_c', 202559141, 'impression', '5', 240843427L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.265251857678111, False, 'best']
['ally_c', 202559141, 'impression', '1', 240841122L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.411554934827996, False, 'best']
['ally_c', 202559141, 'impression', '11', 240840765L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.220964443840479, False, 'best']
['ally_c', 202559141, 'impression', '12', 240840362L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.213851354492407, False, 'best']
['ally_c', 202559141, 'impression', '7', 240841864L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.260900511695804, False, 'best']
['ally_c', 202559141, 'impression', '10', 240840346L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.246288867308674, False, 'best']
['ally_c', 202559141, 'impression', '4', 240840948L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.267509967172085, False, 'best']
['ally_c', 202559141, 'impression', '3', 240839993L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'impression', '8', 240844324L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.247274262309436, False, 'best']
['ally_c', 202559141, 'impression', '13', 240842264L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.209190401799797, False, 'best']
['ally_c', 202559141, 'impression', '2', 240841209L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.402662731760667, False, 'best']
['ally_c', 202559141, 'impression', '14', 240841818L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.206330963038122, False, 'best']
['ally_c', 202559141, 'impression', '6', 240842377L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.262896978467539, False, 'best']
['ally_c', 202559141, 'impression', '20', 240844255L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.13183372526193, False, 'best']
['ally_c', 202559141, 'impression', '15', 240841322L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.198974936433291, False, 'best']
['ally_c', 202559141, 'impression', '19', 240843011L, datetime.datetime(2013, 5, 20, 16, 2, 31), 0.140169445919911, False, 'best']
['ally_c', 202559141, 'hide', '4', 240840948L, datetime.datetime(2013, 5, 20, 16, 2, 41), 0.267509967172085, False, 'best']
['ally_c', 202559141, 'hide', '6', 240842377L, datetime.datetime(2013, 5, 20, 16, 2, 44), 0.262896978467539, False, 'best']
['ally_c', 202559141, 'hide', '7', 240841864L, datetime.datetime(2013, 5, 20, 16, 2, 45), 0.260900511695804, False, 'best']
['ally_c', 202559141, 'hide', '12', 240840362L, datetime.datetime(2013, 5, 20, 16, 3, 26), 0.213851354492407, False, 'best']
['ally_c', 202559141, 'hide', '13', 240842264L, datetime.datetime(2013, 5, 20, 16, 3, 27), 0.209190401799797, False, 'best']
['ally_c', 202559141, 'hide', '14', 240841818L, datetime.datetime(2013, 5, 20, 16, 3, 30), 0.206330963038122, False, 'best']
['ally_c', 202559141, 'hide', '15', 240841322L, datetime.datetime(2013, 5, 20, 16, 3, 31), 0.198974936433291, False, 'best']
['ally_c', 202559141, 'hide', '16', 240843062L, datetime.datetime(2013, 5, 20, 16, 3, 36), 0.176246849051696, False, 'best']
['ally_c', 202559141, 'hide', '17', 240842301L, datetime.datetime(2013, 5, 20, 16, 3, 38), 0.170504326127014, False, 'best']
['ally_c', 202559141, 'hide', '18', 240840456L, datetime.datetime(2013, 5, 20, 16, 3, 39), 0.159370321957699, False, 'best']
['ally_c', 202559141, 'hide', '19', 240843011L, datetime.datetime(2013, 5, 20, 16, 3, 44), 0.140169445919911, False, 'best']
['ally_c', 202559141, 'hide', '20', 240844255L, datetime.datetime(2013, 5, 20, 16, 3, 52), 0.13183372526193, False, 'best']
['ally_c', 202559141, 'hide', '21', 240842144L, datetime.datetime(2013, 5, 20, 16, 3, 54), 0.130893921297451, False, 'best']
['ally_c', 202559141, 'hide', '22', 240840892L, datetime.datetime(2013, 5, 20, 16, 3, 55), 0.127891283927087, False, 'best']
['ally_c', 202559141, 'hide', '23', 240843234L, datetime.datetime(2013, 5, 20, 16, 3, 56), 0.1265363451609, False, 'best']
['ally_c', 202559141, 'hide', '24', 240842982L, datetime.datetime(2013, 5, 20, 16, 4, 2), 0.121662039884429, False, 'best']
['ally_c', 202559141, 'hide', '31', 240843781L, datetime.datetime(2013, 5, 20, 16, 4, 13), 0.0703019841337947, False, 'best']
['ally_c', 202559141, 'hide', '30', 240841253L, datetime.datetime(2013, 5, 20, 16, 4, 15), 0.0783451576962438, False, 'best']
['ally_c', 202559141, 'hide', '29', 240841661L, datetime.datetime(2013, 5, 20, 16, 4, 16), 0.0849150070763321, False, 'best']
['ally_c', 202559141, 'hide', '28', 240840369L, datetime.datetime(2013, 5, 20, 16, 4, 18), 0.085886121512942, False, 'best']
['ally_c', 202559141, 'hide', '27', 240842655L, datetime.datetime(2013, 5, 20, 16, 4, 19), 0.101151158942759, False, 'best']
['ally_c', 202559141, 'hide', '8', 240844324L, datetime.datetime(2013, 5, 20, 16, 9, 33), 0.247274262309436, False, 'best']
['ally_c', 202559141, 'hide', '5', 240843427L, datetime.datetime(2013, 5, 20, 16, 9, 35), 0.265251857678111, False, 'best']
['ally_c', 202559141, 'hide', '9', 240841217L, datetime.datetime(2013, 5, 20, 16, 9, 36), 0.24657694318014, False, 'best']
['ally_c', 202559141, 'hide', '10', 240840346L, datetime.datetime(2013, 5, 20, 16, 9, 37), 0.246288867308674, False, 'best']
['ally_c', 202559141, 'hide', '11', 240840765L, datetime.datetime(2013, 5, 20, 16, 9, 38), 0.220964443840479, False, 'best']
['ally_c', 202559141, 'hide', '25', 240840819L, datetime.datetime(2013, 5, 20, 16, 9, 42), 0.12035609875682, False, 'best']
['ally_c', 202559141, 'hide', '26', 240843334L, datetime.datetime(2013, 5, 20, 16, 9, 43), 0.10715329057362, False, 'best']

['ally_c', 202559141, 'impression', '19', 240865898L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.197709357160471, False, 'best']
['ally_c', 202559141, 'impression', '20', 240851211L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.195737798142538, False, 'best']
['ally_c', 202559141, 'impression', '1', 240857786L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.968251693701099, False, 'best']
['ally_c', 202559141, 'impression', '8', 240860043L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.326003332273078, False, 'best']
['ally_c', 202559141, 'impression', '3', 240845643L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.428544453469284, False, 'best']
['ally_c', 202559141, 'impression', '11', 240852102L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.298962298365227, False, 'best']
['ally_c', 202559141, 'impression', '18', 240846821L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.198488398197125, False, 'best']
['ally_c', 202559141, 'impression', '15', 240851156L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.233711268840892, False, 'best']
['ally_c', 202559141, 'impression', '5', 240841122L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.411554934827996, False, 'best']
['ally_c', 202559141, 'impression', '9', 240874944L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.325681967254637, False, 'best']
['ally_c', 202559141, 'impression', '6', 240841209L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.402662731760667, False, 'best']
['ally_c', 202559141, 'impression', '4', 240853878L, datetime.datetime(2013, 5, 21, 0, 28, 45), 0.42638205584679, False, 'best']
